kakapora b hanji mohalla,6131
hanjipora,1212
ratanipora b,5260
gudoora,1098
aripal,1326
samboora-b bunpora,616
lethpora-b reshi ismail,6131
shar-b wani mohalla,6131
diver,419
chandrigam,3031
hariparigam-ii,4672
hunipora,616
wuyan bala,5874
tokna iii,6775
pinglish b,2531
machama b/ nagbal,3510
larkipora,1326
baragam,5387
padgampora,1326
tokna i i (beg ),6775
drabgam-b,5387
lalpora b/ kanglooa,6131
chatroogam,1047
chewa ullar,1884
abhama,3510
rajpora,5215
gulshanpora,560
ladhoo-b bunpora,616
amler,1183
batagund,1588
dadsara a/ batpora,1326
batnoor,2920
rahmoo-a,5030
medoora b,4441
noorpora-ii,5674
qasbayar-a,762
buchoo,272
chersoo - i,4385
rajpora-a,5215
arihal-b,4815
achgooza,4604
