State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Reban-B,248017,34.29746,74.41413,Reban-B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Reban A,248016,34.29746,74.41413,Reban A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Parraypora,248013,34.29396,74.39995,Parraypora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Hadipora B,248012,34.29395,74.39273,Hadipora B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Hadipora A,248011,34.29171,74.38786,Hadipora A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Chijama,248014,34.28638,74.37763,Chijama,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Achabal-B,248030,34.28254,74.40741,Achabal-B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Tragpora,248015,34.27891,74.3795,Tragpora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Patoosa,248010,34.27468,74.31316,Patoosa,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Ferozpora,248019,34.27422,74.39594,Ferozpora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Wanpora,248028,34.2742,74.33428,Wanpora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Panzalla,248009,34.27382,74.29128,Panzalla,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Achabal-A,248029,34.27312,74.40356,Achabal-A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Sadipora,247297,34.2728,74.38515,Sadipora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Rohama B,248027,34.27166,74.38916,Rohama B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Rohama A,248026,34.27083,74.35151,Rohama A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,BDO,88888,34.27083,74.35151,BDO,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Balhama,248024,34.26979,74.25805,Balhama,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Doabgah A,248031,34.26622,74.41065,Doabgah A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Doabgah B,248032,34.26537,74.41175,Doabgah B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Vohlutra,247278,34.26247,74.29362,Vohlutra,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Nadihal-A,247291,34.25958,74.37101,Nadihal-A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Shutloo,247277,34.25808,74.31671,Shutloo,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Nadihal B,247292,34.25801,74.37174,Nadihal B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Kutroo-Naribal,248025,34.25707,74.251,Kutroo-Naribal,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Sailikote,248020,34.25646,74.26753,Sailikote,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Ladoora,248018,34.25245,74.38924,Ladoora,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Johama,247267,34.24958,74.39446,Johama,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Brandub,248023,34.24897,74.28832,Brandub,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina C,247295,34.2466,74.41134,Delina C,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Khahmoo,248022,34.24644,74.28606,Khahmoo,21
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Braman,248021,34.24457,74.26077,Braman,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Chakla,247298,34.24052,74.38192,Chakla,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina A,247293,34.23898,74.41965,Delina A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina D,247296,34.238,74.41954,Delina D,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Vevkari,247284,34.23709,74.33301,Vevkari,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Binner B,247283,34.23706,74.35247,Binner B,21
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Sultanpora A,247996,34.2334,74.55795,Sultanpora A,21
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Binner A,247282,34.23321,74.35282,Binner A,21
