State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Awoora C,245325,34.56421,74.18455,Awoora C,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gugloosa B,459,34.56196,74.15616,Gugloosa B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Murhama,469,34.55801,74.16345,Murhama,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Awoora D,245326,34.55729,74.18855,Awoora D,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Awoora B,458,34.55729,74.18855,Awoora B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Zurhama B,245320,34.55299,74.16642,Zurhama B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Awoora A,457,34.54601,74.19505,Awoora A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Zurhama A,474,34.54596,74.17592,Zurhama A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Laderwan,468,34.54511,74.17749,Laderwan,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Alchizab,245317,34.53901,74.20986,Alchizab,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Kawari,245322,34.53721,74.18471,Kawari,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gulgam D,245319,34.53658,74.21795,Gulgam D,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gulgam B,462,34.53608,74.21259,Gulgam B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gulgam C,245318,34.53223,74.21789,Gulgam C,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gulgam A,461,34.53071,74.22625,Gulgam A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hundi,245316,34.52429,74.17821,Hundi,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hirri Bala A,245328,34.52349,74.19186,Hirri Bala A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hirri Bala B,245327,34.52349,74.19186,Hirri Bala B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hiri Payeen,456,34.52349,74.19186,Hiri Payeen,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hayan B,245313,34.5219,74.18456,Hayan B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hayan A,465,34.5219,74.18456,Hayan A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Trehgam F,245321,34.51538,74.17263,Trehgam F,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Trehgam C,245308,34.51538,74.17263,Trehgam C,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Trehgam A,472,34.51538,74.17263,Trehgam A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Poshpora A,470,34.51538,74.17263,Poshpora A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,BDO Office,88888,34.51276,74.1698,BDO Office,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Poshpora B,245314,34.51075,74.19888,Poshpora B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Hanjipora,463,34.51075,74.19888,Hanjipora,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Kunan,467,34.50764,74.1908,Kunan,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Trehgam B,473,34.50716,74.1612,Trehgam B,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Gugloosa A,460,34.50502,74.13961,Gugloosa A,1
JAMMU AND KASHMIR,1,Kupwara,1,Trehgam,92,Shumnagh,255904,34.50014,74.13385,Shumnagh,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,S.K. Payeen,248598,34.35983,74.66189,S.K. Payeen,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Sadunara A,248608,34.34121,74.63355,Sadunara A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Ajas A,248599,34.33703,74.67163,Ajas A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Gundprang,248613,34.3345,74.6305,Gundprang,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Ajas D,248602,34.33358,74.67988,Ajas D,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Madwan A,248611,34.33175,74.6249,Madwan A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Ajas B,248600,34.33062,74.67938,Ajas B,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Ajas C,248601,34.32679,74.67823,Ajas C,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Sadunara B,248609,34.32412,74.65182,Sadunara B,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Sadunara C,248610,34.31864,74.64887,Sadunara C,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,S.K. Bala-A,248603,34.30834,74.65854,S.K. Bala-A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,S.K. Bala-B,248604,34.30094,74.65793,S.K. Bala-B,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Rakhi Hajin,248614,34.30073,74.63018,Rakhi Hajin,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Reban-B,248017,34.29746,74.41413,Reban-B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Reban A,248016,34.29746,74.41413,Reban A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Parraypora,248013,34.29396,74.39995,Parraypora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Hadipora B,248012,34.29395,74.39273,Hadipora B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Hadipora A,248011,34.29171,74.38786,Hadipora A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Chanderger,248605,34.28818,74.64727,Chanderger,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Chijama,248014,34.28638,74.37763,Chijama,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,BDO office,88888,34.28348,74.62009,BDO office,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Achabal-B,248030,34.28254,74.40741,Achabal-B,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Chewa,255688,34.28197,74.67313,Chewa,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Hakbara-A,248606,34.28052,74.6261,Hakbara-A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Shahgund A,248622,34.28036,74.56928,Shahgund A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Shahgund B,248623,34.27921,74.56554,Shahgund B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Tragpora,248015,34.27891,74.3795,Tragpora,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Gutlibagh,248384,34.27578,74.82902,Gutlibagh,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Vijpara,248615,34.27534,74.60008,Vijpara,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,HakbaraB,248607,34.27509,74.63618,HakbaraB,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Patoosa,248010,34.27468,74.31316,Patoosa,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Ferozpora,248019,34.27422,74.39594,Ferozpora,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Wayil,248385,34.27421,74.80801,Wayil,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Wanpora,248028,34.2742,74.33428,Wanpora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Panzalla,248009,34.27382,74.29128,Panzalla,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Achabal-A,248029,34.27312,74.40356,Achabal-A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Sadipora,247297,34.2728,74.38515,Sadipora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Rohama B,248027,34.27166,74.38916,Rohama B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Rohama A,248026,34.27083,74.35151,Rohama A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,BDO,88888,34.27083,74.35151,BDO,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Balhama,248024,34.26979,74.25805,Balhama,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Wayil Wooder,248383,34.26862,74.81493,Wayil Wooder,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Gund Jehangir,248624,34.26842,74.5496,Gund Jehangir,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Doabgah A,248031,34.26622,74.41065,Doabgah A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Gundboon,248616,34.26615,74.5756,Gundboon,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Doabgah B,248032,34.26537,74.41175,Doabgah B,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Bahar Abad-A,248617,34.26495,74.61408,Bahar Abad-A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Vohlutra,247278,34.26247,74.29362,Vohlutra,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Bahar Abad-B,248618,34.26231,74.6102,Bahar Abad-B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Nadihal-A,247291,34.25958,74.37101,Nadihal-A,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Nunner,248391,34.25944,74.79205,Nunner,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Shutloo,247277,34.25808,74.31671,Shutloo,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Nadihal B,247292,34.25801,74.37174,Nadihal B,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Urpash,248386,34.25741,74.80574,Urpash,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Kutroo-Naribal,248025,34.25707,74.251,Kutroo-Naribal,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Sailikote,248020,34.25646,74.26753,Sailikote,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Ladoora,248018,34.25245,74.38924,Ladoora,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Markundal,248619,34.25232,74.60684,Markundal,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Asham B,248366,34.25084,74.63038,Asham B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Johama,247267,34.24958,74.39446,Johama,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Asham A,248365,34.24916,74.62463,Asham A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Brandub,248023,34.24897,74.28832,Brandub,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Naidkhai A,248620,34.24677,74.57782,Naidkhai A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina C,247295,34.2466,74.41134,Delina C,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Khahmoo,248022,34.24644,74.28606,Khahmoo,1
JAMMU AND KASHMIR,1,BANDIPORA,9,HAJIN,25,Naidkhai B,248621,34.24566,74.56853,Naidkhai B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,Rohama,29,Braman,248021,34.24457,74.26077,Braman,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Serch,248390,34.24396,74.78071,Serch,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Arch,248387,34.24143,74.77058,Arch,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Chakla,247298,34.24052,74.38192,Chakla,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina A,247293,34.23898,74.41965,Delina A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina D,247296,34.238,74.41954,Delina D,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Vevkari,247284,34.23709,74.33301,Vevkari,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Binner B,247283,34.23706,74.35247,Binner B,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Buder Kund,248389,34.23626,74.79297,Buder Kund,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Shahpora,248388,34.23512,74.79115,Shahpora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Sultanpora A,247996,34.2334,74.55795,Sultanpora A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Binner A,247282,34.23321,74.35282,Binner A,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Nesbal,248369,34.23301,74.6495,Nesbal,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Delina B,247294,34.23236,74.42736,Delina B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Sultanpora B,247997,34.2292,74.57762,Sultanpora B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Kanispora,247266,34.2244,74.40446,Kanispora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Gohal Tangpora,247995,34.22371,74.55787,Gohal Tangpora,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Tulamulla-B,248399,34.22234,74.73397,Tulamulla-B,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Tulamulla-A,248398,34.22127,74.75599,Tulamulla-A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Goshbugh,247994,34.21838,74.54907,Goshbugh,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Lolipora,247999,34.21539,74.53499,Lolipora,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Gund Nowgam,248359,34.21461,74.60203,Gund Nowgam,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,BDO,88888,34.21445,74.76961,BDO,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Malshahi bagh,248392,34.21436,74.79503,Malshahi bagh,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Buchoo,247989,34.21377,74.49833,Buchoo,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Nowgam B,248358,34.21214,74.60201,Nowgam B,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Takyasultan / Drangabal,247270,34.21182,74.31779,Takyasultan / Drangabal,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Nowgam A,248357,34.21069,74.59777,Nowgam A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Singhpora,247301,34.20944,74.41709,Singhpora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Fatehpora,247288,34.20902,74.37803,Fatehpora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Takiya Tapper,247990,34.20676,74.5084,Takiya Tapper,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Rakh Shilvet,248355,34.20568,74.63438,Rakh Shilvet,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Wussan,247998,34.20558,74.55247,Wussan,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,BDO Office,88888,34.20555,74.34118,BDO Office,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Indergam,248001,34.20523,74.52494,Indergam,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Gutiyar,247289,34.20513,74.37423,Gutiyar,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Darend,248394,34.20415,74.79974,Darend,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Shilvet,248356,34.20236,74.66261,Shilvet,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Fresthar,247290,34.20208,74.3812,Fresthar,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Rakh Sultanpora,248364,34.20194,74.60983,Rakh Sultanpora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Jalsheeri,247269,34.20101,74.2984,Jalsheeri,1
JAMMU AND KASHMIR,1,SRINAGAR,10,SRINAGAR,122,Faqir ujri,248381,34.19618,74.91607,Faqir ujri,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Tapper Waripora,247988,34.19581,74.50846,Tapper Waripora,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Khadniyar,247268,34.19452,74.29548,Khadniyar,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Palhalan-F,248007,34.19189,74.57034,Palhalan-F,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Harran,248401,34.19183,74.76413,Harran,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Tull Bagh,248397,34.18921,74.74841,Tull Bagh,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Palhalan-D,248005,34.18786,74.53035,Palhalan-D,1
JAMMU AND KASHMIR,1,BANDIPORA,9,SUMBAL,32,Ganastan,248367,34.18698,74.63606,Ganastan,1
JAMMU AND KASHMIR,1,Ganderbal,11,GANDERBAL,119,Hutbura,248400,34.18693,74.74294,Hutbura,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Palhalan-A,248002,34.18679,74.55571,Palhalan-A,1
JAMMU AND KASHMIR,1,BARAMULLA,8,BARAMULLA,22,Sheeri,247265,34.18347,74.30747,Sheeri,1
JAMMU AND KASHMIR,1,BARAMULLA,8,PATTAN,27,Palhalan-C,248004,34.1818,74.55133,Palhalan-C,1
JAMMU AND KASHMIR,1,SRINAGAR,10,SRINAGAR,122,DARA,248380,34.18003,74.90824,DARA,1
