State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,gagrian-b,245234,33.88681,74.29332,panchayatghar,2,5127
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,gagrian chool,522,33.868606,74.282533,high school,2,5127
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,sawjian-a,530,33.867722,74.279293,panchayatghar,2,3504
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,sawjian-b,245233,33.85177,74.26624,panchayatghar,2,3504
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,dana kharappa loran,245236,33.83843,74.32705,panchayatghar,2,1684
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,battal kote loran,525,33.83674,74.33831,panchayatghar,2,4284
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,dunugam,245238,33.834781,74.266981,middle school,2,1539
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,tantray gam loran,524,33.83095,74.32498,panchayatghar,2,4091
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,chhamber kanari,517,33.824276,74.268187,panchayatghar,2,1877
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,balnai,245232,33.824276,74.268187,panchayatghar,2,3778
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,chhela,518,33.817329,74.251079,primary school,2,1046
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,loran lower,523,33.81583,74.31056,panchayatghar,2,11866
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,brachhar,515,33.81448,74.30816,panchayatghar,2,1200
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,mandhar,574,33.813639,74.179003,panchayatghar,2,561
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,shahpur upper,578,33.813639,74.179003,panchayatghar,2,3340
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,degwar terwan,245218,33.811861,74.083003,panchayatghar,2,1341
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,attoli,245231,33.80979,74.25834,middle school,2,917
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,loyal bela,245235,33.80858,74.29606,panchayatghar,2,2145
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,chikriban,519,33.805638,74.288822,panchayatghar,2,2208
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,islamabad,568,33.805278,74.170611,panchayatghar,2,1727
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,saral,245220,33.805278,74.170611,panchayatghar,2,1354
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,plera,527,33.80249,74.27062,panchayatghar,2,3551
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,bedar,514,33.802012,74.261011,panchayatghar,2,3758
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,arai haveli,245237,33.80183,74.27837,panchayatghar,2,6434
JAMMU AND KASHMIR,1,POONCH,5,POONCH,104,shahpur lower,245227,33.797583,74.1815,panchayatghar,2,3340
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,mandi,526,33.795732,74.253612,panchayatghar,2,366
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,rajpura,528,33.795732,74.253612,panchayatghar,2,1679
JAMMU AND KASHMIR,1,POONCH,5,MANDI,102,azamabad,513,33.794672,74.252719,panchayatghar,2,2694
