State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,adwara,113024,24.120044,85.803436, ADWARA GP,2,1149
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,alagdiha,113025,24.016203,85.892578, ALAGDIHA GP,2,1723
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,atka east,113028,24.099399,85.732256, ATKA EAST GP,2,13924
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,atka west,113027,24.113314,85.737437, ATKA WEST GP,2,13924
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,aura,113059,24.048617,85.917883, AURA GP,2,3936
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,bagodardih east,113030,24.080892,85.842072, BAGODARDIH EAST GP,2,1502
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,bagodardih west,113029,24.089434,85.839913, BAGODARDIH WEST GP,2,1502
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,beko east,113035,24.041927,85.973603, BEKO EAST GP,2,1001
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,beko west,113034,24.042077,85.942084, BEKO WEST GP,2,1001
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,bhq,888888,24.08489,85.83047, BHQ,2,1845
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,chudharibandh,113038,24.060714,85.987628, CHUDHARIBANDH GP,2,500
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,dcndalo,113041,24.122175,85.86245, DCNDALO GP,2,6500
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,dewradih,113039,24.134916,85.884668, DEWRADIH  GP,2,2490
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,dhargulli,113040,24.155217,85.718536, DHARGULLI GP,2,4293
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,hesla,113043,24.063941,85.875849, HESLA GP,2,513
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,jarmune east,113045,24.084198,85.830473, JARMUNE EAST GP,2,1217
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,jarmune west,113044,24.085536,85.814239, JARMUNE WEST GP,2,1217
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,khaeko,113048,24.000639,85.909981, KHAEKO GP,2,6610
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,kudder,113050,24.161324,85.7172, KUDDER GP,2,456
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,kusmarja,113052,24.088347,85.933547, KUSMARJA GP,2,843
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,mundaro,113055,24.143375,85.762597, MUNDARO GP,2,500
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,pokhariya,113061,24.012923,85.946411, POKHARIYA GP,2,3123
JHARKHAND,20, GIRIDIH,349, BAGODAR,3131,tirla,113068,24.038226,85.887722, TIRLA GP,2,4661
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,badkitand,113069,24.336164,86.349678, BADKITAND GP,2,1104
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,badwara,113070,24.433538,86.343326, BADWARA GP,2,835
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,bengabad,113071,24.303189,86.360756, BENGABAD GP,2,864
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,bhalkudar,113072,24.367,86.430794, BHALKUDAR GP,2,33
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,bhandaridih,113073,24.21441,86.359403, BHANDARIDIH GP,2,415
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,bhq,888888,24.305999,86.3547, BHQ,2,1845
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,chapuadih,113074,24.2853,86.413314, CHAPUADIH GP,2,702
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,chatmadih,113075,24.371167,86.332564, CHATMADIH GP,2,429
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,chotkikhargdiha,113076,24.3555,86.304528, CHOTKIKHARGDIHA GP,2,524
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,genro,113077,24.349814,86.420678, GENRO GP,2,701
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,golgo,113078,24.403319,86.370003, GOLGO GP,2,774
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,harila,113079,24.371446,86.297811, HARILA GP,2,369
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,jaruadih,113080,24.280933,86.47585, JARUADIH GP,2,313
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,jhalakdiha,113081,24.285929,86.451944, JHALAKDIHA  GP,2,120
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,karnpura,113082,24.255289,86.336403, KARNPURA GP,2,520
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,luppi,113083,24.363692,86.424086, LUPPI GP,2,5019
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,madhawandih,113084,24.228294,86.366163, MADHAWANDIH GP,2,481
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,mahuar,113085,24.279597,86.346583, MAHUAR GP,2,5410
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,manjori,113086,24.256106,86.394775, MANJORI GP,2,13
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,motileda,113087,24.240564,86.291392, MOTILEDA GP,2,500
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,ojhadih,113088,24.319162,86.282585, OJHADIH GP,2,413
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,phitkoriya,113089,24.276486,86.374153, PHITKORIYA GP,2,51
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,sonbad,113090,24.220844,86.305292, SONBAD GP,2,500
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,tarajori,113091,24.293389,86.411064, TARAJORI GP,2,860
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,taratand,113092,24.293617,86.268617, TARATAND GP,2,3401
JHARKHAND,20, GIRIDIH,349, BENGABAD,3132,telonari,113093,24.296669,86.297511, TELONARI GP,2,1399
