State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,armo, 111122, 23.832, 85.852, ARMO GP, 21,1534
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,baidhkaro east, 111123, 23.781394, 85.96085, BAIDHKARO EAST GP, 21,1265
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,baidhkaro west, 111129, 23.780856, 85.952233, BAIDHKARO WEST GP, 21,1265
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,bermo east, 111124, 23.780564, 85.937511, BERMO EAST GP, 21,544
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,bermo south, 111125, 23.773324, 85.939352, BERMO SOUTH GP, 21,396
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,bermo west, 111126, 23.780417, 85.933917, BERMO WEST GP, 21,7005
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,bodiya north, 111127, 23.767152, 85.931584, BODIYA NORTH, 21,13192
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur a, 111135, 23.797778, 85.884941, GOVINDPUR A GP, 21,246
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur b, 111136, 23.797167, 85.886861, GOVINDPUR B GP, 21,2959
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur c, 111137, 23.793061, 85.888617, GOVINDPUR C GP, 21,2959
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur d, 111138, 23.817284, 85.874711, GOVINDPUR D GP, 21,2959
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur e, 111139, 23.80175, 85.879278, GOVINDPUR E GP, 21,544
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,govindpur f, 111140, 23.792056, 85.87525, GOVINDPUR F GP, 21,2959
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,jarangdih north, 111141, 23.771972, 85.914972, JARANGDIH NORTH GP, 21,13192
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,jarangdih south, 111142, 23.770972, 85.909917, JARANGDIH SOUTH GP, 21,359
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,jaridih east, 111143, 23.763351, 85.939969, JARIDIH EAST GP, 21,469
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,jaridih west, 111144, 23.76225, 85.925083, JARIDIH WEST GP, 21,7005
JHARKHAND, 20, Bokaro, 355, BERMO, 3064,kurpaniya, 111146, 23.789667, 85.932667, KURPANIYA  GP, 21,7789
JHARKHAND, 20, Bokaro, 355, CHANDANKIYARI, 3065,chandaha gp, 111204, 23.660722, 86.31275, CHANDAHA GP, 21,1485
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,alargo, 245380, 23.775581, 86.0753, ALARGO GP, 21,2911
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,bandio, 111315, 23.811964, 86.089444, BANDIO GP, 21,4401
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,chandrapura, 245381, 23.754389, 86.123, CHANDRAPURA GP, 21,27425
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,dugda east, 111130, 23.7505, 86.17075, DUGDA EAST GP, 21,22740
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,dugda north, 111131, 23.767946, 86.176891, DUGDA NORTH GP, 21,22740
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,dugda south, 111132, 23.746675, 86.151886, DUGDA SOUTH GP, 21,22740
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,dugda west, 111133, 23.753255, 86.154954, DUGDA WEST GP, 21,22740
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,ghatiyari, 111134, 23.761972, 86.110806, GHATIYARI GP, 21,3529
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,karma tand, 111145, 23.771462, 86.164461, KARMA TAND GP, 21,4070
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,kurumba, 111147, 23.771861, 86.132694, KURUMBA GP, 21,2412
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,narri, 111333, 23.77575, 86.106, NARRI GP, 21,5390
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,paplo, 111336, 23.794472, 86.116472, PAPLO GP, 21,2667
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,rangamati east, 111148, 23.748139, 86.116111, RANGAMATI EAST GP, 21,1265
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,rangamati south, 111149, 23.740889, 86.11085, RANGAMATI SOUTH GP, 21,9059
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,rangamati west, 111150, 23.747803, 86.116122, RANGAMATI WEST GP, 21,947
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,sijua, 111151, 23.767803, 86.169742, SIJUA GP, 21,1278
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,taranari, 111343, 23.789472, 86.128917, TARANARI GP, 21,5890
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,taranga, 111344, 23.793944, 86.152667, TARANGA GP, 21,5890
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,tarmi, 111152, 23.758083, 86.057972, TARMI GP, 21,5111
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,telo east, 111323, 23.821633, 86.138528, TELO EAST GP, 21,14274
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,telo middl, 111330, 23.812056, 86.123083, TELO MIDDL GP, 21,3122
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,telo west, 111345, 23.822601, 86.114431, TELO WEST GP, 21,1561
JHARKHAND, 20, Bokaro, 355, CHANDRAPURA, 6626,turio, 111153, 23.753139, 86.040694, TURIO GP, 21,1261
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,alkusha gp, 111192, 23.665361, 86.244917, ALKUSHA GP, 21,1470
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,babudih gp, 111241, 23.566389, 86.284917, BABUDIH GP, 21,3845
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,badhadih gp, 111195, 23.653889, 86.214333, BADHADIH GP, 21,359
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,badhgora gp, 111196, 23.623333, 86.150667, BADHGORA GP, 21,7859
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,barpokhar gp, 111193, 23.574, 86.226333, BARPOKHAR GP, 21,2342
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,basgora east gp, 111197, 23.63925, 86.106944, BASGORA EAST GP, 21,544
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,basgora west gp, 111198, 23.639111, 86.104944, BASGORA WEST GP, 21,544
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,belunja gp, 111194, 23.685667, 86.276333, BELUNJA GP, 21,2330
JHARKHAND, 20, Bokaro, 355, CHAS, 3066,bhandro gp, 111199, 23.562417, 86.215528, BHANDRO GP, 21,555
