basmati,2323
bohra,1157
dumarchir,770
jaraki,80
pachuara,674
paderkola,598
babupur,673
barmasia,683
bartalla,500
dangapara,154
dhowadanga,277
ghagharjaani,816
hathkathi,342
kaindua,296
manjhaladih,84
mohanpur,3790
murgadanga,500
sundarpur,1339
torai,1411
vagsisha,203
baraghaghri,76
bichamahal,1579
jabardaha,2645
jordiha,21
kamalghati,3196
karmataand,166
kunjbona,500
littipara,1191
nawadih,445
phulpahari,2120
surajbera,347
talpahari,870
abhuva,1304
arjundaha,235
askandha,750
babudaha,81
bakura,707
baliyadanga,318
baskendri,333
bhatatola,4
birkitti,500
candalmara,748
chhakkudhara,586
damdama,2544
devinagar,532
dhramkhpra,939
gayabathan,517
jaynagar,382
kanijhara,418
khanpur,12
maheshpur,109
manikpur,2348
palsa,2040
pathria,951
pokharia,349
rampur,2606
rolagram,618
shahargram,376
shriramgaria,500
silampur,655
sitarampur,1099
bhawanipur,4656
chandpur,3809
chengadanga,813
dadpur,490
farsha,500
gandhaipur,8736
hiranandpur,500
ilami,9804
isakpur urf randanga,500
jaikistopur urf narayankhor,96
jamsherpur,2181
jhikarhati east,24149
jhikarhati west,500
kismatkadamsar,2756
kolajora,1043
kumarpur,7153
malpahari,295
manikapara,5022
manirampur,8446
nashipur,686
navinagar,2765
nawada,2906
pochathol,407
prithwinagar,9961
raghunandanpur urf chancki,8335
rahaspur,6739
ramchandrapur,565
saharkol,723
sangrampur,6184
sitapahar,7056
sonajori,500
taranagar,3854
udainarayanpur,396
badasinghpur,730
baniyapasar,417
basantpur,428
basetkundi,1001
bichpahari,540
domangariya,500
ganpura,693
khaksha,348
pakuria,945
paliyadaha,176
phuljhinjri,977
rajpokhar,757
tetuliya,37
