alubela,317
amrapara block headquater,1430
amrapara sathali,1430
jamugariya,7000
singarsi,1516
hiranpur block headquater,7000
bandoo,94
barasharsha,441
jamjori,211
littipara block headquater,96
sonabhani,7000
taljhori,332
barkijari,275
jaipurvarunga,101
maheshpur block headquater,96
shiverampur,159
tliapokhar,250
kalidas pur,1919
modan mohan pur,2741
narottam pur,2428
pakur block headquater,96
bonnogran,127
khajurdangam,1882
lagdun,696
mahunpahara,1295
mongla bandh,7000
pakuria block headquater,96
