State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, AGARADAHALLI, 219835, 14.01185, 75.79156, AGARADAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ANAVERI, 219836, 14.06089, 75.74231, ANAVERI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, GUDUMAGATTA, 219850, 14.03837, 75.77331, GUDUMAGATTA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, MANGOTE, 219860, 14.05227, 75.72574, MANGOTE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, MYDOLALU, 219863, 14.03035, 75.75153, MYDOLALU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, NIMBEGONDI, 219865, 14.08379, 75.74782, NIMBEGONDI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, SYDARAKALLAHALLI, 219868, 14.10453, 75.76311, SYDARAKALLAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, THADASA, 219870, 13.90349, 75.70145, THADASA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, YEDEHALLI, 219872, 13.99803, 75.76213, YEDEHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KESANAKERE, 217589, 14.13551, 75.75382, KESANAKERE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KOLAGHATTE, 217590, 14.14251, 75.74126, KOLAGHATTE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, LINGAPURA, 217595, 14.10955, 75.73108, LINGAPURA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, RAMPUR, 217600, 14.15933, 75.68514, RAMPUR, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, SASVEHALLI, 217601, 14.15276, 75.71242, SASVEHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, HUNSAGATTA, 217585, 14.11743, 75.75763, HUNSAGATTA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ANTHARAGANGE, 219837, 13.83188, 75.74856, ANTHARAGANGE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ARAHATHOLALU, 219838, 13.98049, 75.74017, ARAHATHOLALU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ARAKERE, 219839, 13.95067, 75.77211, ARAKERE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ARALAHALLI, 219840, 13.89146, 75.74785, ARALAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ARALIKOPPA, 219841, 13.78591, 75.68405, ARALIKOPPA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, AREBILACHI, 219842, 13.94225, 75.73551, AREBILACHI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, ATTIGUNDA, 219843, 13.89562, 75.76241, ATTIGUNDA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, BARANDURU, 219844, 13.79891, 75.73145, BARANDURU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, BILAKI, 219845, 13.88786, 75.67676, BILAKI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, DASARAKALLAHALLI, 219846, 13.95583, 75.71488, DASARAKALLAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, DODDERI, 219847, 13.804501, 75.81529, DODDERI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, DONABAGATTA, 219848, 13.89487, 75.69825, DONABAGATTA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, EMMEHATTI, 219849, 13.97081, 75.71332, EMMEHATTI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, HIRIYURU, 219851, 13.80291, 75.67311, HIRIYURU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, HOLEHONNURU-I, 219852, 13.998941, 75.6856, HOLEHONNURU-I, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KAGEKODAMAGGI, 219853, 13.90076, 75.71691, KAGEKODAMAGGI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KALLAHAL, 219854, 13.96199, 75.75271, KALLAHAL, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KALLAHALLI, 219855, 13.84067, 75.63933, KALLAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KAREHALLI, 219857, 13.78411, 75.74103, KAREHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KUDLIGERE, 219858, 13.91973, 75.76671, KUDLIGERE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KUMMARANAHALLI, 219859, 13.86142, 75.75497, KUMMARANAHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, MARASHETTYHALLI, 219861, 13.96033, 75.74381, MARASHETTYHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, MAVINAKERE, 219862, 13.80986, 75.75755, MAVINAKERE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, NAGATHIBELAGALU, 219864, 13.92336, 75.71739, NAGATHIBELAGALU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, SIDLIPURA, 219866, 14.01624, 75.68021, SIDLIPURA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, VEERAPURA, 219871, 13.87617, 75.73517, VEERAPURA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, YEREHALLI, 219873, 13.82224, 75.73443, YEREHALLI, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, KAMBADALU HOSURU, 219856, 13.77594, 75.64807, KAMBADALU HOSURU, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, SINGANAMANE, 219867, 13.71727, 75.63558, SINGANAMANE, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, TAVARAGATTA, 219869, 13.73682, 75.63563, TAVARAGATTA, 21
Karnataka, 29, Shimoga, 568, BHADRAVATI, 5898, UMBLEBILU, 220017, 13.76473, 75.56341, UMBLEBILU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, MARUTHIPURA, 219891, 14.289167, 75.043194, MARUTHIPURA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, M.GUDDEKOPPA, 219890, 13.913722, 75.098806, M.GUDDEKOPPA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, MELINABESIGE, 219893, 13.89075, 75.071222, MELINABESIGE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, MUMBARU, 219894, 13.922833, 75.120389, MUMBARU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, SONALE, 219899, 13.856, 75.141167, SONALE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, TRINIVE, 219901, 13.871639, 75.075167, TRINIVE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, ANDAGADHUDHURU, 219875, 13.785389, 75.050694, ANDAGADHUDHURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, ARAMANEKOPPA, 219876, 13.867361, 74.984556, ARAMANEKOPPA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, HOSURU(SAMPEKATTE), 219884, 13.887056, 74.955889, HOSURU(SAMPEKATTE), 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, KARIMANE, 219887, 13.783583, 75.019556, KARIMANE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, MASTHIKATTE, 219892, 14.248639, 75.058361, MASTHIKATTE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, SULAGODU, 219900, 14.162528, 75.123972, SULAGODU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, YADURU, 219902, 14.169222, 75.154389, YADURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, NAGARA, 219895, 13.821583, 75.019556, NAGARA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, NITTURU, 219896, 13.922278, 74.905694, NITTURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, HARATHALU, 219881, 14.017778, 75.177528, HARATHALU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, AMRUTHA, 219874, 13.894, 75.239444, AMRUTHA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, ARASALU, 219877, 13.999, 75.306944, ARASALU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, BALURU, 219878, 14.025222, 75.245361, BALURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, BELLURU, 219879, 13.917417, 75.345194, BELLURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, CHIKKAJENI, 219880, 13.959167, 75.197917, CHIKKAJENI, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, HEDDHARIPURA, 219883, 13.93425, 75.268833, HEDDHARIPURA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, CHIKKAJENI, 219886, 13.967944, 75.066833, CHIKKAJENI, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, KENCHANALA, 219888, 14.017444, 75.285556, KENCHANALA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, KODURU, 219889, 13.935028, 75.154139, KODURU, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, REPPANPETE, 219898, 13.992917, 75.259861, REPPANPETE, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, ACHAPURA, 219903, 14.072281, 75.233781, ACHAPURA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, ANANDAPURA, 219904, 14.077942, 75.212781, ANANDAPURA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, GOWTHAMAPURA, 219912, 14.138644, 75.223417, GOWTHAMAPURA, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, HOSURU (SAGAR), 219916, 14.09695, 75.173967, HOSURU (SAGAR), 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, YADEHALLI, 219937, 14.066117, 75.212111, YADEHALLI, 21
Karnataka, 29, Shimoga, 568, HOSANAGARA, 5899, HUMCHA, 222941, 13.992917, 75.259861, HUMCHA, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, ARASINAGERE, 219941, 14.18707, 75.32738, ARASINAGERE, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, CHURCHUGUNDI, 219948, 14.213411, 75.341467, CHURCHUGUNDI, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, ESURU, 219949, 14.230931, 75.340497, ESURU, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, HITTALA, 219957, 14.190683, 75.357572, HITTALA, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, KALMANE, 219962, 14.15591, 75.35338, KALMANE, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, AMATEKOPPA, 219939, 14.26925, 75.28941, AMATEKOPPA, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, AMBARAGOPPA, 219940, 14.29372, 75.33069, AMBARAGOPPA, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, BAGANAKATTE, 219942, 14.33607, 75.39841, BAGANAKATTE, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, BEGURU, 219943, 14.28118, 75.40357, BEGURU, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, GAMA, 219950, 14.254378, 75.336394, GAMA, 21
Karnataka, 29, Shimoga, 568, Shikaripura, 5901, GODDANAKOPPA, 219951, 14.295622, 75.380403, GODDANAKOPPA, 21
