State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
Karnataka, 29, Bellary, 565, Bellary, 5781,amarapura, 219160, 15.14362, 77.01151, Amarapura, 21,1427
Karnataka, 29, Bellary, 565, Bellary, 5781,paramadevana halli, 219183, 15.14288, 77.05567, Paramadevana Halli, 21,1003
Karnataka, 29, Bellary, 565, Bellary, 5781,kappagal, 219172, 15.20086, 76.97919, Kappagal, 21,7227
Karnataka, 29, Bellary, 565, Bellary, 5781,siriwara, 219191, 15.19655, 76.97976, Siriwara, 21,6244
Karnataka, 29, Bellary, 565, Bellary, 5781,b.d.halli, 219161, 15.20819, 77.05346, B.D.Halli, 21,3365
Karnataka, 29, Bellary, 565, Bellary, 5781,vannenur, 219194, 15.20444, 77.04975, Vannenur, 21,3020
Karnataka, 29, Bellary, 565, Bellary, 5781,basarakodu, 219163, 15.34333, 77.05988, Basarakodu, 21,1595
Karnataka, 29, Bellary, 565, Bellary, 5781,moka, 219180, 15.23826, 77.05996, Moka, 21,11690
Karnataka, 29, Bellary, 565, Bellary, 5781,yerra gudi, 219199, 15.27127, 77.08974, Yerra Gudi, 21,4656
Karnataka, 29, Bellary, 565, Bellary, 5781,moka gonal, 219179, 15.26909, 77.12572, Moka Gonal, 21,3160
Karnataka, 29, Bellary, 565, Bellary, 5781,sangankal, 219185, 15.17366, 76.96857, Sangankal, 21,9184
Karnataka, 29, Bellary, 565, Bellary, 5781,chellagurki, 219165, 15.1203, 77.13259, Chellagurki, 21,2208
Karnataka, 29, Bellary, 565, Bellary, 5781,karekal, 219173, 15.20036, 77.11587, Karekal, 21,1895
Karnataka, 29, Bellary, 565, Bellary, 5781,sidiginamola, 219189, 15.17391, 77.07393, Sidiginamola, 21,3018
Karnataka, 29, Bellary, 565, Bellary, 5781,somasamudra, 219192, 15.24012, 76.8996, Somasamudra, 21,7958
Karnataka, 29, Bellary, 565, Bellary, 5781,sreedharagadda, 219193, 15.21064, 76.93544, Sreedharagadda, 21,2139
Karnataka, 29, Bellary, 565, Bellary, 5781,korlagundi, 219176, 15.27663, 76.93959, Korlagundi, 21,6906
Karnataka, 29, Bellary, 565, Bellary, 5781,handihal, 219170, 15.32848, 76.99124, Handihal, 21,2040
Karnataka, 29, Bellary, 565, Bellary, 5781,belgal, 219164, 15.1331, 76.99748, Belgal, 21,5826
Karnataka, 29, Bellary, 565, Bellary, 5781,shankarbande, 219187, 15.09671, 76.99748, Shankarbande, 21,1011
Karnataka, 29, Bellary, 565, Bellary, 5781,rupangudi, 219184, 15.04964, 77.06477, Rupangudi, 21,1247
Karnataka, 29, Bellary, 565, Bellary, 5781,yettinabudihal, 219195, 15.04797, 76.98446, Yettinabudihal, 21,2500
Karnataka, 29, Bellary, 565, Bellary, 5781,s.g.kote, 219186, 15.05605, 76.92962, S.G.Kote, 21,1368
Karnataka, 29, Bellary, 565, Bellary, 5781,halakundi, 219169, 15.08393, 76.88408, Halakundi, 21,4620
Karnataka, 29, Bellary, 565, Bellary, 5781,kuditini, 219177, 15.19943, 76.76214, Kuditini, 21,2326
Karnataka, 29, Bellary, 565, Bellary, 5781,kolagal, 219174, 15.19508, 76.86662, Kolagal, 21,11585
Karnataka, 29, Bellary, 565, Bellary, 5781,kolur, 219175, 15.28511, 76.90913, Kolur, 21,5872
Karnataka, 29, Bellary, 565, Bellary, 5781,dammur, 219166, 15.30595, 76.92611, Dammur, 21,4187
Karnataka, 29, Bellary, 565, Bellary, 5781,sindigeri, 219190, 15.36403, 76.91279, Sindigeri, 21,5252
Karnataka, 29, Bellary, 565, Bellary, 5781,yerrangali, 219198, 15.257, 76.8401, Yerrangali, 21,5119
Karnataka, 29, Bellary, 565, Bellary, 5781,siddamanahalli, 219188, 15.26923, 76.78472, Siddamanahalli, 21,6133
Karnataka, 29, Bellary, 565, Bellary, 5781,badanahatti, 219162, 15.31761, 76.82397, Badanahatti, 21,8594
Karnataka, 29, Bellary, 565, Bellary, 5781,kurugodu, 219178, 15.34508, 76.83631, Kurugodu, 21,21952
Karnataka, 29, Bellary, 565, Bellary, 5781,genikehal, 219167, 15.37508, 76.83823, Genikehal, 21,168
Karnataka, 29, Bellary, 565, Bellary, 5781,h.veerapura, 219168, 15.40395, 76.78006, H.veerapura, 21,3658
Karnataka, 29, Bellary, 565, Bellary, 5781,nelludi, 219181, 15.39509, 76.6644, Nelludi, 21,2825
Karnataka, 29, Bellary, 565, Bellary, 5781,yemmiganur, 219197, 15.39879, 76.70331, Yemmiganur, 21,13868
Karnataka, 29, Bellary, 565, Bellary, 5781,orvai, 219182, 15.35152, 76.73402, Orvai, 21,1905
