amminbhavi,12243
arwatagi,956
benachi,1982
devarhubbali,56
hangarki,594
hebballi,12659
kalakeri,481
karadigudda,4757
kotabagi,2836
kotur,4790
kurbagatti,1972
lokur,1986
madhanbhavi,1236
managundi,4918
mandihal,1490
maradagi,1616
mugad,5085
mummigatti,4731
narendra,676
nigadi,1580
pudkalakatti,2578
ramapur,1777
shivalli,3359
tadakoda,6524
uppin betageri,1491
yadawad,2123
belur,478
kadabagatti,1462
tegur,951
adargunchi,558
anchatgeri,1204
belagali,1405
chabbi,4536
hallyal,3645
hebsur,3842
kardikoppa,2452
katnur,1369
koliwad,2062
kusugal,9825
mantur,1070
nulavi,7514
rayanal,1432
shiraguppi,4840
sulla,6938
varur,974
bammigatti,525
begur,862
dastikoppa,1436
devikoppa,466
madakihonnahalli,865
mishrikoti,9006
mukkal,2674
muttagi,1958
sangameshwar,2151
sulikatti,426
surashettikoppa,375
tabakadahonnihalli,4170
tambur,435
tavargeri,841
ugginakeri,603
betadur,1175
goudageri,2208
gudageri,9886
gudenakatti,1248
harlapur,1467
hiregunjal,2199
hireharkuni,4721
hirenarti,2272
ingalagi,4224
kalas,7219
kamadolli,7931
mattigatti,2908
ramanakoppa,151
rottigawad,2299
saunsi,12848
yarebudihal,3416
yeliwal,5212
yeraguppi,1041
alagawadi,5838
belavatagi,1548
bhadrapur,1051
gudisagar,2109
gummagola,1715
halakusugal,4147
hallikeri,1588
hebbal,3522
ibrahimpur,2225
javur,1651
kalawad,1486
morab,1806
nalawadi,3658
nayakanur,761
shirur,3111
shisuvinahalli,2243
tadahala,1532
tirlapur,5585
tuppadakurahatti,1025
yemanur,3387
