State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,b.ganekal, 888888, 16.3034, 76.88593, B.Ganekal, 21,2394
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,arkera, 888888, 16.27724, 76.95139, Arkera, 21,1082
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,kothadoddi, 888888, 16.32365, 76.94311, Kothadoddi, 21,1217
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,maladakal, 888888, 16.28413, 77.10461, Maladakal, 21,1091
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,galaga, 888888, 16.26246, 76.83889, Galaga, 21,1499
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,mundaragi, 888888, 16.32975, 76.85307, Mundaragi, 21,819
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,k.irabgera, 888888, 16.36348, 76.93041, K.irabgera, 21,1193
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,karigudda, 888888, 16.41106, 76.88624, Karigudda, 21,1832
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,karadigudda, 888888, 16.37846, 76.81656, Karadigudda, 21,547
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,jalahalli, 888888, 16.36823, 76.77938, Jalahalli, 21,99
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,chinchodi, 888888, 16.3931, 76.7309, Chinchodi, 21,1048
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,hosur siddapur, 888888, 16.3445, 76.7696, Hosur Siddapur, 21,2691
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,ganadhal (deodurga), 888888, 16.30021, 76.78845, Ganadhal (deodurga), 21,1455
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,jeerabandi, 888888, 16.42394, 76.99861, Jeerabandi, 21,915
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,dondambli, 888888, 16.49088, 76.96899, Dondambli, 21,1759
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,palakanamardi, 888888, 16.23914, 76.78471, Palakanamardi, 21,688
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,koppar, 888888, 16.49576, 77.02259, Koppar, 21,442
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,gugal, 888888, 16.47109, 77.14405, Gugal, 21,1477
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,hirebudur, 888888, 16.40082, 77.07393, Hirebudur, 21,636
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,masarkal, 888888, 16.36943, 77.01781, Masarkal, 21,1104
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,ramadurga, 888888, 16.29183, 77.06878, Ramadurga, 21,1118
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,gabbur, 888888, 16.3063, 77.15842, Gabbur, 21,8272
Karnataka, 29, Raichur, 559, DEVADURGA, 5893,hemanal, 888888, 16.38251, 77.17796, Hemanal, 21,1925
