State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MADHYA PRADESH,23,Betul,447,MULTAI,3768,NIMANWADA,134181,78.0135,21.7107,NIMANWADA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,MAHENDRA,141594,22.581983,74.240117,MAHENDRA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BARJHAR,141576,22.601533,74.24395,BARJHAR,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADIPOL,141574,22.538217,74.257233,BADIPOL,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADGOAN,141571,22.5774,74.25815,BADGOAN,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BORKUNDIYA,141577,22.581483,74.2724,BORKUNDIYA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,RINGOL,141598,22.61385,74.275183,RINGOL,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,CHHOTIPOL,141582,22.547617,74.28175,CHHOTIPOL,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,CHHOTA BHAWATA,141578,22.520467,74.281817,CHHOTA BHAWATA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,KORIYAPAN,141593,22.559967,74.296817,KORIYAPAN,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADAKHUTAJA,141570,22.59265,74.303267,BADAKHUTAJA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,ROLIGAON,141599,22.5427,74.311317,ROLIGAON,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,CHHOTAKHUTAJA,141579,22.567783,74.311833,CHHOTAKHUTAJA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,JHARANI,142097,23.058067,74.331717,JHARANI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,CHHOTI MALPUR,141580,22.577067,74.334433,CHHOTI MALPUR,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,KALIIYAWAV,141590,22.55125,74.336133,KALIIYAWAV,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,KAKADBARI,141589,22.628967,74.340767,KAKADBARI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,SEJAWADA,141601,22.6114,74.342117,SEJAWADA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,BALWASA,142075,23.0516,74.346817,BALWASA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADIKARETI,141573,22.5551,74.3513,BADIKARETI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,KHERIYAMALI,141591,22.579983,74.35445,KHERIYAMALI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,CHHOTIFATA,141581,22.497317,74.359533,CHHOTIFATA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADA BHAWATA,141569,22.51805,74.3598,BADA BHAWATA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,CHHAPRI,142085,23.084067,74.361033,CHHAPRI,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,CHHAYAN,142086,23.069183,74.3626,CHHAYAN,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,BIHAR,142082,23.036233,74.365483,BIHAR,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,SANDA,141600,22.598583,74.369083,SANDA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,BATTHA,142076,23.071983,74.370067,BATTHA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,DUNGALIWANI,141584,22.620933,74.372467,DUNGALIWANI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BAHEDAWA,141575,22.5058,74.37375,BAHEDAWA,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,SAGOTA,142169,22.440783,74.374317,SAGOTA,2
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,TOKRIA JHAIRAN,142176,22.46755,74.374767,TOKRIA JHAIRAN,2
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,PALASDOR,142122,23.0432,74.375033,PALASDOR,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,AMANKUWA,141568,22.5857,74.3751,AMANKUWA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,MENDHA,141597,22.547967,74.377933,MENDHA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,MATHA NA,141595,22.5534,74.384767,MATHA NA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,HARINAGAR,142095,23.074967,74.3877,HARINAGAR,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,JHOSALI,142098,23.084333,74.391433,JHOSALI,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,DEOKA,142090,23.072617,74.392733,DEOKA,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,KALUWAT,142159,22.487567,74.392967,KALUWAT,2
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,THETHAM,142136,23.092267,74.39335,THETHAM,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,GIRDHA,141586,22.525867,74.394767,GIRDHA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,DUNGARYPADA,142093,23.040117,74.397683,DUNGARYPADA,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,MAYAWAT,141596,22.509033,74.4014,MAYAWAT,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,HARDASPUR,142156,22.419517,74.4038,HARDASPUR,2
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,TEMACHI,142173,22.477183,74.404717,TEMACHI,2
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,BHIMPURI,142081,23.0515,74.40475,BHIMPURI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,BADI MIRYAWATA,141572,22.519033,74.410683,BADI MIRYAWATA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,GORIYAKHANDAN,142094,23.06155,74.41185,GORIYAKHANDAN,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,DEWALI,141583,22.575083,74.422017,DEWALI,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,GERUGHATI,141585,22.55225,74.422133,GERUGHATI,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,CHHOTA ITARA,142149,22.460117,74.4245,CHHOTA ITARA,2
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,KAKANWANI,142101,23.045483,74.426183,KAKANWANI,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,BADA ITARA,142142,22.464767,74.427283,BADA ITARA,2
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,JHIRAN,141588,22.495467,74.43185,JHIRAN,1
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,JAWANIYA,141587,22.51725,74.434317,JAWANIYA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,HEDAWA,142096,23.030067,74.4351,HEDAWA,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,PANCHKHORIYA,142123,23.0227,74.437933,PANCHKHORIYA,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,BORJHAD,142147,22.441233,74.440467,BORJHAD,2
MADHYA PRADESH,23,Jhabua,464,JHABUA,3875,BHIMFALIYA,141612,22.778878,74.44556,BHIMFALIYA,1
MADHYA PRADESH,23,Alirajpur,465,UDAIGARH,3884,DEKALKUWA,142153,22.482933,74.449367,DEKALKUWA,2
MADHYA PRADESH,23,Alirajpur,465,BHABRA,3874,KILANA,141592,22.514167,74.4511,KILANA,1
MADHYA PRADESH,23,Jhabua,464,JHABUA,3875,KALAKHUNT,141635,22.801386,74.451198,KALAKHUNT,1
MADHYA PRADESH,23,Jhabua,464,THANDLA,3883,MORJHARI,142114,23.032683,74.45765,MORJHARI,1
MADHYA PRADESH,23,Jhabua,464,JHABUA,3875,PITOL BADI,141663,22.785932,74.466358,PITOL BADI,1
