aamkhedasukha,808
aamkhedatumem,1445
bamuriyafoot,913
bamuriyashadora,367
baramahu,10000
barkhedajagir,513
barkhedalal,1241
barkhedanai.,492
barkheditumen,399
bhonrakhali,974
dongrapachhar,272
kakaraarai,10000
kakda,1305
kareyabuddhu,868
khejarakhurd,422
khejrahat,413
kudhayai,1240
mohrirai,2887
mohrijan,633
padamghata,817
rovsar,1236
samrabamora,766
semrapahara,1322
shadora,560
sirsinai,1395
sirsipachar,338
amod,506
bamankhiriya,876
bamorikhutiya,2046
bamoritaka,369
barkhada,55
barkhedajamal,10000
geelaropa,203
ghatbamuriya,832
gorabahadurpur,3551
jarolibujurg,1781
jarolidhuvyai,848
jhagarbamuriya,1216
kachibarkheda,554
khoribari,222
kirrola,1256
moodramungaoli,493
mundrabahadura,457
nadankhedi,1583
pipalkhadi,1284
pipariya,849
sajanmahukala,696
silwarakalan,2031
amrodsigrana,1606
ghurwarkala,2031
madimahiapur,313
bargaon,1411
