State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BAKNASA, 134471, 26.518941, 78.237652, BAKNASA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BARA, 134473, 26.488257, 78.252789, BARA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BARON, 134475, 26.533252, 78.272627, BARON, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, TAITON, 134545, 26.481136, 78.27488, TAITON, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, KANCHANPUR, 134508, 26.449843, 78.27949, KANCHANPUR, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, SINGWARI, 134542, 26.37348, 78.285025, SINGWARI, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BHONPURA, 134478, 26.559344, 78.295163, BHONPURA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, GURIKHA, 134500, 26.392666, 78.296755, GURIKHA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, MALANPUR, 134526, 26.359007, 78.29934, MALANPUR, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, SHERPUR, 134540, 26.484386, 78.301823, SHERPUR, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, NOUNERA, 134529, 26.435919, 78.309094, NOUNERA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, RAYATPURA, 134537, 26.453366, 78.316594, RAYATPURA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, IKHARA, 134503, 26.389087, 78.322327, IKHARA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, LEHCHURA, 134521, 26.362677, 78.324777, LEHCHURA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, PADRAYEE, 134530, 26.5471, 78.330922, PADRAYEE, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, ENDOURI, 134493, 26.500416, 78.335522, ENDOURI, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, CHHARENTA (ENO), 134483, 26.453204, 78.3443, CHHARENTA (ENO), 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, ENO, 134494, 26.547541, 78.345233, ENO, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, TUKEDA, 134547, 26.406005, 78.347447, TUKEDA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, TUDILA, 134546, 26.382327, 78.358555, TUDILA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, SARVA, 134539, 26.423991, 78.362119, SARVA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, KHANETA, 134514, 26.470216, 78.368216, KHANETA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, CHANDOKHAR, 134481, 26.514463, 78.376408, CHANDOKHAR, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, ALORI, 134462, 26.345872, 78.378791, ALORI, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, SUHANS, 134544, 26.558488, 78.379811, SUHANS, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, ECHAYA, 134492, 26.370122, 78.3802, ECHAYA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, LODHE KI PALI, 134522, 26.496644, 78.388299, LODHE KI PALI, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, KATHWA HANJI, 134512, 26.396136, 78.390641, KATHWA HANJI, 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, HARIKCHHA, 134651, 26.580088, 78.391967, HARIKCHHA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, RAI KI PALI, 134534, 26.536322, 78.395919, RAI KI PALI, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, CHHIMKA, 134485, 26.448615, 78.40083, CHHIMKA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, KANIPURA, 134510, 26.482046, 78.401329, KANIPURA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BARTHARA, 134476, 26.408905, 78.403883, BARTHARA, 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, SHYAMPURA, 134702, 26.533803, 78.421498, SHYAMPURA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, FATEHPUR, 134495, 26.489552, 78.422555, FATEHPUR, 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, SIKROUDA, 134703, 26.584737, 78.42316, SIKROUDA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BADAGAR, 134468, 26.395472, 78.427716, BADAGAR, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, PIPAHADI, 134532, 26.501683, 78.432172, PIPAHADI, 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, TIKARI (PAROSA), 134716, 26.601682, 78.43263, TIKARI (PAROSA), 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, CHAPARA, 134630, 26.542016, 78.439265, CHAPARA, 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, BADERA (MOU), 134469, 26.29315, 78.443491, BADERA (MOU), 2
MADHYA PRADESH, 23, Bhind, 420, GOHAD, 3773, PIPARSANA, 134533, 26.325566, 78.446422, PIPARSANA, 2
MADHYA PRADESH, 23, Bhind, 420, MEHGAON, 3775, KRAPEKAPURA, 134668, 26.561527, 78.448777, KRAPEKAPURA, 2
