State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BHENSRAWAN, 152314, 25.368988, 77.089362, BHENSRAWAN, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, MAHALONI, 152365, 25.418448, 77.179154, MAHALONI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, HINOTIYA, 152346, 25.445075, 77.187911, HINOTIYA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DIGDOLI, 152331, 25.353022, 77.188664, DIGDOLI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, CHARCH, 152323, 25.409616, 77.195928, CHARCH, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, KHARWAYA, 152360, 25.361713, 77.196211, KHARWAYA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BILAUA, 152317, 25.503969, 77.208946, BILAUA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, CHANDPUR, 152322, 25.370179, 77.212633, CHANDPUR, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, GALTHUNI, 152338, 25.388294, 77.216939, GALTHUNI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, MENHADEVA, 152370, 25.478888, 77.218151, MENHADEVA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DOBHA, 152332, 25.486463, 77.241842, DOBHA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DAURANI, 152325, 25.437961, 77.284094, DAURANI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, MADKHEDA, 152364, 25.576111, 77.291286, MADKHEDA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, PARASARI, 152375, 25.439297, 77.341804, PARASARI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, JAKHANOD, 152347, 25.553761, 77.344772, JAKHANOD, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, NONHETA KHURD, 152373, 25.599557, 77.345421, NONHETA KHURD, 2
MADHYA PRADESH, 23, Shivpuri, 423, BADARWAS, 4011, RAMPURI, 151894, 24.994902, 77.345565, RAMPURI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, UPSIL, 152388, 25.494516, 77.349165, UPSIL, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, POHARI, 152378, 25.533243, 77.358622, POHARI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DANGBARBE, 152324, 25.634402, 77.359781, DANGBARBE, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, AGRRA, 152302, 25.459928, 77.361416, AGRRA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, KRISHANGANJ, 152363, 25.541692, 77.363321, KRISHANGANJ, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, ESWAYA, 152335, 25.645531, 77.363349, ESWAYA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, NANORA, 152371, 25.581746, 77.366588, NANORA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, GOBARA, 152340, 25.666407, 77.377688, GOBARA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, GONDARI, 152341, 25.680774, 77.380279, GONDARI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, PEPARGHAR, 152377, 25.499579, 77.381168, PEPARGHAR, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, GWALIPURA, 152344, 25.553312, 77.381976, GWALIPURA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BENHATA, 152309, 25.559108, 77.382888, BENHATA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, VESHI, 152390, 25.454158, 77.383272, VESHI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BHATNAWAR, 152313, 25.597088, 77.387471, BHATNAWAR, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, KOTANAKA, 152119, 25.260962, 77.390326, KOTANAKA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, MALBARBE, 152367, 25.620025, 77.391189, MALBARBE, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, GHATAI, 152339, 25.451675, 77.391647, GHATAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, BADARWAS, 4011, MUDERI, 151890, 25.008143, 77.400189, MUDERI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DEVPURA, 152327, 25.731663, 77.402707, DEVPURA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, RAIYAN, 152380, 25.744537, 77.403028, RAIYAN, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, DHUNWAN, 152102, 25.022001, 77.403528, DHUNWAN, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, ATAMANPUR, 152084, 25.354019, 77.407498, ATAMANPUR, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, KAKRAI, 152352, 25.705361, 77.408265, KAKRAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, MAKLIJARA, 152366, 25.632401, 77.408377, MAKLIJARA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, KHUMHARAUAKALONI, 152116, 25.233487, 77.409976, KHUMHARAUAKALONI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, KEMAI, 152356, 25.761528, 77.410472, KEMAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DEVRIKALA, 152328, 25.651735, 77.413973, DEVRIKALA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DEVARIKHURD, 152326, 25.503517, 77.414262, DEVARIKHURD, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, CHAKARANA, 152321, 25.556214, 77.414342, CHAKARANA, 2
MADHYA PRADESH, 23, Shivpuri, 423, BADARWAS, 4011, AGRA, 151850, 24.991792, 77.424407, AGRA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, SUATOR, 152144, 25.312461, 77.425981, SUATOR, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, SANPARWADA, 152383, 25.660829, 77.427983, SANPARWADA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, VASAI, 152149, 25.073078, 77.431283, VASAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, BADARWAS, 4011, SALON, 151900, 24.977861, 77.431932, SALON, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BACHORA, 152304, 25.550179, 77.434702, BACHORA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, PAHADI, 152131, 25.345537, 77.435151, PAHADI, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, DEHROD, 152101, 25.331582, 77.437824, DEHROD, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, JORAI, 152351, 25.744814, 77.438794, JORAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BILVARAKALA, 152318, 25.588679, 77.439052, BILVARAKALA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, BAMRA, 152307, 25.462331, 77.439157, BAMRA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, DEEGHODI, 152099, 25.237187, 77.440596, DEEGHODI, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, KISHANPUR, 152118, 25.023862, 77.440654, KISHANPUR, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, JARIYAKALA, 152348, 25.734253, 77.441196, JARIYAKALA, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, UNHAI, 152148, 25.191656, 77.442549, UNHAI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, PACHIPURA, 152374, 25.683851, 77.443031, PACHIPURA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, DULHARA, 152333, 25.614311, 77.449294, DULHARA, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, SEVAKHEDI, 152384, 25.570363, 77.453118, SEVAKHEDI, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, KALAMAD, 152354, 25.703046, 77.453529, KALAMAD, 2
MADHYA PRADESH, 23, Shivpuri, 423, POHRI, 4017, PARICCHAAHEER, 152376, 25.509707, 77.454154, PARICCHAAHEER, 2
MADHYA PRADESH, 23, Shivpuri, 423, KOLARAS, 4014, LEVA, 152121, 25.190778, 77.454422, LEVA, 2
