State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DUGAWA, 138260, 22.125427, 74.739544, DUGAWA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DAHER, 138255, 22.079145, 74.739678, DAHER, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, AMALIJHUMA, 138246, 22.14659, 74.748782, AMALIJHUMA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, SUSARI, 138278, 22.184832, 74.762633, SUSARI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KONADA, 138265, 22.127817, 74.762815, KONADA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, NAWADPURA, 138271, 22.108168, 74.770812, NAWADPURA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, CHANDANKHEDI, 138252, 22.090747, 74.772046, CHANDANKHEDI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, BHAWARIYA, 138251, 22.141348, 74.786741, BHAWARIYA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KHARAJANA, 138264, 22.168486, 74.794315, KHARAJANA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KOTHDA, 138266, 22.08774, 74.800059, KOTHDA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, LONI, 138269, 22.201486, 74.808907, LONI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, NISARPUR, 138273, 22.10947, 74.809018, NISARPUR, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DHUKNI, 138258, 22.189421, 74.830311, DHUKNI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, AMBADA, 138247, 22.215825, 74.832747, AMBADA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, RASWA, 138275, 22.1375, 74.836171, RASWA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DESHWALYA, 138257, 22.161153, 74.841366, DESHWALYA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KHAPARKHEDA, 138263, 22.077465, 74.843393, KHAPARKHEDA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, NANODA, 138270, 22.182132, 74.845447, NANODA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, TALWADA, 138279, 22.241408, 74.856664, TALWADA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KADMAL, 138261, 22.110792, 74.859374, KADMAL, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DHULSAR, 138259, 22.195667, 74.867413, DHULSAR, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, PIPALYA, 138274, 22.137647, 74.868627, PIPALYA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, KHANDWA, 138262, 22.158445, 74.870838, KHANDWA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, BHAINSLAI, 138250, 22.234337, 74.871255, BHAINSLAI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, CHIKHALDA, 138253, 22.089709, 74.881424, CHIKHALDA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, CHIPRATA, 138254, 22.235653, 74.888314, CHIPRATA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, NIMBOL, 138272, 22.174859, 74.891137, NIMBOL, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, DAHODPURA, 138256, 22.143237, 74.895192, DAHODPURA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, SEESGON, 138276, 22.096002, 74.904029, SEESGON, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, SULGON, 138277, 22.190824, 74.905018, SULGON, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, LINGWA, 138267, 22.132537, 74.906115, LINGWA, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, LOHARI, 138268, 22.211886, 74.914664, LOHARI, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, BADGAON, 138248, 22.23246, 74.917185, BADGAON, 21
MADHYA PRADESH, 23, Dhar, 438, NISARPUR, 3825, BEDVALYA, 138249, 22.145329, 74.917476, BEDVALYA, 21
MADHYA PRADESH, 23, Dhar, 438, MANAWAR, 3823, GANPUR, 138139, 22.123384, 74.929946, GANPUR, 21
MADHYA PRADESH, 23, Dhar, 438, MANAWAR, 3823, EKALBARA, 138137, 22.141144, 74.934646, EKALBARA, 21
