State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, BANTARAM, 209903, 17.44191, 77.705457, BANTARAM, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, BARWAD, 209904, 17.451046, 77.795819, BARWAD, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, BEEROL, 209905, 17.404835, 77.819457, BEEROL, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, INDOLE, 210341, 17.376918, 77.690673, INDOLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, JINNARAM, 209907, 17.401727, 77.786384, JINNARAM, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, KANKANALAPALLE, 209908, 17.387427, 77.772127, KANKANALAPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, KAREEMPUR, 209909, 17.41891, 77.796334, KAREEMPUR, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, KOTHAPALLE, 212875, 17.409441, 77.741591, KOTHAPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, KOTPALLY, 210346, 17.384902, 77.742486, KOTPALLY, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, MALA SOMARAM, 209911, 17.460236, 77.760786, MALA SOMARAM, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, MOTHUKUPALLE, 209912, 17.438458, 77.809115, MOTHUKUPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, NAGSANPALLE, 209913, 17.42381, 77.810978, NAGSANPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, RAMPUR, 209914, 17.405179, 77.760998, RAMPUR, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, ROMPALLE, 209915, 17.410437, 77.684646, ROMPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, SALBATHAPUR, 212881, 17.391762, 77.711716, SALBATHAPUR, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, YACHARAM, 209918, 17.456915, 77.740929, YACHARAM, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, YENKEPALLE, 209919, 17.422202, 77.768351, YENKEPALLE, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BANTWARAM, 5510, YENNARAM, 209920, 17.428747, 77.755799, YENNARAM, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, BASHEERABAD, 209921, 17.217985, 77.424129, BASHEERABAD, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, DAMARCHED, 209922, 17.183117, 77.439244, DAMARCHED, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, EKMAI, 209923, 17.172903, 77.391751, EKMAI, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, GOTTIGA KHURD, 209924, 17.206804, 77.498139, GOTTIGA KHURD, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, INDERCHED, 209925, 17.222898, 77.397346, INDERCHED, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, JEEVANGI, 209926, 17.251112, 77.461743, JEEVANGI, 21
ANDHRA PRADESH, 28, RANGAREDDI, 537, BASHEERABAD, 5511, KHASIMPUR, 209927, 17.204944, 77.51919, KHASIMPUR, 21
