State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,sarsi, 150739, 24.0671, 81.04902, SARSI, 2,1919
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,baheriya, 150681, 24.03972, 81.05382, BAHERIYA, 2,716
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,sakandi, 150736, 24.02707, 81.06042, SAKANDI, 2,149
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,patharehi, 150732, 24.07105, 81.06115, PATHAREHI, 2,1832
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,odari, 150727, 24.06143, 81.06517, ODARI, 2,1764
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,barabagrlaha, 150685, 23.98608, 81.07857, BARABAGRLAHA, 2,1300
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,tenduha, 150743, 24.00398, 81.08388, TENDUHA, 2,1719
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,vijaysota, 150745, 23.97688, 81.0896, VIJAYSOTA, 2,1975
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,hirwar, 150707, 24.03718, 81.0943, HIRWAR, 2,1537
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,jamuni, 150709, 24.07623, 81.09907, JAMUNI, 2,1156
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,papoundh, 150729, 24.000174, 81.109841, PAPOUNDH, 2,4860
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,nipaniya, 150725, 24.00142, 81.11125, NIPANIYA, 2,22
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,dalko jageer, 150700, 23.99878, 81.12375, DALKO JAGEER, 2,1201
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,dalko kothar, 150701, 23.998135, 81.12983, DALKO KOTHAR, 2,2549
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,new sapta, 150724, 24.0644, 81.13322, NEW SAPTA, 2,486
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,kuwan, 150719, 24.062218, 81.133582, KUWAN, 2,110
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,papodh, 150728, 23.978342, 81.142474, PAPODH, 2,2141
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,mahadeva, 150721, 23.96667, 81.15532, MAHADEVA, 2,302
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,alhara, 150679, 24.03972, 81.1695, ALHARA, 2,586
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,bara, 150684, 23.99837, 81.18348, BARA, 2,1064
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,pasorh, 150973, 23.7953, 81.20043, PASORH, 2,548
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,banasi, 150683, 23.89737, 81.20735, BANASI, 2,611
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,tikhwa, 150744, 24.00978, 81.21415, TIKHWA, 2,547
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,masira, 150965, 23.76444, 81.21623, MASIRA, 2,188
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,reusa, 150980, 23.89675, 81.21781, REUSA, 2,933
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,banchachar, 150910, 23.77587, 81.23361, BANCHACHAR, 2,1008
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,pondikala, 150979, 23.87092, 81.24203, PONDIKALA, 2,4123
MADHYA PRADESH, 23, Shahdol, 460, GOHPARU, 3997,vishanpurwa, 150905, 23.62525, 81.2552, VISHANPURWA, 2,886
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,patharahata, 150975, 23.97253, 81.25955, PATHARAHATA, 2,819
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,thengaraha, 150990, 23.74838, 81.26213, THENGARAHA, 2,2171
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,satkhuri, 150741, 24.152903, 81.264162, SATKHURI, 2,1340
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,barna, 150915, 23.69244, 81.27591, BARNA, 2,90
MADHYA PRADESH, 23, Shahdol, 460, BEOHARI, 3995,dhandhokui, 150703, 24.03685, 81.27593, DHANDHOKUI, 2,1041
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,ghiar, 150940, 23.8329, 81.27849, GHIAR, 2,319
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,basohara, 150917, 23.6946, 81.27872, BASOHARA, 2,251
MADHYA PRADESH, 23, Shahdol, 460, GOHPARU, 3997,sarna, 150899, 23.63228, 81.28076, SARNA, 2,217
MADHYA PRADESH, 23, Shahdol, 460, JAISINGHNAGAR, 3998,chhateni, 150927, 23.999052, 81.282003, CHHATENI, 2,1778
MADHYA PRADESH, 23, Shahdol, 460, SOHAGPUR, 3999,machighanwa, 151045, 23.21153, 81.2867, MACHIGHANWA, 21,1533
