harsi,2253
dongarpur,469
belgarha,860
chitoli,1835
bajna,626
devrikala,1928
syau,1395
richharikhurd,249
rithodan,2527
dhobat,459
musahari,570
dubha,2708
karhiya,7198
richharikala,1666
khedatanka,1367
dubahi,1300
gadhota,1752
mastura,3378
rahi,1518
palaychha,350
baniyatoar,1266
urva,1617
bela,731
adampur,775
khadaua,463
kheda bhitarwar,540
himmatgarh,295
mehagaon,2806
mohangarh,2649
kakardha,740
itma,3390
jora,1478
singharan,1498
sirsula,240
banbar,4209
shyampur,490
kishorgarh,937
purabanbar,865
devgarh,508
saharan,295
pachora,260
keruaa,3737
mauchh,489
pipro,1079
piproua,1411
kithonda,624
dolatpur,1352
chinor,7797
gadajar,2287
jhankari,385
dhiroli,83
doni,614
maina,187
amarol,3004
charkha,1725
gohinda,2662
ikahara,763
non ki saray,891
bhori,1942
sontakhiriya,766
rarua,1729
bansodhi,706
gharsondi,2301
baroua,678
bagbai,3478
bamrol,872
khadbai,789
sirsa,818
baderabharas,650
sikroda,719
kishanpur,211
kachhaua,2201
kethi,807
devra,172
bhegna,1588
badki saray,834
banheri,1283
krara,705
chhimak,4085
sankhani,4127
kriyavati,2996
eraya,1650
kitora,2285
sarva,409
luhari,580
dhirora,740
jhadoli,2212
khervaya,1142
puri,961
mildhan,1327
ladvaya,619
kalyani,3424
adupura,164
chomo,840
pawaya,1454
makoda,1527
lidhora,1116
maharajpur,1958
jaravani,502
kethonda,1706
bharthari,1728
nunhari,659
jorasi,2362
rora,2505
badagaon,3298
beru,413
bona,118
salbai,365
bijakpur,2151
barol,712
sosa,1979
baretha,794
tekanpur,12348
bhesanari,2692
bastari,933
pathapanihar,348
bandholi,1931
chak keshvpur,1911
udaypur,725
dang-guthina,1007
samudan,1599
chiruli,1064
bhatpura-sani,1056
veerampura,453
guthina,1365
lohgarh,2139
chirpura,377
bahadurpur,1960
soni,1405
rai,762
siroli,1661
utila,4004
ratwai,2303
ladera,334
mugalpura,387
jaguupura,304
gurri,2106
bahangikhurd,955
sarspura,426
bijoli,2964
veeramdhana,897
berja,1963
gadhi,424
tiholi,3613
aaroli,633
parsen,4094
kosa,624
siyavari,663
duhiya,1621
sukhapatha,2426
janakpur,886
ekhara,899
govai,748
chandpur,348
sarnagat,1623
sunarpura-maphi,576
ikona,4
badera-futkar,1664
khedha,703
tankoli,103
bilheti,4021
supawali,2776
sirsod,3009
dhamnika,492
bhawanpura,753
dabka,2213
sahona,584
chhapra,850
bhageh,2749
dayeli,503
sakatpura,394
chak mehroli,956
aroli,1917
kirawali,242
jargaon,805
gijorra,2041
jakhara,2096
chaproli,1494
hastinapur,2256
putti,65
phusawali,307
mukhtiyarpura,387
bilara,1919
gundhara,2906
shuklhari,740
manhgaon,278
arora,773
vanipura,69
sisgaon,1315
behent,4735
khediraymal,1220
rahuly,44
gadroli,217
hathnoura,1887
dangiapura,2271
rangema,2181
ghusgeva,570
