jalalpur,886
jamahar,696
chak raipur,2224
bhed roly,540
badori,1931
govra,862
thethiyapura,774
jatharthi,360
turari,1056
senthari,766
ramaoua,453
rajiyawar,993
chitawani,1464
girgaon,5641
jarga,805
mohanpur,343
padampuj kheriya,1500
khujery,1220
jahangeerpur,343
behata,1664
itayal,1220
simariatal,2772
suron,865
barotha,794
ganeshpura,1911
akbai bada,4015
ramgarh grameen,1500
dabra gaon,805
buzurg,71
magrora,773
sultanpur,343
dhahi,1892
gandol kala,891
arru,739
badara buzurg,71
arusi,739
bargava,502
jangipura,2271
ajaigarh,1217
lakhnouti,259
kumharara,672
kiroi,242
devghar,508
