State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,adhuan,116581,21.149845,86.786531, Adhuan GP,2,590
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,andola,116582,20.985945,86.803552, Andola GP,2,464
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,arandua,116583,21.126054,86.696249, Arandua GP,2,648
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,artuna,116584,21.184432,86.771555, Artuna GP,2,2261
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,aruha,116585,21.157924,86.686671, Aruha GP,2,174
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,balimed,116586,21.020834,86.757199, Balimed GP,2,1858
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,balimuinda,116587,20.985113,86.855693, Balimuinda GP,2,1441
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,barada,116615,21.174928,86.442505, Barada GP,2,3209
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,barandua,116588,21.159218,86.686003, Barandua GP,2,231
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,biddeipur,116589,21.024965,86.816047, Biddeipur GP,2,13428
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,biras,116590,21.038586,86.808216, Biras GP,2,61
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,bramhangan,116591,21.106236,86.665541, Bramhangan GP,2,2263
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,chudamani,116592,21.137842,86.776768, Chudamani GP,2,9975
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,edtal,116593,21.067423,86.674621, Edtal GP,2,4453
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,eram,116594,21.158474,86.787882, Eram GP,2,3634
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,gobindapur,116595,21.002796,86.814065, Gobindapur GP,2,407
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,guagadia,116596,21.097282,86.694014, Guagadia GP,2,2414
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,jagannathprasad,116597,21.033509,86.724198, Jagannathprasad GP,2,359
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,jagannathpur,116598,21.207011,86.788072, Jagannathpur GP,2,2907
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,k.binayakpur,116599,21.099529,86.716832, K.Binayakpur GP,2,1613
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,kismat krushanapur,116600,21.075693,86.799504, Kismat Krushanapur GP,2,6974
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,kumarpur,116601,21.191541,86.793722, Kumarpur GP,2,321
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,laxmidaspur,116602,21.055264,86.762622, Laxmidaspur GP,2,435
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,lunga,116603,21.074633,86.698179, Lunga GP,2,2019
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,naikanidihi,116604,20.982769,86.813366, Naikanidihi GP,2,2098
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,narasinghpur,116605,21.146804,86.704919, Narasinghpur GP,2,508
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,nuagan,116606,21.168086,86.790021, Nuagan GP,2,266
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,padhuan,116607,21.197822,86.801487, Padhuan GP,2,6945
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,padmapur,116608,21.052905,86.664293, Padmapur GP,2,4423
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,rajaharopokhari,116609,21.017494,86.782515, Rajaharopokhari GP,2,555
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,sanakrushannpur,116610,21.061571,86.796602, Sanakrushannpur GP,2,592
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,sudarsanpur,116611,21.173665,86.753343, Sudarsanpur GP,2,1844
ODISHA,21, BHADRAK,378, BASUDEVPUR,3322,sugo,116612,21.068417,86.662055, Sugo GP,2,394
ODISHA,21, BHADRAK,378, BHADRAK,3323,amboroli,116613,21.136754,86.466781, Amboroli GP,2,3121
ODISHA,21, BHADRAK,378, BHADRAK,3323,andheipalli,116614,21.030208,86.411855, Andheipalli,2,1293
ODISHA,21, BHADRAK,378, BHADRAK,3323,arnapal,116615,20.986148,86.534918, Arnapal GP,2,2868
ODISHA,21, BHADRAK,378, BHADRAK,3323,bahudarada,116616,21.002664,86.435113, Bahudarada,2,3209
ODISHA,21, BHADRAK,378, BHADRAK,3323,bandhagan,116617,21.137603,86.486029, Bandhagan GP,2,1179
ODISHA,21, BHADRAK,378, BHADRAK,3323,banitia,116618,21.145999,86.458184, Banitia GP,2,2786
ODISHA,21, BHADRAK,378, BHADRAK,3323,benia,116619,21.072657,86.561305, Benia GP,2,1020
ODISHA,21, BHADRAK,378, BHADRAK,3323,bental,116620,21.023469,86.540525, Bental GP,2,636
ODISHA,21, BHADRAK,378, BHADRAK,3323,berhamopur,116621,21.059874,86.616255, Berhamopur GP,2,1436
ODISHA,21, BHADRAK,378, BHADRAK,3323,betara,116622,21.039326,86.437883, Betara,2,711
ODISHA,21, BHADRAK,378, BHADRAK,3323,bishnupursindha,116623,20.996012,86.522362, Bishnupursindha GP,2,2591
ODISHA,21, BHADRAK,378, BHADRAK,3323,chandigan,116624,21.095843,86.579182, Chandigan GP,2,1154
ODISHA,21, BHADRAK,378, BHADRAK,3323,charampa,116625,21.097795,86.516266, Charampa GP,2,2919
ODISHA,21, BHADRAK,378, BHADRAK,3323,dalsing,116626,21.121379,86.431379, Dalsing,2,1528
ODISHA,21, BHADRAK,378, BHADRAK,3323,erada,116627,21.091131,86.612546, Erada GP,2,1112
ODISHA,21, BHADRAK,378, BHADRAK,3323,erein,116628,21.084862,86.528895, Erein GP,2,7890
ODISHA,21, BHADRAK,378, BHADRAK,3323,geitua,116629,21.081581,86.479432, Geitua GP,2,2476
ODISHA,21, BHADRAK,378, BHADRAK,3323,gelpur,116630,21.039683,86.481627, Gelpur GP,2,500
ODISHA,21, BHADRAK,378, BHADRAK,3323,gujidarada,116631,21.003489,86.546299, Gujidarada GP,2,11746
ODISHA,21, BHADRAK,378, BHADRAK,3323,jagadalpur,116632,21.135428,86.556903, Jagadalpur GP,2,747
ODISHA,21, BHADRAK,378, BHADRAK,3323,kalei,116633,21.004744,86.481223, Kalei GP,2,2641
ODISHA,21, BHADRAK,378, BHADRAK,3323,kaupur,116634,21.134678,86.426486, Kaupur,2,3951
ODISHA,21, BHADRAK,378, BHADRAK,3323,kendarpur,116635,21.045015,86.553584, Kendarpur GP,2,469
ODISHA,21, BHADRAK,378, BHADRAK,3323,khandatada,116636,21.026286,86.526604, Khandatada GP,2,1864
ODISHA,21, BHADRAK,378, BHADRAK,3323,korkora,116637,21.021049,86.503273, Korkora GP,2,510
ODISHA,21, BHADRAK,378, BHADRAK,3323,olanga,116638,21.086135,86.455187, Olanga GP,2,500
ODISHA,21, BHADRAK,378, BHADRAK,3323,rahanja,116639,21.117415,86.553426, Rahanja GP,2,2793
ODISHA,21, BHADRAK,378, BHADRAK,3323,rambhila,116640,21.138388,86.532923, Rambhila GP,2,1200
