State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,AKOLE,193701,17.505417,75.368111,AKOLE PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,ANDHALGAON,193702,17.465917,75.345694,ANDALGAON PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,ARALI,193703,17.477028,75.62325,ARALI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,ASABEWADI,193704,17.287417,75.549583,ASABEWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BATHAN,193706,17.595222,75.522778,BATHAN PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BAVACHI,193707,17.334389,75.474694,BAVACHI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BHALEWADI,193709,17.465833,75.514111,BHALEWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BHALWANI,193708,17.409861,75.460806,BHALWANI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BHOSE,193710,17.311139,75.37425,BHOSE PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BORALE,193711,17.49475,75.584444,BORALE PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,BRAMHPURI,193712,17.558389,75.553472,BRAMHPURI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,CHIKHALGI,193713,17.322299,75.444092,CHIKHALGI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DEGAON,193714,17.545306,75.416417,DEGAON PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DHARMGAON,193715,17.585833,75.446694,DHARMGAON PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DHAVALAS,193716,17.574389,75.420778,DHAVALAS PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DIKSAL,193717,17.410583,75.525222,DIKSAL PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DONAJ,193718,17.45325,75.560833,DONAJ PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,DONGARGAON,193719,17.459889,75.418528,DONGARGAON PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,FATEWADI,193760,17.466833,75.476722,FATEWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,GANESHWADI,193720,17.486139,75.370222,GANESHWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,GHARNIKI,193721,17.549972,75.389861,PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,GONEWADI,193722,17.387111,75.342472,GONEWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,GUNJEGAON,193723,17.521222,75.331222,GUNJEGAON PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,HAJAPUR,193724,17.42375,75.423639,HAJAPUR PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,HANNUR,193727,17.265379,75.375529,HANNUR PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,HIVARGAON,193725,17.436556,75.441528,KHOMNAL PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,HULJANTI,193726,17.348083,75.552861,HULJANTI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,JALIHAL SIDHANKERI,193728,17.396889,75.433806,JALIHAL SCHOOL,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,JANGALGI,193729,17.3125,75.484222,JANGALGI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,JITTI,193730,17.362417,75.488278,JITTI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,JUNONI,193731,17.397528,75.369806,JUNONI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KACHAREWADI,193732,17.47875,75.402972,KACHAREWADI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KAGASHT,193733,17.40375,75.550111,KAGASHT PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KATRAL KARJAL,193734,17.391694,75.588639,KATRAL PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KHADAKI,193735,17.38975,75.391722,KHADAKI PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KHAVE,193736,17.374917,75.503389,KHAVE PANCHAYAT OFFICE,21
MAHARASHTRA,27,SOLAPUR,526,MANGALVEDHE,4583,KHOMNAL,193738,17.456222,75.457167,KHOMNAL PANCHAYAT OFFICE,21
