dahivad,3352
dahivad kh,756
lon sim,1044
sadavn bk,1072
jamdi pr b.,3644
kharde,6602
korajgaon,1708
pimpalwad,3035
anjanvihure,2324
bhavarkhade,2018
bilkhade,1432
borkhada,1615
chavalkhade,2386
chinchpura bk.,2208
dharangaon panchayat samiti,3352
ekalgan bk.,2128
garkhade,645
musai bh,4008
nimkhada,680
zzurkheda,4600
lamanjan pb,1014
bildi,990
lohtar,4026
pachora  panchayat  samiti,1936
adalse,4710
ajanvihare,2324
bamrid p.u.,3576
bhadgaon,714
ghudhe,1012
kanshi,1536
khothali,2654
lon u.p.,662
mahalgaon,1736
pimpardgaonb,817
savde,1850
vade,2462
vadgaon nal.,1920
vadji,4828
anjansale,1210
bhusawal  panchayat samiti,3352
talvel,5953
vardsim,1052
bodwad panchayat samiti,5399
kurhe hardo,537
sanpule,2495
erandol ps,3352
khadke sim,593
khedi kd.,2281
devulgaon,4121
jalandi bk,692
nandra pra,3928
neri bk1,4766
pimpalgoan bk,817
tahakali bk,1398
tahakali kh,1398
shevage bk.,2249
bakshipur,2896
nimbhore bk.,9789
ramjipur,562
raver  panchayat samiti,5399
shindkheda,2462
waghode bk.,8835
bhlshiv,1358
naware,1007
parasade bru.,4937
thorangavhan,3143
virawali,1640
yawal  panchayat  samiti,3352
