State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,population
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,aavle,194124,19.43167,73.09159, Aavle GP,2,1106
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,akloli,194117,19.49487,73.03675, Akloli GP,2,2942
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,alimghar,194118,19.20445,73.03581, Alimghar GP,2,1345
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,amane,194119,19.31568,73.15901, Amne GP,2,2683
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,ambadi,194120,19.4721,73.08861, Ambadi GP,2,3060
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,angaon,194121,19.37113,73.0799, Anagaon GP,2,4141
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,anjur,194122,19.21401,73.03875, Anjur GP,2,3807
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,asnoli,194123,19.42781,73.08072, Asnoli GP at Manivali,2,781
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,bapgaon,194125,19.28073,73.15109, Bapgaon GP at Devrung,2,892
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,bhadane,194126,19.35526,73.17786, Badhane GP,2,1354
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,bharodi,194127,19.21268,73.05084, Bharodi GP,2,1533
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,bhinar,194128,19.3264,73.09256, Bhinar GP,2,1599
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,bhokari,194129,19.39241,73.20251, Bhokari GP,2,1388
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,borivali t.rahur,194130,19.37229,73.17657, Borivali Taraf Rahur GP,2,5780
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,chane,194131,19.44653,73.10364, Chane GP,2,127
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,chave,194132,19.38653,73.10481, Chave GP,2,0
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,chimbipada,194133,19.37993,73.00594, Chimbipada GP,2,1488
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,chinchavali t.kunde,194135,19.49363,73.13241, Chinchavali GP,2,632
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dabhad,194136,19.43884,73.13637, Dabhad GP,2,1617
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,damangaon,194138,19.34617,73.10404, Dhamangaon GP,2,1896
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dapode,194137,19.24581,73.03915, Dapode GP,2,3026
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dighashi,194139,19.477,73.10594, Dighashi GP,2,649
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dive,194140,19.27218,73.00497, Dive (Kevani) GP,2,2062
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dive-anjur,194141,19.22768,73.02996, Dive (Anjur) GP,2,3736
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dohole,194142,19.37968,73.20827, Dohole GP,2,680
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dudhani,194143,19.49084,73.16457, Dudhani GP at Vape,2,245
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dugad,194144,19.44004,73.06501, Gugad GP,2,1948
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,dunge,194145,19.28984,73.01433, Dunge GP,2,2038
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,eksal,194146,19.50927,73.15274, Eksal GP at Saigaon,2,331
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,gane-phirangpada,194147,19.31504,72.99868, Gane GP,2,527
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,ganeshapuri,194148,19.50016,73.01297, Ganeshpuri GP,2,3246
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,ghotgaon,194149,19.46511,73.04895, Ghotgaon GP,2,1710
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,gorsai,194150,19.32524,73.07829, Gorsai GP,2,2274
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,gove,194151,19.25177,73.08975, Gove GP,2,4766
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,gundavali,194152,19.25189,73.03785, Gundavali GP,2,2926
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,joo-nandurkhi,194153,19.31896,73.02625, Joonadurkhi GP,2,2690
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kalher,194154,19.24679,73.01716, Kalher GP,2,15573
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kalwar,194155,19.28284,73.0257, Kalwa GP,2,2978
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kambe,194156,19.31121,73.03658, Kambe GSM BTS,2,6642
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kandali,194157,19.38849,73.23093, Kandali-GP,2,609
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,karivali,194158,19.29655,73.03951, Karivali GP,2,12907
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kasane,194159,19.40366,73.23895, Kasane-GP,2,1546
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kasheli,194160,19.23615,73.01462, Kasheli GP,2,3432
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,katai,194161,19.3071,73.04594, Katai GP,2,12898
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kawad,194162,19.35274,73.07695, Kawad KH GP,2,1237
MAHARASHTRA,27, THANE,517, BHIWANDI,4590,kelhe,194163,19.47056,73.19564, Kelhe GP,2,902
