State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, AAJANI (KH),181045,18.613562,76.944122, AAJANI (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, AAMBEGAON,181046,18.617715,77.001604, AAMBEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, AANANDWADI,181047,18.733072,77.01604, AANANDWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, ANDHORI,181048,18.76834,76.82327, ANDHORI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, BABALDARA,181049,18.609845,77.042921, BABALDARA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, BELUR,181050,18.64668,76.93411, BELUR,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, BODKHA,181051,18.60827,77.01659, BODKHA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, BRAMAHAPURI,181052,18.663008,76.881524, BRAMHPURI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, CHIKHLI,181053,18.74961,76.79864, CHKHLI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, CHILKHA,181054,18.7351,76.8962, CHILKHA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, CHOBALI,181055,18.598013,76.967009, CHOBLI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DAGADWADI,181056,18.730966,76.747847, DAGADWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DEVKARA,181057,18.742955,76.733204, DEVKARA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DHALEGAON,181058,18.760756,76.848646, DHALEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DHANORA (KH),181060,18.70407,77.00021, DHANORA (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DHANORI (BK),181059,18.687541,76.775113, DHANORA (BK),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, DHASWADI,181061,18.795685,76.866686, DHASWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GADEWADI,181062,18.5788,76.9979, GADEWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GANGAHIPPARGA,181063,18.7851,76.9414, GANGAHIPPARGA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GODHALA,181064,18.636049,76.889304, GODHALA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GUGDAL,181065,18.7481,76.9709, GUGDAL,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GUNJOTI,181066,18.6869,76.743, GUNJOTI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, GUTTEWADI,181067,18.789491,76.794152, GUTTEWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HADOLTI,181068,18.6543,77.0412, HADOLTI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HAGADAL,181069,18.748224,76.978019, HAGADAL,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HALNI,181070,18.683481,76.900854, HALNI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HANGARGA (KH),181071,18.6695,77.0445, HANGARGA (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HASARNI,181072,18.68755,76.99494, HASARNI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HINGANGAON,181073,18.748481,76.746879, HINGANGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HIPPALGAON,181074,18.665929,77.025146, HIPPALGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HIPPARGA (KAJAL),181075,18.68226,76.87181, HIPPARGA (KAJAL),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, HIPPARGA (KOP),181076,18.677568,76.815505, HIPPARGA (KOP),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KALEGAON,181077,18.738633,76.921673, KALEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KENDREWADI,181079,18.733342,76.824236, KENDREWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KHANAPUR,181080,18.707818,76.750449, KHANAPUR,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KHANDALI,181081,18.81086,76.89109, KHANDALI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KHARABWADI,181082,18.5666,76.9904, KHARABWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KINGAON,181083,18.718812,76.766804, KINGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KINIKADU,181084,18.70705,77.03819, KINIKADU,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KODGAON,181078,18.592307,77.093332, KODGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KOKANGA,181085,18.67351,76.97743, KOKANGA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KOLWADI,181086,18.760772,76.782215, KOLWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KOPARA,181087,18.7083,76.8023, KOPARA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, KUMTHA (BK),181088,18.592431,77.067626, KUMTHA (BK),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, LANJI,181089,18.7024,76.8926, LANJI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, LENDEGAON,181090,18.7318,76.8438, LENDEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, LINGDHAL,181091,18.632517,76.915755, LINGDHAL,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MAKNI,181092,18.582602,76.960317, MAKNI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MALEGAON (KH),181093,18.678847,76.961351, MALEGAON (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MANDANI,181094,18.66133,76.99453, MANDANI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MAWALGAON,181096,18.723,76.8698, MAWALGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, METHI,181097,18.615671,76.906525, METHI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MOGHA,181098,18.72489,77.01686, MOGHA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MOHGAON,181099,18.716241,76.747783, MOHGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MOLWAN,181100,18.769366,76.753725, MOLWAN,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, MULKI,181101,18.599047,76.886305, MULKI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, NAGATHANA,181102,18.635577,76.830582, NAGATHANA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, NAGZARI,181103,18.817091,76.918591, NAGZARI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, NANDURA (BK),181104,18.649221,76.912358, NANDURA (BK),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, NANDURA (KH),181105,18.66665,76.90314, NANDURA (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, NARWATWADI,181106,18.793084,76.845941, NARWATWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, PARCHANDA,181107,18.6713,76.837, PARCHANDA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, RALGA,181108,18.817277,76.981561, RALGA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, RUDHA,181109,18.771359,76.947323, RUDHA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, RUIEE,181110,18.767039,76.997263, RUIEE,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SALGARA,181111,18.62061,76.92731, SALGARA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SANGAVI (SU),181112,18.78861,76.97861, SANGAVI (SU),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SATALA,181113,18.6681,76.7633, SATALA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SAWARGAN THOT,181114,18.68651,77.03764, SAWARGAON THOT,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SAWARGAON (RO),181115,18.6477,76.859, SAWARGAON (RO),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SAYYADPUR,181116,18.596071,77.024941, SAYYADPUR,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SHENKUD,181117,18.750905,76.906602, SHENKUD,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SHIRUR TAJBAND,181118,18.6304,76.9722, SHIRUR TAJBAND,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SHIWANKHED (KH),181120,18.575031,76.067383, SHIVANKHED (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SINDAGI (BK),181119,18.73662,77.04031, SINDAGI (BK),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SINDGI (KH),181121,18.758763,77.019194, SINDAGI (KH),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SONKHED,181095,18.708716,76.820995, SONKHED,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SORA,181122,18.7217,76.8845, SORA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SUMTHANA,181123,18.7729,76.9158, SUMTHANA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, SUNEGAON SE.,181124,18.751978,76.929441, SUNEGAON SE,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, TAKALGAON (KA),181125,18.65836,76.83002, TAKALGAON (KA),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, TALEGAON,181126,18.6643,76.9383, TALEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, TELGAON,181127,18.60062,76.93701, TELGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, TEMBHURNI,181128,18.691332,76.962135, TEMBHURNI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, THODGA,181129,18.71436,76.97881, THODGA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, TIRTHA,181130,18.699946,77.013475, TIRTH,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, UJANA,181131,18.80528,76.93676, UJANA,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, UMARGA (YELLADEVI),181132,18.57294,76.94271, UMARGA (YELLADEVI),1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, UMARGA KORT,181133,18.60387,76.89341, UMARGA KORT,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, UNNI JAMB,181134,18.678752,77.006516, UNNI JAMB,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, VAYGAON,181136,18.58942,77.00966, VAYGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, VILEGAON,181137,18.702882,76.854676, VILEGAON,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, WALSANGI,181135,18.643716,77.004696, WALSANGI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, WANJARWADI,181138,18.7772,76.8913, WANJARWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, WARAWANTI,181139,18.751827,76.997297, WARWANTI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, YELDARWADI,181140,18.797301,76.822957, YELDARWADI,1,2
MAHARASHTRA,27, LATUR,524, AHEMADPUR,4431, YESTAR,181141,18.756745,76.891098, YESTAR,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, AALMALA,181142,18.307718,76.483277, Aalmala Panchayat,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, AANANDWADI,181143,18.136082,76.698826, Aanandwadi Panchayat,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, AANDORA,181144,18.27792,76.334287, Aandora,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, AAPCHUNDA,181145,18.201957,76.601631, Aapchunda,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, ASHIV,181146,18.097561,76.350147, Ashiv,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BANEGAON,181147,18.089402,76.521438, Banegaon,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BARHANPUR,181148,18.265707,76.714692, Barahanpur,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BELKUND,181149,18.165752,76.387054, Belkund,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BHADA,181150,18.270108,76.388084, Bhada,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BHANGEWADI,181151,18.252165,76.642973, Bhangewadi,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BHETA,181152,18.308085,76.330606, Bheta,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BHUSANI,181153,18.337091,76.643345, Bhusni,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BIRWALI,181154,18.215809,76.304384, Birwali,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BORFAL,181156,18.214677,76.453804, Borfal,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BORGAON (N),181155,18.301077,76.360103, Borgaon,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, BUDHODA,181157,18.304173,76.528332, Budhoda,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, CHALBURGA,181158,18.172628,76.573065, Chalburga,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, CHINCHOLI JOGAN,181160,18.101313,76.579143, Chincholi Jogan,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, CHINCHOLI KAJALE,181159,18.138533,76.352085, Chincholi Kajale,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, CHINCHOLI SON,181161,18.159584,76.416536, Chicoli Son,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, CHINCHOLI TAPSE,181162,18.177792,76.531051, Chincholi Tapse,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, DAPEGAON,181163,18.143568,76.490883, Dapegaon,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, DAWATPUR,181164,18.168811,76.531501, Dawatpur,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, DEVTALA,181165,18.099351,76.435025, Devtala,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, DHANORA,181166,18.338133,76.624026, Dhanora,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, EKAMBI,181167,18.164284,76.292984, Ekambi,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, EKAMBI TANDA,181168,18.153682,76.304879, Ekambi Tanda,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, ERANDI,181251,18.26418,76.565801, Erandi,1,2
MAHARASHTRA,27, LATUR,524, AUSA,4432, FATTEPUR,181169,18.191726,76.519532, Fattepur,1,2
