State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase,throughput
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, AKKALKUWA, 183930, 21.553889, 74.014083, Akkalkuwa Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, ALVIHIR, 183931, 21.618972, 74.107861, Alivihir Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, BHABALPUR, 183932, 21.571417, 74.086111, Bhabalpur panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, BHAGARPANI, 183934, 21.7889, 74.062055, Bhangrapani Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, BHAGDARI, 183933, 21.797306, 74.004778, Bhagadari Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, BHIJARIGAVAN, 183935, 21.787111, 73.98541, Bijrigavhan Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, BRAMHANGAON, 183936, 21.520111, 73.951222, Bramhangaon Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, DAB, 183937, 21.708194, 74.024167, Dab Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, DEBRAMAL, 183939, 21.870667, 74.011694, Debramal Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, DENAL, 183938, 21.868126, 73.95257, Danel Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, DEVMOGARA, 183940, 21.602111, 74.022222, Dev Mogra Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, GAGAPUR, 183941, 21.5875, 74.016667, Gangapur Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, GAVAHLI, 183942, 21.530139, 73.848056, Gavhali Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, GHATANI, 183943, 21.590444, 74.000278, Ghantani Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, HORAFALI, 183944, 21.629801, 73.843, Horafali Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, JAMANA, 183945, 21.709972, 74.090833, Jamana Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KADWAMAHU, 183946, 21.523695, 73.975309, Kadwa Mahu Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KAKADKHUT, 183947, 21.552528, 73.918611, Kakadkhut Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KATAWANI, 183950, 21.568157, 73.985958, Khatwani Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KATHI, 183948, 21.786528, 74.040278, Kathi Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KHAPER, 183949, 21.532528, 73.927889, Khapar Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KORAI, 183951, 21.535611, 73.929889, Korai Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, KUKADIPADAR, 183952, 21.770152, 73.837766, Kukadipadar Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, M.AKKUSHVIHIR, 183953, 21.574357, 73.980198, M.Ankushvihir Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, MAHALPADA, 183954, 21.789167, 74.027917, Malpada Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, MANIBELI (@Jangthi), 183955, 21.820611, 73.850167, Manibeli Panch(@Jangthi), 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, MOGARA, 183956, 21.700222, 73.927889, Mogra Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, MOLGI, 183957, 21.766472, 74.006139, Molgi Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, MORAMBA, 183958, 21.579194, 73.88075, Moramba Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, NALA, 183959, 21.581278, 74.005722, Nala Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, OHAWA, 183960, 21.677392, 73.943915, Ohawa Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, PECHARIDEV, 183961, 21.525417, 73.873556, Pechridev Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, PIPALKHUTA, 183962, 21.775139, 73.928056, Pimpalkhuta Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, PORAMBI, 183963, 21.503944, 73.866944, Porambi Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, RAJMOHI M, 183965, 21.55025, 74.043167, Rajmohi Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, RASINGOUR, 183964, 21.575587, 73.939887, Raisingpur Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, SAKALIUMBAR, 183966, 21.743333, 74.013944, Sakliumar Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, SIGPUR BHU, 183968, 21.587333, 74.106583, Singpur Bk Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, SINDURI (@Gaman), 183967, 21.828889, 73.913944, Sinduri Panch(@Gaman), 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, SORAPADO, 183969, 21.555278, 74.000139, Sorapada Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, TALAMBA, 183970, 21.552222, 73.849528, Talamba Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, THANAVIHIR, 183971, 21.591694, 74.036667, Thanavihir Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, UDEPUR M., 183972, 21.533889, 73.912083, Udepur Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, UMARAGAVHAN, 183973, 21.685838, 74.081003, Umargavhan Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, VANYAVIHIR, 183977, 21.562333, 74.00575, Vanyavihir Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, VELI, 183974, 21.741806, 74.005556, Veli Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, VIRPUR, 183975, 21.574278, 74.048194, Virpur Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, AKKALKUWA, 4473, WADVFALI, 183976, 21.7375, 73.848361, Wadfali Panch, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, ADGON, 184234, 21.682222, 74.543056, ADGON, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, AKASPUR, 184235, 21.669444, 74.39, AKASPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, ALKHED, 184236, 21.588056, 74.446667, ALKHED, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, AMBAPUR, 184237, 21.695833, 74.512778, AMBAPUR, 1,2,
MAHARASHTRA, 27, NANDURBAR, 497, SHAHADA, 4477, AMODE, 184238, 21.660833, 74.4625, AMODE, 1,2,
