STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
27,497,03950,525002,Manibeli,458,4473,AKKALKUWA,182121,MANIBELI,
27,497,03950,525003,Dhankhedi,295,4473,AKKALKUWA,182121,MANIBELI,
27,497,03950,525004,Chimalkhadi,775,4473,AKKALKUWA,182133,SINDURI,
27,497,03950,525005,Sinduri,1297,4473,AKKALKUWA,182133,SINDURI,
27,497,03950,525006,Bamani,1194,4473,AKKALKUWA,182133,SINDURI,
27,497,03950,525007,Danel,1794,4473,AKKALKUWA,182104,DENAL,
27,497,03950,525008,Mukhadi,376,4473,AKKALKUWA,182104,DENAL,
27,497,03950,525009,Gaman,3097,4473,AKKALKUWA,182133,SINDURI,
27,497,03950,525010,Jangathi,2165,4473,AKKALKUWA,182121,MANIBELI,
27,497,03950,525011,Arethi,359,4473,AKKALKUWA,182118,KUKADIPADAR,
27,497,03950,525012,Kukadipadar,627,4473,AKKALKUWA,182118,KUKADIPADAR,
27,497,03950,525013,Kewadi,1124,4473,AKKALKUWA,182118,KUKADIPADAR,
27,497,03950,525014,Barisugas,609,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525015,Pimpalkhuta,2744,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525016,Surgas,1253,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525017,Khodasbara,403,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525018,Jugalkhet,887,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525019,Balaghat,1224,4473,AKKALKUWA,182101,BHIJARIGAVAN,
27,497,03950,525020,Bardi,2412,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525021,Mokas,2326,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525022,Pandhramati,1533,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525023,Chapadi,719,4473,AKKALKUWA,182118,KUKADIPADAR,
27,497,03950,525024,Wadfali (R),1764,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525025,Movan,792,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525026,Bagda,1715,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525027,Morhi,431,4473,AKKALKUWA,182142,WADVFALI,
27,497,03950,525028,Vehgi,1286,4473,AKKALKUWA,182128,PIPALKHUTA,
27,497,03950,525029,Dhebramal,620,4473,AKKALKUWA,182105,DEBRAMAL,
27,497,03950,525030,Sambar,255,4473,AKKALKUWA,182105,DEBRAMAL,
27,497,03950,525031,Palaskhobra,469,4473,AKKALKUWA,182105,DEBRAMAL,
27,497,03950,525032,Mandawa,1212,4473,AKKALKUWA,182104,DENAL,
27,497,03950,525033,Kanjala,535,4473,AKKALKUWA,182105,DEBRAMAL,
27,497,03950,525034,Welkhadi,289,4473,AKKALKUWA,182105,DEBRAMAL,
27,497,03950,525035,Veri,1795,4473,AKKALKUWA,182100,BHAGARPANI,
27,497,03950,525036,Chanwai,1145,4473,AKKALKUWA,182100,BHAGARPANI,
