STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
27,517,4157,551531,Sambha,4881,4598,TALASARI,192546,SAMBHA
27,517,4157,551532,Achchhad,2770,4598,TALASARI,192536,AMGAON - ACHCHAD
27,517,4157,551533,Kajali,1019,4598,TALASARI,245264,KAJALI
27,517,4157,551534,Upalat,10893,4598,TALASARI,192550,UPLAT
27,517,4157,551535,Bormal,1661,4598,TALASARI,192543,KOCHAI - BORMAL
27,517,4157,551536,Masanpada,1264,4598,TALASARI,192543,KOCHAI - BORMAL
27,517,4157,551537,Ambeshetgaon,1114,4598,TALASARI,192543,KOCHAI - BORMAL
27,517,4157,551538,Kochai,3539,4598,TALASARI,192543,KOCHAI - BORMAL
27,517,4157,551539,Thakarpada,1278,4598,TALASARI,192536,AMGAON - ACHCHAD
27,517,4157,551540,Amagaon,2185,4598,TALASARI,192536,AMGAON - ACHCHAD
27,517,4157,551541,Dongari,5581,4598,TALASARI,192538,DONGARI
27,517,4157,551542,Ghimniye,3722,4598,TALASARI,192539,GHIMANIA
27,517,4157,551543,Girgaon,2735,4598,TALASARI,192540,GIRGAON
27,517,4157,551544,Dolharpada,3588,4598,TALASARI,192540,GIRGAON
27,517,4157,551545,Kharadpada,730,4598,TALASARI,192538,DONGARI
27,517,4157,551546,Vilatgaon,850,4598,TALASARI,192538,DONGARI
27,517,4157,551547,Varwade,5877,4598,TALASARI,192554,VARVADA
27,517,4157,551548,Sawroli,3341,4598,TALASARI,192537,SAVAROLI - ANAVIR
27,517,4157,551549,Anwir,3604,4598,TALASARI,192537,SAVAROLI - ANAVIR
27,517,4157,551550,Sutrakar,8795,4598,TALASARI,192547,SUTRAKAR
27,517,4157,551551,Ibhadpada,1248,4598,TALASARI,192548,TALASARI
27,517,4157,551552,Sutarpada,4388,4598,TALASARI,192548,TALASARI
27,517,4157,551553,Patilpada,3000,4598,TALASARI,192541,KARAJGAON
27,517,4157,551554,Zari,4602,4598,TALASARI,192556,ZARI
