State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,amalgaon,177925,21.1279,75.11514,PANCHAYAT,21,3621
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,amode,177927,21.08918,75.06346,PANCHAYAT,21,474
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,anchalvadi,177928,21.02037,74.92348,PANCHAYAT,21,512
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,anturli,177929,21.09098,75.05908,PANCHAYAT,21,670
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,ardi,177930,21.04572,74.95618,PANCHAYAT,21,1114
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,atale,177931,21.04729,74.99293,PANCHAYAT,21,685
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bahadarvadi,177932,21.0093,75.07161,PANCHAYAT,21,659
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bamhane,177933,21.15357,74.90318,PANCHAYAT,21,706
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bharvas,177934,21.10473,74.94265,PANCHAYAT,21,503
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bhilali,177935,21.16254,74.91271,PANCHAYAT,21,2462
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bodarde,177936,21.11674,74.88772,PANCHAYAT,21,1820
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,bohare,177937,21.17938,75.02027,PANCHAYAT,21,1885
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,chaubari,177938,21.11184,74.98604,PANCHAYAT,21,1642
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,chopdai,177939,20.95111,74.92183,PANCHAYAT,21,682
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dahivad,177940,21.07738,75.18918,PANCHAYAT,21,3352
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dahivad kh,177941,21.05232,75.18868,PANCHAYAT,21,756
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dapori bk,177943,21.10857,75.20991,PANCHAYAT,21,543
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,deogaon,177946,21.05558,75.10782,PANCHAYAT,21,1988
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dhanora,177947,21.10641,75.01304,PANCHAYAT,21,564
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dhar,177948,21.08821,75.0394,PANCHAYAT,21,1976
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dhavade,177949,21.1438,75.2532,PANCHAYAT,21,500
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dheku kh,177951,20.98865,75.17235,PANCHAYAT,21,744
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dheku seem,177952,21.05476,75.00568,PANCHAYAT,21,215
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,dodhvad,177953,21.17218,75.10778,PANCHAYAT,21,297
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,donger bk.,177942,20.96298,74.94336,PANCHAYAT,21,2037
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,eklahare,177954,21.14378,74.91842,PANCHAYAT,21,984
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,ekrukhi,177955,20.99094,75.13938,PANCHAYAT,21,844
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,ektas,177956,21.15154,74.93153,PANCHAYAT,21,1081
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,fafore bk,177957,20.98838,75.05626,PANCHAYAT,21,1744
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,gadkhamb,177958,21.08113,75.13723,PANCHAYAT,21,852
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,galvade bk,177959,21.07008,75.01418,PANCHAYAT,21,1269
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,galvade kh,177960,21.07091,75.0132,PANCHAYAT,21,636
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,gandhali,177961,21.10162,75.10565,PANCHAYAT,21,2858
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,gangapuri,177962,21.1692,75.1642,PANCHAYAT,21,452
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,govardhan,177964,21.1317,75.0251,PANCHAYAT,21,820
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,hedave,177965,21.01251,75.10079,PANCHAYAT,21,999
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,hingone bk,177966,21.115,75.07069,PANCHAYAT,21,784
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,hingone kh pa,177967,20.0997,75.06311,PANCHAYAT,21,240
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,hingone kh pj,177968,21.17374,75.10458,PANCHAYAT,21,660
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,indrapimpri,177969,20.97168,75.00587,PANCHAYAT,21,798
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,jaitpir,177970,21.09674,75.00724,PANCHAYAT,21,1568
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,jalod,177971,21.16374,75.14052,PANCHAYAT,21,2537
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,janve,177972,20.97806,74.97161,PANCHAYAT,21,4982
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,javkhede,177973,21.04763,74.9141,PANCHAYAT,21,3687
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,junone,177974,21.00782,75.19858,PANCHAYAT,21,909
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kalali,177975,21.17147,75.07445,PANCHAYAT,21,1255
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kalambe,177976,21.1426,74.8917,PANCHAYAT,21,632
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kalamsare,177977,21.15933,74.99281,PANCHAYAT,21,3704
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kamatvadi,177978,21.10962,75.3027,PANCHAYAT,21,707
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kandari kh,177979,21.4106,75.21277,PANCHAYAT,21,574
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kanhere,177980,20.98494,75.05587,PANCHAYAT,21,1929
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,karankhede,177981,21.12464,75.06416,PANCHAYAT,21,918
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kavpimpri,177982,20.97177,75.00766,PANCHAYAT,21,964
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,khadake,177983,21.02073,74.9598,PANCHAYAT,21,890
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,khaperkheda,177984,21.11249,75.05423,PANCHAYAT,21,526
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,khaushi,177985,21.1203,75.16192,PANCHAYAT,21,1252
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,khedi kh p.a.,177986,21.02533,75.15483,PANCHAYAT,21,553
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,khedi kh pj,177987,21.12216,75.13424,PANCHAYAT,21,205
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kondhaval,177988,20.94974,74.92435,PANCHAYAT,21,764
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kurhe bk,177989,21.03587,75.13731,PANCHAYAT,21,733
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,kurhe kh,177990,21.03861,75.13772,PANCHAYAT,21,1284
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,lon bk,177991,21.08961,74.93237,PANCHAYAT,21,980
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,lon kh,177993,21.09128,74.93159,PANCHAYAT,21,827
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,lon sim,177994,21.09251,74.92874,PANCHAYAT,21,1044
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,loncharam,177992,21.0933,74.92882,PANCHAYAT,21,772
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,londhave,177995,21.0072,74.98904,PANCHAYAT,21,2628
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,malpur,177996,21.0901,75.04163,PANCHAYAT,21,521
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mandal,177997,21.07118,74.86943,PANCHAYAT,21,5667
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mangrul,177998,21.02053,75.02281,PANCHAYAT,21,3669
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,marwad,177999,21.13047,75.02587,PANCHAYAT,21,3538
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mathagavhan,178000,21.16391,75.19226,PANCHAYAT,21,1209
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mehargaon,178001,21.12659,75.10748,PANCHAYAT,21,922
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mhasale,178002,21.03038,75.20814,PANCHAYAT,21,965
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mudi pa,178004,21.12254,75.06963,PANCHAYAT,21,502
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mudi pra da.,178003,21.11437,74.88773,PANCHAYAT,21,2691
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,mungase,178005,21.14832,75.21706,PANCHAYAT,21,112
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nagaon bk,178006,21.06873,75.14194,PANCHAYAT,21,2712
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nagaon kh,178007,21.06898,75.14388,PANCHAYAT,21,743
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nandgaon,178009,21.07297,75.06873,PANCHAYAT,21,1280
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nandri,178010,21.11341,75.18672,PANCHAYAT,21,1005
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nimb,178012,21.20342,74.97318,PANCHAYAT,21,1977
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nimbhora,178013,21.14107,75.09153,PANCHAYAT,21,2461
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nimzari,178014,21.0646,75.21757,PANCHAYAT,21,1406
MAHARASHTRA,27,JALGAON,499,AMALNER,4396,nisardi,178015,21.01947,74.9762,PANCHAYAT,21,669
