koshimbe,883
asade,266
bhopar,1056
dahivli,2500
davdi,6540
gharivali,519
ghesar,1056
golvali,1580
gurvli,3682
hedutane,1246
jambul,588
kole,437
mamanoli,1044
mangaon,1896
manivli,419
nandivli tarfe ambernath,2553
nandivli tarfe panchanand,2553
nilje,1378
pisvali,1947
sandap,1066
sonarpada,712
usarghar,2997
delwadi,294
navghar ghatim,1179
new dapchari,3645
virathan br.,1082
varwade,712
abaje,1876
chanbale,1575
gandhre,3354
gavrapur,1558
kalamkh-and,3492
kondhala,3360
nane,1264
parli,1736
plasai,2890
spane bk,1202
uijani,1736
vaveghar,479
adali,1364
ainode,1264
ambadgaon,1896
ayee,1458
bodade,2408
ghodage,2408
ghodagewadi,1264
kalane,987
kasai-dodamarg,3539
ker,963
khokral,3539
kolzar,437
konal,3360
kudase,705
kumbral,2361
maneri,618
mangeli,618
matane,1947
morgaon,5360
morle,1793
parame,4467
phukeri,1567
pikule,2258
sasoli,993
sateli-bhedshi,4786
talekhol,598
talkat,1545
tervan-medhe,3950
usap,1266
vazare,1587
virdi,5991
zare,488
zarebambar,519
zolambe,1026
achirne,3400
ainari,1390
akavanebhom,593
arule,4467
bhuibawada,712
gadmath,2646
het,737
jmbhawade,1330
karul,3539
kokosare,1246
kolape,437
kumbhavade,2361
kurli,919
kusur,1266
lore,2236
mangavali,1736
maunde,1101
nadhavade,1264
nanivade,1264
napane,1202
navale,1264
nerle,2490
nimarule,2258
sadure-shirale,519
sangulwadi,294
sonli,842
tiravadetarfsaundal,1912
tiravadetkharepatan,1686
tithavali,1264
umbarde,211
upale,4467
vengasar,2910
wabhave,354
yedagaon,1896
agalgaon,3224
alipur,1075
aljapur,1050
ambabaiwadi,1414
arangaon,1896
babhulgaon,7298
balewadi,3409
bavi,1026
belgaon,1020
bhalgaon,1440
bhandegaon,1293
bhansale,1266
bhatambare,2646
bhoinje,1056
bhoyare,1056
boregaqon kh.,884
borgaon (zadi),884
chare,784
chikharde,454
chincholi-dherewadi (n),1264
chumb,1488
dadshinge,916
dahitane,3400
dhamangaon (a),2666
dhamangaon (dumala),2666
dhanore,3400
dhorale,3539
dhotre,1912
gadegaon,1553
gatachiwadi-phaphalwadi,527
gaudgaon,1553
ghanegaon,1056
ghari,1736
gholvewadi,4403
gormale,3539
gulpoli,4602
halduge,451
hattijhattij (rat)chin,1264
helgaon (vhale),3950
hingani (pan,2910
indapur,1914
irle,950
irlewadi,1217
jahanpur,802
jamgaon (a),2185
jamgaon (p),2666
jotibachiwadi,294
kalambawadi (a),875
kalambwadi (p),875
kalegaon,1748
kandalgaon,2440
kapasi,1689
kari,519
kasari,2481
kasarwadi,2481
kategaon,1048
kavhe,15611
khadkalgaon,1962
khadkoni,2126
khamgaon,3075
khandavi-goda sewadi (nv),5891
koregaon,1048
korfale,1793
kuslamb,1026
ladole,437
laman tanda-tambewadi,2646
mallegaon,1724
malwandi,294
mamdapur,2646
mandegaon,1896
manegaon,1896
mirzanpur,1050
mouje tadwale,3950
mungshi (va),1891
mungshi ®,806
nagobachiwadi-lakshyachiwadi,2185
nari-nariwadi,519
nimbalak,673
pandhari,562
pangaon,337
pangri,1056
pathari,1856
pimpalgaon (a),1736
pimpalgaon (dhas),1736
pimpalgaon (pari),1736
pimpalwadi,1736
pimpari (pangaon),1736
pimpri (ralanjan),1736
puri,3246
raleras,2646
rastapur,1912
ratanjan,1736
raulgaon,2440
rui,1543
sakat,1025
sangamner,2910
sarjapur,1912
sarole,993
sasure,1330
saundare,606
sawargaon,1796
shelgaon (markad),2910
shelgaon ®,1486
shendri,2001
shirale,1591
shripat pimpari,3400
surdi,1661
tadsoudne,294
tawadi,294
tulsidasnagar,1056
turk pimpari,1736
ukadgaon-wagachiwadi(n),2185
umbarge,1532
undegaon,2448
upalai (thonge),1056
upale (dumala),1747
vairag,5991
walwad,294
wanewadi,294
wangarwadiwadi-tawarwaqdi,2646
yawali,943
yelamb,519
zadi,6540
zaregaon,2571
aljapur,1050
alsunde,1264
anjandoh,1736
arjunnagar,1691
awati,1364
balewadi,3409
bhagatwatigulmarwadi,1414
bhalavni,3313
bhilarwadi,1217
bhose,2338
bitargaon (shinge),3560
bitargaon (wangi),2910
chikalthan,1962
delwadi,294
deolalikhadakewadi,1264
devichamalkarmala (gramin),1229
dhokari,1388
dilmeshwarwadachiwadi,2646
divegavan,3736
gaudare,3354
ghargaon,2479
ghoti,2902
govegaon,3158
gulsadi,294
hingani,3722
hisare,1912
hivare,280
hiwarwadi,1264
jategaon,7298
jehurwadi,1264
jeur,1330
jinnti,2690
kamone,559
kandar,606
karnjebhalewadi,1054
katraj,1230
kavitgaon,337
kawalwadi,2481
kedgaon,904
kem,519
ketur,2646
khatgaon,1962
kondhar chincholi,1264
kondhej,3360
kortihulgewadigorewadikuskarwadi,519
kugaon,3513
kumbhargaongharatwadi,2646
kumbhej,1299
lavhe,1648
limbewadirakhachiwadi,2646
malwadi,294
mangi,618
manjargaon,1896
mirghavan,15611
morwad,2497
nerle,2490
nimbhore,1378
nimgaon(h),2666
padali,1364
pandedhaykhindikhambewadi,1364
pangare,1056
parewadi,2414
pathurdi,1856
phisare,1912
pomalwadi,294
pompalwadi,1736
pondhvadi,1026
pophalaj,1736
potegaon,796
potharenilaj,1686
punwar,1856
rajuri,782
ramwadi,5991
ravgaon,1440
ritewadi,2481
roshewadi,561
sade,1084
salse,2542
sangvi,3604
sarapdoh,50
satoli,825
savadi,2481
shelgaon (k),2666
shelgaon (wangi),1486
shetphal,3751
sounde,1952
takali (rashin),1229
taratgaon,1898
umrad,211
undargaon,1896
vadshivane,716
vanjarwadikuranwadi,294
veet,660
vihal,660
wadgaonwadgaon (north),2910
wangi,12628
warkatne,2146
warkute,992
washibe,1381
zare,488
adhegaon,1553
ahergaonbhuinje,3194
akole bk,3418
akole kh.,598
akulgaon,3513
akumbhe,1330
alegaon bk,1724
alegaon kh.,598
ambad,588
anjangaon kh,2910
anjangaon umate,2910
aran,1686
bairagwadi,527
barlonigavalewadi,1026
bavi,1026
bembaleharinagar,2646
bhend,2646
bhogewaditakhale,1686
bhosare,1843
bhutashte,2441
bitergaon,2832
budrukwadi,294
chandaj,7750
chavhanwadi(t),1264
chinchgaon,1264
chincholi,1264
chobhe pimpari,1736
dahiwali,2500
darfal,1912
dhanore,3400
dhavalas,5891
footjawalgaon,2263
gar akole,3950
ghatane,2646
ghoti,2902
hole kh.,598
jadhavwadi,1264
