ailawng,611
bawlte,330
bawngthah,355
chungtlang,447
darlung,902
hmunpui,958
hreichuk,238
kanghmun,1126
khawrihnim,935
lengte,583
lungphun,379
nghalchawm,443
rawpuichhip,1507
reiek,1627
rulpuihlim,414
tuahzawl,437
west lungdar,834
west serzawl,414
damparengpui,2156
hnahva,1164
hruiduk,982
lallen,824
marpara north,2129
phuldungsei,1628
phulpui west,621
pukzing,537
pukzing vengthar,328
saithah,337
teirei forest,386
west phaileng,4377
bawngva,760
bungthuam,688
chuhvel,646
dampui,741
dapchhuah,1023
darlak,1075
hriphaw,748
kanhmun,1482
kawrtethawveng,2008
kawrthah south,2812
kolalian,645
luimawi,507
mualthuam,646
nalzawl,449
new eden,634
phaizau,295
rengdil,1588
saikhawthlir,904
thinghlun,831
tuidam,1695
tuirum,494
zamuang,1107
zawlpui,358
