State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
MIZORAM,15,SAIHA,288,SAIHA,2407,AINAK,251693,22.37821,93.161494,AINAK,2
MIZORAM,15,SAIHA,288,SAIHA,2407,CHHUARLUNG-I,251694,22.43988,93.100842,CHHUARLUNG-I,2
MIZORAM,15,SAIHA,288,SAIHA,2407,CHHUARLUNG-II,251695,22.44619,93.100305,CHHUARLUNG-II,2
MIZORAM,15,SAIHA,288,SAIHA,2407,CHHUARLUNG-III,888888,22.438217,93.101087,CHHUARLUNG-III,2
MIZORAM,15,SAIHA,288,SAIHA,2407,COLLEGE VENG-I,251696,22.49289,92.983037,COLLEGE VENG-I,2
MIZORAM,15,SAIHA,288,SAIHA,2407,COLLEGE VENG-II,251697,22.497274,92.984907,COLLEGE VENG-II,2
MIZORAM,15,SAIHA,288,SAIHA,2407,COUNCIL VENG,251698,22.485955,92.980501,COUNCIL VENG,2
MIZORAM,15,SAIHA,288,SAIHA,2407,ECM VENG,251699,22.485037,92.976824,ECM VENG,2
MIZORAM,15,SAIHA,288,SAIHA,2407,KAWLCHAW E - I,251700,22.401565,92.95765,KAWLCHAW E - I,2
MIZORAM,15,SAIHA,288,SAIHA,2407,KAWLCHAW E -II,255567,22.401375,92.954215,KAWLCHAW E -II,2
MIZORAM,15,SAIHA,288,SAIHA,2407,LUNGBUN 1,251701,22.471782,93.102832,LUNGBUN 1,2
MIZORAM,15,SAIHA,288,SAIHA,2407,LUNGBUN 2,888888,22.46938,93.095967,LUNGBUN 2,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MAUBAWK CH,251703,22.437691,92.965518,MAUBAWK CH,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MAUBAWK L,251702,22.430569,92.966414,MAUBAWK L,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MEISATLA -I,251706,22.49428,92.968831,MEISATLA -I,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MEISATLA -II,255564,22.49649,92.96817,MEISATLA -II,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MEISAVAIH EAST,251704,22.492146,92.975489,MEISAVAIH EAST,2
MIZORAM,15,SAIHA,288,SAIHA,2407,MEISAVAIH WEST,251705,22.490498,92.973292,MEISAVAIH WEST,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW COLONY-I,251707,22.491,92.981632,NEW COLONY-I,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW COLONY-II,251708,22.489208,92.981372,NEW COLONY-II,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW COLONY-III,251709,22.491876,92.980647,NEW COLONY-III,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW SAIHA EAST-1,251710,22.491688,92.986698,NEW SAIHA EAST-1,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW SAIHA EAST-2,888888,22.493427,92.990058,NEW SAIHA EAST-2,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEW SAIHA WEST,251711,22.487927,92.985856,NEW SAIHA WEST,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NEWCOLONY-IV,888888,22.491343,92.978625,NEWCOLONY-IV,2
MIZORAM,15,SAIHA,288,SAIHA,2407,NIAWHTLANG-I,251712,22.482713,93.078258,NIAWHTLANG-I,2
