State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,ajasora-i,101711,22.434121,92.637315,AJASORA-I,2,548
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,ajasora-ii,101712,22.459071,92.632602,AJASORA-II,2,548
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,borkolok,101741,22.420726,92.645635,BORKOLOK,2,442
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,bungtlang s1,101668,22.362959,92.760023,Bungtlang S1,2,2186
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,bungtlang s2,888888,22.349184,92.759761,Bungtlang S2,2,2186
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,damlui,101689,22.383222,92.646964,DAMLUI,2,674
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,devasora s,101718,22.1454,92.639754,Devasora S,2,844
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,golasury,101720,22.38291,92.642305,GOLASURY,2,679
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,hmunnuam,101684,22.416344,92.745472,Hmunnuam,2,533
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,m kawnpui,101693,22.331417,92.713378,M Kawnpui,2,864
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,mandirasora,101697,22.494292,92.629557,MANDIRASORA,2,600
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,nghalimlui,101690,22.355345,92.658932,Nghalimlui,2,976
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,saibawh,101692,22.331836,92.682279,Saibawh,2,925
MIZORAM,15,LAWNGTLAI,287,BUNGTLANG SOUTH,2396,vaseikai,101691,22.360459,92.644314,Vaseikai,2,823
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,adubangasora,101699,22.561878,92.62281,ADUBANGASORA,2,248
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,baganpara,101721,22.63169,92.640129,BAGANPARA,2,576
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,bajeisora,101744,22.627736,92.639815,BAJEISORA,2,831
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,bandukbanga,101706,22.0562,92.651862,BANDUKBANGA,2,628
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,betbunya,101732,22.367207,92.639901,BETBUNYA,2,440
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,boraituli,251367,22.252076,92.603808,BORAITULI,2,89
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,borakabakhali,101698,22.413969,92.583506,BORAKABAKHALI,2,442
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,borapansury-i,101752,22.712854,92.52576,BORAPANSURY-I,2,1367
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,borapansury-ii,101753,22.704937,92.522817,BORAPANSURY-II,2,1262
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,chawngte,244944,22.624287,92.641333,CHAWNGTE,2,1443
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,chhotaguisury-i,101727,22.288107,92.629193,CHHOTAGUISURY-I,2,345
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,chhotaguisury-ii,101738,22.281674,92.631052,CHHOTAGUISURY-II,2,273
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,chhotapansury,101723,22.630658,92.538013,CHHOTAPANSURY,2,1592
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,damdep-i,101701,22.243927,92.622122,DAMDEP-I,2,316
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,damdep-ii,101702,22.240871,92.616798,DAMDEP-II,2,196
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,devasora n,101719,22.347349,92.630011,Devasora N,2,863
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,fulsora,101745,22.315362,92.630153,FULSORA,2,235
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,fultuli,101748,22.167722,92.606497,FULTULI,2,348
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,geraguluksora,101729,22.569895,92.545634,GERAGULUKSORA,2,742
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,gerasury,101733,22.296453,92.584183,GERASURY,2,199
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,gobasury,101707,22.052518,92.654069,GOBASURY,2,178
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,gulsingbapsora,101730,22.589998,92.540762,GULSINGBAPSORA,2,324
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,jamersury,101708,22.554686,92.622291,JAMERSURY,2,576
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,jaruldubapsora,101757,22.276571,92.587065,JARULDUBAPSORA,2,523
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,jarulsury,101739,22.542918,92.550178,JARULSURY,2,858
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kamalanagar-i,101694,22.619848,92.641859,KAMALANAGAR-I,2,1415
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kamalanagar-ii,101705,22.620629,92.635035,KAMALANAGAR-II,2,2714
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kamalanagar-iii,101716,22.616875,92.641411,KAMALANAGAR-III,2,2199
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kamalanagar-iv,101736,22.612185,92.639009,KAMALANAGAR-IV,2,1377
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kamtuli,101734,22.100083,92.605871,KAMTULI,2,598
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,kurbalovasora,101731,22.732686,92.517889,KURBALOVASORA,2,743
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,lokhisury,101713,22.33313,92.590483,LOKHISURY,2,345
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,longpuighat,101695,22.361771,92.637687,LONGPUIGHAT,2,1265
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,mainabapsora-i,101760,22.43445,92.572071,MAINABAPSORA-I,2,454
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,montola,101740,22.6739,92.59608,MONTOLA,2,426
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,nalbunya,101714,22.605184,92.629987,NALBUNYA,2,834
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,parva-i,101725,22.085644,92.645012,PARVA-I,2,1516
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,parva-ii,101726,22.082373,92.656733,PARVA-II,2,456
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,parva-iii,101728,22.0779,92.652524,PARVA-III,2,266
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,saizawh w,101735,22.623801,92.617554,Saizawh W,2,482
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,sakeilui-i,101778,22.549436,92.623924,Sakeilui-I,2,241
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,sakeilui-ii,101779,22.547792,92.624102,Sakeilui-II,2,388
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,silosora,101750,22.146708,92.606503,SILOSORA,2,272
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,silsury,101700,22.665223,92.537658,SILSURY,2,573
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,simeinasora,101703,22.050956,92.654429,SIMEINASORA,2,215
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,simeisury,101709,22.401446,92.637836,SIMEISURY,2,254
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,udalthana-i,101749,22.588103,92.62647,UDALTHANA-I,2,786
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,udalthana-ii,101759,22.599093,92.61976,UDALTHANA-II,2,1091
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,ugalsury,101710,22.685658,92.525364,UGALSURY,2,652
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,ulusury,101717,22.533498,92.622804,ULUSURY,2,425
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,vaseitlang-i,101754,22.386166,92.615921,VASEITLANG-I,2,396
MIZORAM,15,LAWNGTLAI,287,CHAWNGTE,2397,vaseitlang-ii,101755,22.380555,92.608786,VASEITLANG-II,2,396
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,chawngte p,101771,22.615024,92.645526,Chawngte P,2,1443
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,chawngtelui,251374,22.524203,92.704014,CHAWNGTELUI,2,439
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,diltlang,101780,22.492593,92.72494,DILTLANG,2,1194
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,hmawngbu,101763,22.164154,92.806288,Hmawngbu,2,895
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,hmunlai,101772,22.588247,92.671607,HMUNLAI,2,507
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,kawrthindeng,101791,22.317761,92.791818,Kawrthindeng,2,654
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,mualbu l,101776,22.557005,92.672749,MUALBU L,2,367
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,ngengpuitlang,101789,22.292545,92.779649,Ngengpuitlang,2,501
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,sumsilui,101774,22.592096,92.641794,SUMSILUI,2,1267
MIZORAM,15,LAWNGTLAI,287,LAWNGTLAI,2398,tuikhurlui,101775,22.601267,92.648967,TUIKHURLUI,2,437
