State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
NAGALAND,13,PHEK,271,KIKRUMA,2336,BHQ,888888,25.604429,94.224497,BHQ,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,CHESEZU NASA,243495,25.682355,94.276467,CHESEZU NASA,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,CHESEZU NAWE,243496,25.679525,94.269655,CHESEZU NAWE,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,K. BASA,243493,25.655673,94.278592,K. BASA,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,K. BAWE,243494,25.642184,94.275955,K. BAWE,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,KIKRUMA,243490,25.580865,94.219793,KIKRUMA,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,THENYIZU,243492,25.653233,94.250054,THENYIZU,2
NAGALAND,13,PHEK,271,KIKRUMA,2336,THIPUZU,243491,25.624422,94.268039,THIPUZU,2
NAGALAND,13,PHEK,271,MELURI,2337,AKHEGWO,243498,25.721937,94.680231,AKHEGWO,2
NAGALAND,13,PHEK,271,MELURI,2337,BLOCK HQ,888888,25.689334,94.632335,BLOCK HQ,2
NAGALAND,13,PHEK,271,MELURI,2337,HUTSU,243500,25.710003,94.743076,HUTSU,2
NAGALAND,13,PHEK,271,MELURI,2337,KHUMIASU,243506,25.670477,94.610049,KHUMIASU,2
NAGALAND,13,PHEK,271,MELURI,2337,KIZATU,243504,25.702733,94.752461,KIZATU,2
NAGALAND,13,PHEK,271,MELURI,2337,KUKHEGWO,243499,25.705545,94.686304,KUKHEGWO,2
NAGALAND,13,PHEK,271,MELURI,2337,LETSAM,243515,25.595889,94.798892,LETSAM,2
NAGALAND,13,PHEK,271,MELURI,2337,MELURI VILL,243497,25.675603,94.618931,MELURI VILL,2
NAGALAND,13,PHEK,271,MELURI,2337,MOKEI,243522,25.652631,94.772405,MOKEI,2
NAGALAND,13,PHEK,271,MELURI,2337,NEW AKHEGURO,244475,25.726898,94.693819,NEW AKHEGURO,2
NAGALAND,13,PHEK,271,MELURI,2337,NEW PHOR,243524,25.751463,94.773521,NEW PHOR,2
NAGALAND,13,PHEK,271,MELURI,2337,NEW THEWATI,243516,25.550795,94.768524,NEW THEWATI,2
NAGALAND,13,PHEK,271,MELURI,2337,OLD THEWATI,243517,25.556103,94.768677,OLD THEWATI,2
NAGALAND,13,PHEK,271,MELURI,2337,PHOKHUNGRI,243519,25.604835,94.834481,PHOKHUNGRI,2
NAGALAND,13,PHEK,271,MELURI,2337,PHOR,243501,25.738705,94.773898,PHOR,2
NAGALAND,13,PHEK,271,MELURI,2337,WASHELO,243514,25.580439,94.762092,WASHELO,2
NAGALAND,13,PHEK,271,MELURI,2337,WUZU,243523,25.732862,94.775938,WUZU,2
NAGALAND,13,PHEK,271,MELURI,2337,YISI,243503,25.705249,94.750047,YISI,2
NAGALAND,13,PHEK,271,MELURI,2337,ZIPU,243513,25.623746,94.742275,ZIPU,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,CHIZAMI,243745,25.590826,94.382837,CHIZAMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,CHIZAMI BLOCK,888888,25.601677,94.398719,CHIZAMI BLOCK,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,CHOBAMA,243652,25.549273,94.320897,CHOBAMA,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,ENHULUMI,243747,25.587235,94.366862,ENHULUMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,GOZUTO,243660,25.620824,94.385268,GOZUTO,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,KAMI,243750,25.546063,94.265868,KAMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,KHEZHAKENO,243751,25.514326,94.207753,KHEZHAKENO,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,LASUMI,243647,25.535085,94.237649,LASUMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,LEKROMI,243646,25.548619,94.271089,LEKROMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,LESHIMI,243640,25.532873,94.233663,LESHIMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,MESULUMI,243748,25.578704,94.342354,MESULUMI,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,PFUTSERO BLOCK,888888,25.570947,94.299072,PFUTSERO BLOCK,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,PORBA,243658,25.616264,94.337915,PORBA,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,SAKRABA,243657,25.616242,94.361717,SAKRABA,2
NAGALAND,13,PHEK,271,PFUTSERO,2338,SUMI,243746,25.595791,94.394796,SUMI,2
