STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
13,261,01744,266968,Tiru (Upper),947,2335,WAKCHING,258626,Upper Tiru,
13,261,01744,266969,Namthai,239,2335,WAKCHING,258623,Namthai,
13,261,01744,266970,Hotahoti,147,2335,WAKCHING,258620,HODAHOTI,
13,261,01744,266972,Kongon,1177,2335,WAKCHING,258621,Kongan,
13,261,01745,266973,Laokhun,1042,2333,TIZIT,258588,Loakhun,
13,261,01745,266974,Tingalibam (Sakho),378,2333,TIZIT,258597,Tingalibam,
13,261,01745,266975,Yanpan,370,2333,TIZIT,258599,Yanpan,
13,261,01745,266976,Tela,415,2333,TIZIT,258596,Tela,
13,261,01745,266979,Lapa,885,2333,TIZIT,258586,Lapa,
13,261,01745,266981,Longlem,444,2333,TIZIT,258589,Longlem,
13,261,01745,266982,Tizit Village,6274,2333,TIZIT,258598,Tizit,
13,261,01745,266985,Sangsa,942,2333,TIZIT,258595,Sangsa,
13,261,01745,266987,Ngangting,672,2333,TIZIT,258592,Ngangting,
13,261,01745,266988,Zakho,488,2333,TIZIT,258600,Zakho,
13,261,01746,266989,Nokzang,1062,2333,TIZIT,258594,Nokzang,
13,261,01746,266990,Joboka,1346,2333,TIZIT,258584,Jaboka,
13,261,01746,266991,Neitong,620,2333,TIZIT,258591,NEITONG,
13,261,01746,266996,Longting,782,2333,TIZIT,258590,Longting,
13,261,01746,266997,Nokyan,993,2333,TIZIT,258593,Nokyan,
13,261,01747,266999,Zangkham Tingsa,314,2333,TIZIT,260721,ZANKHAM TINGSA VILLAGE,
13,261,01747,267000,Zangkham,1702,2333,TIZIT,258601,Zangkham,
13,261,01747,267001,Nyasha,1398,2332,PHOMCHING,258575,Nyasa,
13,261,01748,267004,Oting,1266,2331,MON,258562,Oting,
13,261,01748,267006,Wangla,940,2331,MON,258570,Wangla,
13,261,01748,267007,Goching,1184,2331,MON,258554,GOCHING VILL.,
13,261,01748,267008,Tuimei,645,2331,MON,258569,Toimei,
13,261,01748,267009,Phuktong,991,2331,MON,258563,Phuktong,
13,261,01748,267010,Lampongsheanghah,732,2331,MON,258556,LAMPONG SHEANGHAH,
13,261,01748,267011,Hongphoi,1345,2331,MON,258555,Hongphoi,
13,261,01748,267012,Pongkong,1338,2331,MON,258564,Pongkong,
13,261,01748,267013,Longkai,1508,2331,MON,258559,Longkai,
13,261,01748,267014,Leangnyu,845,2331,MON,258557,Leangnyu,
13,261,01748,267015,Mon Village,2402,2331,MON,258561,Mon,
13,261,01748,267017,Chui,1588,2331,MON,258553,Chui,
