State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,ajigami,243817,26.184032,94.414813,AJIGAMI,2,2592
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,alaphami,243827,26.191532,94.484883,ALAPHAMI,2,873
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,aotsakilimi,243805,26.145151,94.527315,AOTSAKILIMI,2,621
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,asukhuto,243801,26.098074,94.499283,ASUKHUTO,2,501
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,emlomi,243803,26.071331,94.482054,EMLOMI,2,1206
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,izheto,243818,26.208493,94.420795,IZHETO,2,3281
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,khrimtomi,243809,26.097934,94.454775,KHRIMTOMI,2,950
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,litsami,243804,26.063809,94.478401,LITSAMI,2,621
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,litta new,243819,26.167933,94.382426,LITTA NEW,2,2723
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,litta old,243816,26.175104,94.382061,LITTA OLD,2,2723
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,lokosomi,243802,26.151173,94.516597,LOKOSOMI,2,236
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,lotisami,243832,26.134868,94.466826,LOTISAMI,2,2246
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,lotisami new,243825,26.136522,94.466165,LOTISAMI NEW,2,2246
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,lumami,243829,26.209913,94.477162,LUMAMI,2,1076
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,lumtsami,243831,26.182717,94.497164,LUMTSAMI,2,621
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,mapulumi,243812,26.125308,94.458006,MAPULUMI,2,2037
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,maromi,243821,26.176902,94.411574,MAROMI,2,950
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,mukhami,243823,26.125246,94.402918,MUKHAMI,2,730
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,naghuto new,243806,26.132537,94.492544,NAGHUTO NEW,2,402
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,naghuto old,243808,26.140857,94.502562,NAGHUTO OLD,2,501
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,philimi,243811,26.070804,94.405486,PHILIMI,2,873
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,phiushimi,243820,26.150127,94.411261,PHIUSHIMI,2,1527
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,roto new,243810,26.075809,94.424224,ROTO NEW,2,402
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,roto old,243815,26.075282,94.427826,ROTO OLD,2,2723
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,sastami,243822,26.188754,94.418692,SASTAMI,2,462
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,shichmi,243824,26.166143,94.495981,SHICHMI,2,1877
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,sukomi,243813,26.035398,94.458405,SUKOMI,2,730
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,sutemi,243830,26.168097,94.483626,SUTEMI,2,3378
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,sutsu (sumi),243826,26.254782,94.478881,SUTSU (SUMI),2,462
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,vekuho new,243800,26.100308,94.504562,VEKUHO NEW,2,402
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,vekuho old,243807,26.100309,94.508147,VEKUHO OLD,2,501
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,yesheluto,243814,26.074919,94.485637,YESHELUTO,2,200
NAGALAND,13,ZUNHEBOTO,266,AKULUTO,2354,zaphumi,243828,26.233621,94.473054,ZAPHUMI,2,2077
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,asukiqa,243914,25.974717,94.306073,ASUKIQA,2,1048
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,awohumi,243897,25.927308,94.336786,AWOHUMI,2,558
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,chishilimi,243908,25.891497,94.381349,CHISHILIMI,2,2592
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,chisholumi,243895,25.879115,94.397399,CHISHOLUMI,2,558
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,ghathashi,243912,25.852464,94.330567,GHATHASHI,2,462
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,ghokimi,243904,25.969851,94.307109,GHOKIMI,2,558
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,hebolimi,243906,25.835043,94.367075,HEBOLIMI,2,873
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,ighanumi,243911,25.759421,94.310626,IGHANUMI,2,873
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,iphonumi,243899,25.839289,94.323517,IPHONUMI,2,873
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,kelomi,243910,25.864613,94.417067,KELOMI,2,950
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,khughuto,243913,25.875727,94.422832,KHUGHUTO,2,501
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,kitami,243903,25.982005,94.314385,KITAMI,2,621
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,lazami,243894,25.867451,94.248685,LAZAMI,2,873
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,mishilimi,243909,25.882857,94.259925,MISHILIMI,2,1206
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,mukalimi,243898,25.879755,94.343027,MUKALIMI,2,2037
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,pughoboto,243902,25.891349,94.269696,PUGHOBOTO,2,240
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,puneboqa,243915,25.980049,94.308493,PUNEBOQA,2,240
NAGALAND,13,ZUNHEBOTO,266,GHATHASHI,2355,shesulimi,243907,25.906937,94.338476,SHESULIMI,2,2840
