STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
03,035,00200,027374,Darbahn (406),527,255,DHARKALAN,12196,DARBAHAN,
03,035,00200,027375,Darkua Bangla (405),422,255,DHARKALAN,12175,BANGLA,
03,035,00200,027376,Sarti(404),3960,255,DHARKALAN,261494,PATRALAWAN,
03,035,00200,027377,Dukhan Iyali (407),664,255,DHARKALAN,12201,DUKHNIALI,
03,035,00200,027378,Ghar (408),852,255,DHARKALAN,12205,GHAR BAGROLI,
03,035,00200,027379,Barsudhal (409),780,255,DHARKALAN,12176,BAR SUDAL,
03,035,00200,027380,Dunera (418),2502,255,DHARKALAN,244289,DUNERA CHIKLA,
03,035,00200,027381,Bhamlada (410),1887,255,DHARKALAN,12183,BHAMLADA,
03,035,00200,027382,Nalloh (411),2233,255,DHARKALAN,12429,NALOH,
03,035,00200,027384,Dhar Khurd (412),651,255,DHARKALAN,12199,DHAR KHURD,
03,035,00200,027385,Faugli Mawa (413),430,255,DHARKALAN,12440,FAGALI,
03,035,00200,027386,Lanjera (417),1025,255,DHARKALAN,12228,LANJERA,
03,035,00200,027387,Lohrun (Lehroon) (419),2047,255,DHARKALAN,12229,LEHROON,
03,035,00200,027388,Bakhatpur (420),101,255,DHARKALAN,12204,GARAL,
03,035,00200,027389,Rohg (416),862,255,DHARKALAN,12446,ROUGH,
03,035,00200,027390,Bhanguri (415),1695,255,DHARKALAN,244291,TUPPAR,
03,035,00200,027391,Jalahar (414),487,255,DHARKALAN,12212,JALAHAR,
03,035,00200,027392,Dhar Kalan (400),1411,255,DHARKALAN,12198,DHAR KALAN,
03,035,00200,027393,Hardo Saran (401),368,255,DHARKALAN,12210,HARDOSARAN,
03,035,00200,027394,Chamrour (402),139,255,DHARKALAN,12198,DHAR KALAN,
03,035,00200,027395,Thara Uparla (399/2),3769,255,DHARKALAN,12459,THARA UPPERLA,
03,035,00200,027396,Thara Jhikla (399/1),3624,255,DHARKALAN,12458,THARA JHIKLA,
03,035,00200,027397,Narianpur (395),990,255,DHARKALAN,12431,NARAINPUR,
03,035,00200,027398,Hara (394),6800,255,DHARKALAN,244293,MANGET,
03,035,00200,027399,Tarhari (396),6871,255,DHARKALAN,12181,BHABHAR,
03,035,00200,027400,Tureti (397),2543,255,DHARKALAN,12455,TARHETI,
03,035,00200,027401,Kot (CT),5406,255,DHARKALAN,12225,KOT,
03,035,00201,027402,Rajpura(366),1042,266,SUJANPUR,12442,RAJPURA,
03,035,00201,027403,Barkola (365),15,266,SUJANPUR,12223,KAMWAL,
03,035,00201,027404,Harur (364),77,266,SUJANPUR,12223,KAMWAL,
03,035,00201,027405,Kamwal (363),140,266,SUJANPUR,12223,KAMWAL,
03,035,00201,027406,Khala (362),111,266,SUJANPUR,12223,KAMWAL,
03,035,00201,027407,Sadhauri (361),194,266,SUJANPUR,261493,DAULATPUR JATTAN,
03,035,00201,027408,Madhopur  (358),2265,266,SUJANPUR,12230,MADHO PUR,
03,035,00201,027409,Madhopur Chhauni (359),2690,266,SUJANPUR,244344,MADHOPUR CANTT UPPERLA,
03,035,00201,027410,Gurah Khurd (360),650,266,SUJANPUR,12208,GURA KHURD,
03,035,00201,027411,Ranipur (356),5890,266,SUJANPUR,12443,RANIPUR,
03,035,00201,027412,Mutfaroa (355),2842,266,SUJANPUR,12236,MUTFARKA,
03,035,00201,027413,Jhanjeli (354),843,266,SUJANPUR,12214,JHANJELI,
03,035,00201,027414,Dadwan (370),1167,266,SUJANPUR,261488,DADWAN JHEEKLI,
03,035,00201,027415,Baroi (369),2049,266,SUJANPUR,12177,BAROI,
03,035,00201,027416,Jindrai (368),1552,266,SUJANPUR,12218,JINDRAI,
03,035,00201,027417,Jungath (371),691,255,DHARKALAN,262012,JUNGTH UPPERLI,
03,035,00201,027418,Nagrota (372),255,255,DHARKALAN,12237,NAGROTA,
03,035,00201,027419,Kother (375),1801,263,PATHANKOT,13341,KUTHER,
03,035,00201,027420,Karoli (374),3383,255,DHARKALAN,12224,KAROLI UPPERLI,
03,035,00201,027422,Turehti (393),1540,0,STRING ENTERED,244290,TAREHTI JHIKLI,
03,035,00201,027423,Haryal   (392),1887,255,DHARKALAN,12211,HARIAL,
03,035,00201,027424,Baghar (391),863,255,DHARKALAN,12174,BAGHAR,
03,035,00201,027425,Jandwal (383),2119,255,DHARKALAN,12213,JANDWAL,
03,035,00201,027426,Tahra (382),581,255,DHARKALAN,12454,TAHARA,
03,035,00201,027427,Chatwal (381),2567,255,DHARKALAN,12192,CHHATWAL,
03,035,00201,027430,Jharoli (387),500,262,NAROT JAIMAL SINGH,12492,JHAROLI (ABADI GAJI BARWAN),
03,035,00201,027431,Halahar (386),500,266,SUJANPUR,261492,MUDHE ABADI KAHANPUR,
03,035,00201,027437,Siyonti (376),1844,263,PATHANKOT,13393,SIONTY,
03,035,00201,027439,Kairi (350),56,266,SUJANPUR,12437,PANGOLI,
03,035,00201,027440,Phangoli (351),1359,266,SUJANPUR,12437,PANGOLI,
