abowal,817
alar pind,672
ambala jattan,1125
argowal,2082
arniala shahpur,972
atwarapur,546
badala,420
badial,117
bagha,986
bahera,5
bahla,934
bahtiwal,551
bainch,958
bairampur,785
balala,307
baranda,498
bariana,193
barohi,1088
basi babu khan,524
bassi ballo,1109
bassi umar khan,711
bhagowal,654
bhaliala,561
bhambowal,452
bhana,355
bhanowal,1329
bhatolian,830
bhattian,116
bhullana,590
bhunga,2122
chaang basoya,894
chak gujjran,1283
chak khela,600
chak ladian,1045
chak nur ali,386
chandehar,508
chipra,660
chohak,1177
chotala,1496
daffar,1748
dalewal,707
dandoh,919
darapur,211
data,440
daulatpur,515
daulowal,620
dehra,253
dehriwala,189
dhaki,543
dharamkot,504
dhatt,991
dholbaha,2738
dholowal,492
dhugga kalan,396
dhurian,571
dhut khurd,890
gajj,566
galowal,646
ghagial,358
gondpur,1482
gujar basoya,113
hajipur,1827
jalowal,417
jamsher chathial,1294
jandy,253
jhambowal,713
jhujar chathial,578
jia sahota khurd,153
johal,2060
kahlwan,552
kakrali,420
kalra,725
kandhalian,682
kang mai,1405
keshopur,291
khabal,713
khadiala,611
khangwarhi,938
khanpur,1363
kheparh,544
khiala bulanda,655
khurda,975
koi,1203
kort,508
kotli,411
kukanet,897
kunt,687
kutabpur,571
lalowal,352
lalpur,506
lehal,517
lit,640
lud,565
machhian,520
mahangrowal,1237
malewal,627
malot,413
manga,763
mangarh,653
manhota,523
mastiwal,940
mukeempur,379
musa,322
mustapur,724
nangal ghorewaha,517
nangal ishar,865
nangal kanogo,365
nangal pind,71
nangal thathal,577
narur,705
naushehra,623
nikkiwal,402
nurpur,945
pakhowal,1105
pandori malian,530
pandori sumlan,124
patial,584
patiari,558
phambra,739
phaphial,259
raghowal,541
raja kalan,126
rajpur,609
ramdasspur,926
rana,531
rauwal,352
roopowal,1002
roran,912
sakrala,767
sandhar,861
sarhala,920
sarian,350
shahbudin,724
shehjowal,476
sherpur pukhta,1221
shin chathial,726
sotla,1071
taggar,369
taintpal,617
tajpur kalan,545
takhni,643
talwandi jattan,818
tappa,5248
thana,899
thinda,1240
thund,615
adochak,253
alampur,1476
ashrafpur,327
baja chak,1007
bala,229
bangalipur,654
banial,676
basoa,468
basti budhu barkat,60
begpur,223
behbowal,1772
berchha,545
bhatoli,142
bhatti da pind,307
bisso chak,816
chak bamu,1814
chak mehra,1847
chak phala,136
chak qasim,456
chak suleman,156
chandidass,418
chhangial,320
chhangla,1787
chhawrian,284
dadial,1199
dholia,345
dugri,663
fatehgarh,607
gag jallo,630
gag sultan,762
galowal,646
gambowal,1152
ganga chak,402
gangian,472
ghogra,2751
gorsian,868
haler,1018
hamza,402
hardo neknama,500
hardo thala,741
jagal,419
jalal chak,525
jalota,1479
jandaur,839
jhingar kalan,2357
jhingar khurd,956
kakoa,502
kala jhingar,344
kallowal,271
kalowal,329
kaluwal,69
kalyanpur,657
kang,312
kathana,579
kattowal,512
kawen,597
khepar,86
khera kotli,563
khokhar,208
khokhar dawakhri,859
khun khun khurd,107
khun khun sharki,529
kolian,245
kotli (154),8
kotli khurd,1045
lalewal,478
lamin,1573
ludhiani,401
mand,416
mangat,286
mian ka pind,575
miani mewan,161
mirpur,182
morian,477
nagre,216
nangal,498
naraingarh,1269
neknam sehnso,377
panwan,1848
passi bet,215
passi kandi,1355
patti chhaurian,108
patti saidowal,813
rachhpalwan,697
raghowal,541
rai chak,110
rajpur (487),676
raju dawakhri,191
ralhan,1627
rampur haler,1033
randhawa,1596
rattre,295
rawan,756
sadarpur,453
saggal,806
sagran,862
sahu da pind,434
sajjan,604
san chak,723
sangwal,368
sansarpur,1549
sarihpur,108
satab kot,1860
