adamwal garhi,146
badi khadd,3837
basi bazid,2313
basi kalen khan,1308
bassi wahid,872
bhathlan,2529
chhamery patti,4094
dherian,966
dhut,890
fatehpur(423),1142
fatehpur(423),1142
goraya,1295
hussainpur,1490
jai sahota kalan,302
janauri,2266
kabirpur shekhan(526),425
kabirpur(400),1320
kapat,1274
kathorah,1502
kello,1728
maker sali,1454
mirzapur(17),2652
mirzapur(59),2400
mohalla ranjit garh(470),1104
mohalla tahli wala(478),1104
nangal(mallian),998
nila naloya,1029
pandori atwal,1817
ramtatwali,1460
rehmanpur,1254
shahpur(491),145
shekhan(411),1239
abadi khole safdarpur,1955
abadi kulian safdarpur,1955
abadi mahesra safdarpur,1955
aglaur,1986
badla,2849
ballagan,2066
basti makhowal,56
basti nawan terkiana,56
basti vadhian,321
bhuchhan,578
bodal,2928
bodal chauni,2928
chanauta,416
dhadar,1524
dolmiwal,1004
dugal dawakhri,2500
fateh ullapur,1665
fattan chak,1425
himatpur,2560
jakowal,766
jand,518
kairan,682
khairabad,655
kolar,16
makowal,1003
mehar bhatauli,1454
mohadipur,4500
new abadi galowal,1443
nihalpur,972
odran,2012
pandori araian,2266
panther,1102
pawen,966
safdarpur,1955
sahge,774
terkiana,3743
thakar,990
aima mughlan,1154
bagwain,143
basti shainsian (147),3837
bhadiar,3837
bhawanipur bhagtan,1443
buggra,1308
chak singhan,1394
dhada khurd,2697
dhangori beet (479),1104
hiyatpur,399
kanewal (487),1104
maihandwani gujjaran (478),3837
mansowal,2474
matton,54
mazara deengrian,2028
mohannwal,815
nazarpur,3628
pipliwal,813
possi,2012
samundra khas,2314
tabba,3591
tibbian (477),3837
asafpur,1490
balhadda,527
ballo chohan,630
bhavnal,1329
dagan,2012
dhade katwal,3591
jahadpur awana,3591
jhikla pind,547
jiwanwal,928
kashrawn,246
khizarpur,2906
khundan,655
kullian lawana,54
ladhairi,1524
mawa bath,569
nangal behalan,3300
nansota(mirpur),3837
niku chak,1481
patti kaler,2037
pota,61
raili,624
sahaura dadial,908
sahaura kandi,995
saido,976
sariana,4006
saroa,1265
sawar,1165
sheikh matta,1503
sibo chak,1692
siprian,1165
sundarpur,774
atalgarh,282
bassi gulam hussain,2789
bassi kaso,458
bassi maruf siala,1165
bassi maruf siala new ghar (381),1165
begampur,595
bhikhowal,1912
burey jattan,941
burey rajputan,217
chakowal brahamanan,2529
dhuga khurd,994
haiderwal,758
hariana behrun,1165
jhojher,284
katowal,2048
khadiala sainian,1880
korangna,195
kulian(391),1395
lohar kangna,766
maruli brahmana,1551
mehandipur,4500
mirzapur,2400
mugal pura bassi khijar khan (372),181
nasrala,2985
naugrain,630
new abbadi bassi gulam hussain(362),2789
pandori khajoor,2139
pandori mehtman,783
pandori rukman,248
qaimpur,780
rassul pur(371),812
sada arain,339
sarain,1880
singriwala,1800
talwandi araian,1916
talwandi kanungoian,1912
ahrana kalan,2462
ahrana khurd,5495
alahabad,655
ali di bassi (354),3837
anandgarh,2012
badla,2849
bajwara,143
bassi ali khan,1524
bhungarni,2837
chhauni kalan,290
chohal,136
dheha allies ram nagar,1366
harta,578
hussainpur,1490
j.c.t. chohal,578
jian,302
marnaian kalan,777
marnaian khurd,573
mehlanwali,3332
mohalla ram garh chohal (494),1104
naru nangal kila,2314
new colony chohal (494),2801
new shanti nagar (355),9929
bherua,1221
bombeli,3264
chehar,1524
jandoli,1060
kharawal bassi,3712
maili,1575
mehmdowal kalan,911
pach-nangal,592
saddulapur baddoan,2012
abdullpur,1665
amirpur jattan,1220
aulia,17
bagroei,1059
bhangala nawan,6786
bhangala purana,776
bohran(410),1104
chak shero,234
chanian kalan,777
chanour,1078
chhani nand singh,652
dhanoya,3790
dhaula khera,1201
dugri awana,698
dugri rajputtan mohalla dharampur,2052
gujjar katrala,1698
hoshiarpur kalota,1195
jandwal basti thakar dwara,181
kolian (258),1395
kolian(418),1395
kotli khas,1983
mahdiunpur gajji,2223
mahiudinpur dalel,1716
mahiuldinpur dalel patti ramgarh kullian,3591
mehandipur,4500
muradpur jattan,3591
naushehra pattan,624
salowal,1240
sangho katrala,2240
taggar khurd,432
tanda ram sahai,2789
tangralian,67
abadi sandhani,3837
abadi tote,4094
andwar patti,3405
bankarnpur,1636
bari,2462
baringli,1747
beh darya,39
beh jogan,941
bhadiaran,700
bhambotar,4094
bhavnour,1490
chak bringali,645
dalwali kalan,1526
damowal,606
depur,774
goeewala,1046
kathigar,344
khamata patti,4094
mohala nagar,1104
namoli,2037
patti balaam,4150
patti dhagrol,1074
patti lakhar palli,1983
rajwal,3838
rajwal middle,175
reru patti,3837
shri pandian,1456
talwara,1916
abdullapur,1665
badhan ganipur,1955
bainch baja,60
balra,143
basi jalal khan,1668
basti boharan,60
bastibazigar,1254
bhogal kalan,911
bhogal khurd,1351
bhoolpur,480
buddi pind,1685
chattowal,749
daburji,1272
dadhiala,1265
firoz rollian,1144
ghull,1329
gurala,1698
hambra,1478
ibrahimpur(537),316
jhaji pind,232
kaluwal kotla,1728
kandala sheikhan,1393
kandhali naurangpur,3628
kharal khurd,2146
kurala kalan,1852
model town,2928
odhpur,1503
patti bolewal,813
patti meerapur,1955
patti nangli gilzian(512),1074
patti nangli jalalpur,2037
patti paswal,813
patti pla chak,1425
salempur(524),2191
shalapur,1665
talwandi sallan,1526
tilluwal,2180
zahura,3591
zahura patii,3591
