STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
08,099,00457,064088,15 S,13,676,KARANPUR,37800,14 S MAJHIWALA,
08,099,00457,064089,14 S,1290,676,KARANPUR,37800,14 S MAJHIWALA,
08,099,00457,064090,13 S-B,500,676,KARANPUR,37781,2 X,
08,099,00457,064091,13 S-A,500,676,KARANPUR,37781,2 X,
08,099,00457,064092,9 S-B,428,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064093,9 S-A,500,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064094,5 S-B,500,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064095,5 S-A,500,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064096,3 S,500,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064097,1 S,500,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064098,10 H,757,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064099,1 R,84,676,KARANPUR,37806,MOHLLAN,
08,099,00457,064100,2 R,27,676,KARANPUR,37806,MOHLLAN,
08,099,00457,064101,4 R,81,676,KARANPUR,37806,MOHLLAN,
08,099,00457,064102,3 R,82,676,KARANPUR,37806,MOHLLAN,
08,099,00457,064103,12 H,2064,676,KARANPUR,37806,MOHLLAN,
08,099,00457,064104,11 H,358,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064105,2 S,500,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064106,4 S,1877,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064107,6 S,17,676,KARANPUR,37803,MALKANA KHURD,
08,099,00457,064108,7 S,1196,676,KARANPUR,37798,7 S I KIKARWALI,
08,099,00457,064109,8 S,380,676,KARANPUR,37798,7 S I KIKARWALI,
08,099,00457,064110,10 S,145,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064111,11 S,500,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064112,6 V,3741,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064113,12 S,26,676,KARANPUR,37792,6 V DHANOOR,
08,099,00457,064114,1 X,991,676,KARANPUR,37781,2 X,
08,099,00457,064115,2 X,326,676,KARANPUR,37781,2 X,
08,099,00457,064116,17 S,333,676,KARANPUR,37800,14 S MAJHIWALA,
