agawari,2693
bhanwarani,7181
charali,4799
chavarcha,1536
kavarada,995
norva,2477
padarali,3469
sedria balotan,284
sugalia jodha,518
umedpur,917
valadara,1581
jorwara,2701
kallapura,1949
mudatara silli,598
paoli,1821
punak kalla,951
rajikawas,1061
savider,2796
seekwara,1672
aakhrad,4864
badgaon,1093
jodawas,3525
karada,995
karwada,4798
kodka,995
kuda,995
malwada,4896
meda,1586
raniwara kalla,1085
ropasi,3558
sevada,364
surajwada,1365
devada,1731
doothwa,2172
gudahema,929
janavi,674
parava,2512
sesava,2524
soonthadi,2172
arnai,598
bavarala,8051
beejrol kheda,1963
bhadawal,7023
bhadruna,1630
chora,6396
dhanata,2201
keelawa,1001
nenol,2641
sarvana,797
surava,8391
veerol badi,624
babtra,8051
bakra,5953
keshwana,5668
safada,518
tiloda,6085
umedabad,11874
walera,602
