State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Mathruttu, 226112, 11.546943, 78.448709, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Thimmanaikenpatti, 226124, 11.583938, 78.443819, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Perappansolai, 226120, 11.420807, 78.433939, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Gunduni Nadu, 226050, 11.359845, 78.43306, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Alathur Nadu, 226043, 11.348159, 78.412369, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Gundur Nadu, 226049, 11.313582, 78.409639, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Naraikinaru, 226116, 11.491298, 78.409029, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Mullukurichi, 226115, 11.447647, 78.400959, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Valappur Nadu, 226055, 11.280378, 78.396219, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Moolakurichi, 226113, 11.431121, 78.394802, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Eswaramurthipalayam, 226109, 11.569041, 78.39287, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Devannur Nadu, 226047, 11.223383, 78.386287, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Unanthangal, 226125, 11.451875, 78.380729, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Ariyur Nadu, 226044, 11.281794, 78.379753, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Mangalapuram, 226111, 11.567317, 78.379598, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Karkoodalpatti, 226110, 11.489243, 78.36841, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, ERUMAPATTY, 6240, Pavithram Pudur, 226011, 11.155805, 78.367041, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Thirupuli Nadu, 226054, 11.350359, 78.367, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, ERUMAPATTY, 6240, Pavithram, 226010, 11.143169, 78.3636, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Navalpatti, 226117, 11.56416, 78.360079, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Edapuli Nadu, 226048, 11.374366, 78.352771, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, NAMAGIRIPET, 6245, Oyilpatti, 226118, 11.542561, 78.351434, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Chittoor Nadu, 226046, 11.400595, 78.34865, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, ERUMAPATTY, 6240, Varagur, 226022, 11.147557, 78.346445, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Selur Nadu, 226052, 11.219849, 78.339938, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Bail Nadu, 226045, 11.385863, 78.339899, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, ERUMAPATTY, 6240, Sevinthipatti, 226016, 11.03188, 78.334985, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, KOLLI HILLS, 6242, Valavanthi Nadu, 226056, 11.28034, 78.33263, GP Office, 2
TAMIL NADU, 33, NAMAKKAL, 611, ERUMAPATTY, 6240, Varadharajapuram, 226021, 11.130839, 78.321826, GP Office, 2
