State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
TAMIL NADU, 33, TIRUNELVELI
, 632, TIMIRI, 6402, Mattathari, 230979, 12.706605, 79.344053, GP Office, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, KUTTAM, 88888, 8.320205, 77.938622, KUTTAM, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, KARAISUTHU OVARI, 88888, 8.287625, 77.894013, KARAISUTHU OVARI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, OVARI, 88888, 8.279337, 77.891095, OVARI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, EDAYANKUDI, 88888, 8.309673, 77.882027, EDAYANKUDI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, ANAIKUDI, 88888, 8.303729, 77.871846, ANAIKUDI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, APPUVILAI, 88888, 8.329915, 77.870763, APPUVILAI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, MUDUMUTHANMOZHI, 88888, 8.309358, 77.861145, MUDUMUTHANMOZHI, 2
TAMILNADU, 33, TIRUNELVELI, 632, KURUVIKULAM, 6391, APPANERI, 88888, 9.206552, 77.852185, APPANERI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, MAHADEVANALLUR, 88888, 8.349252, 77.847433, MAHADEVANALLUR, 2
TAMILNADU, 33, TIRUNELVELI, 632, NANGUNERI, 6394, ALAGAPPAPURAM, 88888, 8.408136, 77.847083, ALAGAPPAPURAM, 2
TAMILNADU, 33, TIRUNELVELI, 632, NANGUNERI, 6394, ITTAMOZHI, 88888, 8.393943, 77.846232, ITTAMOZHI, 2
TAMILNADU, 33, TIRUNELVELI, 632, KURUVIKULAM, 6391, CHITRAMPATTI, 88888, 9.222715, 77.841187, CHITRAMPATTI, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, KARISUTHU PUDUR, 88888, 8.28919, 77.839375, KARISUTHU PUDUR, 2
TAMILNADU, 33, TIRUNELVELI, 632, RADHAPURAM, 6397, KUMARAPURAM, 88888, 8.34263, 77.834944, KUMARAPURAM, 2
