State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,periyapatti, 88888, 12.090386, 78.689402, GP Point, 2,2643
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,naripalli, 88888, 12.05164, 78.680078, GP Point, 2,2307
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,kottapatti, 88888, 11.980278, 78.669777, GP Point, 2,1936
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,bairanaickanpatti, 88888, 12.038486, 78.643956, GP Point, 2,997
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,sittling, 88888, 11.91109, 78.616959, GP Point, 2,3819
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,vedakattamaduvu, 88888, 12.103186, 78.612669, GP Point, 2,2270
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,theerthamalai, 88888, 12.113412, 78.572144, GP Point, 2,891
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,veerappanaickampatty, 88888, 12.072917, 78.568308, GP Point, 2,1074
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,veppampatti, 88888, 12.048288, 78.56441, GP Point, 2,828
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,mathiyampatti, 88888, 12.158959, 78.557768, GP Point, 2,3032
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,mampatti, 88888, 12.164799, 78.543923, GP Point, 2,2513
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,ponneri, 88888, 12.05304, 78.541981, GP Point, 2,9036
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,keeraipatty, 88888, 12.01296, 78.526379, GP Point, 2,2913
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,ellapudayampatty, 88888, 12.03522, 78.524184, GP Point, 2,6354
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,kongavembu, 88888, 12.144857, 78.516406, GP Point, 2,8458
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,sellampatti, 88888, 12.087817, 78.513161, GP Point, 2,4770
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,k. vetrapatty, 88888, 12.122685, 78.502351, GP Point, 2,5690
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,achalvadi, 88888, 12.00563, 78.495082, GP Point, 2,1645
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,vadugapatti, 88888, 12.109746, 78.484761, GP Point, 2,1680
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,mobiripatti, 88888, 12.072192, 78.475046, GP Point, 2,768
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,keelmorappur, 88888, 12.133928, 78.471308, GP Point, 2,3269
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,doddampatty, 88888, 12.037204, 78.467691, GP Point, 2,6354
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,pethathampatty, 88888, 11.986913, 78.466005, GP Point, 2,2123
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,chinnakuppam, 88888, 12.015197, 78.451871, GP Point, 2,2134
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,agraharam, 88888, 12.087104, 78.450111, GP Point, 2,3060
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,gopinathampatti, 88888, 12.001923, 78.441798, GP Point, 2,1936
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,kolagampatti, 88888, 12.039969, 78.441658, GP Point, 2,1936
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,maruthipatti, 88888, 12.145335, 78.436152, GP Point, 2,164
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,kokkarapatty, 88888, 11.977382, 78.435837, GP Point, 2,290
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,m. velampatty, 88888, 12.160575, 78.43433, GP Point, 2,5016
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,parayapattypudur, 88888, 11.992282, 78.430132, GP Point, 2,3906
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,pappampadi, 88888, 11.961554, 78.41957, GP Office, 2,1972
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,pudhupatti, 88888, 11.962458, 78.417426, GP Office, 2,2056
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,jammanahalli, 88888, 11.995275, 78.414727, GP Point, 2,2307
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,mookkareddipatti, 88888, 11.946718, 78.414431, GP Office, 2,2913
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,irulapatti, 88888, 11.945394, 78.409286, GP Office, 2,1430
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,gopichettipalayam, 88888, 12.045801, 78.408895, GP Office, 2,4901
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,goundampatti, 88888, 11.954742, 78.407321, GP Office, 2,6354
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,setrapatty, 88888, 12.089197, 78.404322, GP Point, 2,4770
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,a. pallipatti, 88888, 11.939913, 78.402179, GP Office, 2,5016
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,samandahalli, 88888, 12.173221, 78.401123, GP Office, 2,816
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,thenkaraikottai, 88888, 12.012052, 78.400074, GP Office, 2,1106
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,gopalapuram, 88888, 11.985289, 78.399121, GP Point, 2,730
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,morappur, 88888, 12.123717, 78.397948, GP Office, 2,1422
TAMIL NADU, 33, DHARMAPURI, 606, HARUR, 6134,santhapatti, 88888, 12.066974, 78.39729, GP Office, 2,2116
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,adikarapatti, 88888, 11.934745, 78.395038, GP Office, 2,2966
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,thoppampatti, 88888, 12.130474, 78.392012, GP Office, 2,841
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,kosapatti, 88888, 12.156602, 78.389864, GP Office, 2,290
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,alapuram, 88888, 11.983293, 78.389017, GP Office, 2,2594
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,pattukonampatti, 88888, 11.871272, 78.380226, GP Office, 2,1936
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,ramiyanahalli, 88888, 12.032432, 78.377232, GP Office, 2,1836
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,karthanur, 88888, 12.039446, 78.374041, GP Office, 2,687
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,dasirahalli, 88888, 12.098821, 78.372349, GP Office, 2,2307
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,vagurappampatti, 88888, 12.068531, 78.367603, GP Office, 2,2513
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,boothanatham, 88888, 11.984326, 78.365954, GP Office, 2,3253
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,menasi, 88888, 11.978146, 78.364882, GP Office, 2,1641
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,navalai, 88888, 12.173194, 78.363402, GP Office, 2,1904
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,thathanoor, 88888, 12.037984, 78.362041, GP Office, 2,2306
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,ichampadi, 88888, 12.215673, 78.35986, GP Office, 2,1106
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,gurubarahalli, 88888, 12.043487, 78.357558, GP Office, 2,2307
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,chinthalpadi, 88888, 12.078744, 78.355516, GP Office, 2,1194
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,manjavadi, 88888, 11.835815, 78.353427, GP Office, 2,1480
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,basuvapuram, 88888, 12.056829, 78.349901, GP Office, 2,2638
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,polyampalli, 88888, 12.155843, 78.347687, GP Office, 2,2875
TAMIL NADU, 33, DHARMAPURI, 606, MORAPPUR, 6136,keragodahalli, 88888, 12.105241, 78.346597, GP Office, 2,2307
TAMIL NADU, 33, DHARMAPURI, 606, PAPPIREDDIPATTY, 6139,venkatasamuthiram, 88888, 11.926233, 78.345951, GP Office, 2,3134
