STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
33,616,5785,636305,Sannasinallur,4074,0,none,226475,Sannasinallur,
33,616,5785,636306,Thalavoi (North),2691,0,none,226479,Thalavai,
33,616,5785,636307,Thalavoi (South),4478,0,none,226479,Thalavai,
33,616,5785,636308,Alathiyur,3606,0,none,226455,Alathiyur,
33,616,5785,636309,Adhanakurichi,3772,0,none,226454,Adhanakuruchi,
33,616,5785,636310,Manakkudaiyan,3385,0,none,226463,Manakudaiyan,
33,616,5785,636311,Ayanathathanur,3823,0,none,226458,Ayanthathanur,
33,616,5785,636312,Kulumur,5052,0,none,226461,Kulumur,
33,616,5785,636313,Manapathur,5443,0,none,226464,Manappathur,
33,616,5785,636314,Asaveerankudikkadu,3981,0,none,226457,Asaveerankudikadu,
33,616,5785,636315,Tular,2503,0,none,226480,Thular,
33,616,5785,636316,Sirkalathur,3720,0,none,226478,Sirukalathur,
33,616,5785,636317,Periyakurichi,3533,0,none,226472,Periyakurichi,
33,616,5785,636318,Vanjinapuram,2907,0,none,226482,Vanjinapuram,
33,616,5785,636319,Namangunam,3897,0,none,226469,Namangunam,
33,616,5785,636320,Nakkampadi,3082,0,none,226467,Nakkambadi,
33,616,5785,636321,Maruvathur,2828,0,none,226465,Maruvathur,
33,616,5785,636322,Ponparappi,4754,0,none,226474,Ponparappi,
33,616,5785,636323,Keezhamaligai,3078,0,none,226460,Keelamaligai,
33,616,5785,636324,Nagalkuzhi,3723,0,none,226466,Nagalkuzhi,
33,616,5785,636325,Pilakurichi,3942,0,none,226473,Pilakurichi,
33,616,5785,636326,Unjini,5021,0,none,226481,Unjini,
33,616,5785,636327,Sendurai,9643,0,none,226476,Sendurai,
33,616,5785,636328,Sirukadambur,3255,0,none,226477,Sirugadambur,
33,616,5785,636329,Paranam,4844,0,none,226471,Paranam,
33,616,5785,636330,Irumbilikurichi,3668,0,none,226459,Irumbilikuruchi,
