State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,mompalai,88888,10.059272,79.23008,MOMPALAI,2,1418
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,ammapattinam,88888,10.016857,79.229609,AMMAPATTINAM,2,5334
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,manamelkudi,88888,10.042721,79.229461,MANAMELKUDI,2,10751
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,kattumavid,88888,10.129975,79.222204,KATTUMAVID,2,3730
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,krishnajipattanam,88888,10.096434,79.219292,KRISHNAJIPATTANAM,2,5462
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,thandalai,88888,10.050802,79.211192,THANDALAI,2,2157
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,edayathimangalam,88888,10.071697,79.209237,EDAYATHIMANGALAM,2,1132
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,vichoor,88888,10.018334,79.209187,VICHOOR,2,4773
TAMIL NADU,33,PUDUKKOTTAI,625,TIRUMAYAM,6275,kattathi,88888,10.523696,79.205194,KATTATHI,2,1942
TAMIL NADU,33,PUDUKKOTTAI,625,PUDUKKOTTAI,6273,kaliyaranviduthi,88888,10.52397,79.205183,KALIYARANVIDUTHI,2,1924
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,karakottai,88888,10.099318,79.19807,KARAKOTTAI,2,207
TAMIL NADU,33,Pudukkottai,625,ARANTANGI,6265,athani,88888,10.149804,79.197281,ATHANI,2,1039
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,kottai dattanam,88888,9.976005,79.195105,KOTTAI DATTANAM,2,1677
TAMIL NADU,33,PUDUKKOTTAI,625,KARAMBAKUDI,6269,rangiyanviduthi,88888,10.469429,79.189745,RANGIYANVIDUTHI,2,6811
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,vellur,88888,10.045648,79.183736,VELLUR,2,5724
TAMIL NADU,33,PUDUKKOTTAI,625,KARAMBAKUDI,6269,sengamedu,88888,10.565257,79.181509,SENGAMEDU,2,13811
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,keela manjakudi,88888,9.967618,79.180753,KEELA MANJAKUDI,2,2388
TAMIL NADU,33,Pudukkottai,625,MANALMELKUDI,6271,nelveli,88888,10.025734,79.178734,NELVELI,2,4773
