east nalicherra,9258
kekmachera,569
kulai,4015
west lalchari,206
bagmara,2970
balaram,2336
ghantachara,214
gurudhan para,715
harimangal,1611
jagannathpur,1323
jeolcherra,2525
kamalacherra,2963
karanmani para,975
kathalbari,2396
kulai r.f. extension,2138
lalchhari,870
sikaribari,1432
west nalicherra,1341
east dalucherra,4401
chaltacherra,529
debacherra,276
durgacherra,2226
east chawmanu,1716
east gobindabari,1048
east malidhar,1223
labancherra,5675
lalcherra,4603
makarcherra,1808
manikpur,3747
natin manu,5843
north longtharai,1015
rajdhar,6799
west chawmanu,6852
west malidhar,497
ratannagar,976
bilashcherra,728
choto surma,5245
chulubari,4007
debicherra,3931
dhanchandra chow. para,2523
duraishib bari,3212
halhuli,1128
harerkhola,692
kuchainala,2878
mahabir,3409
manikbhandar,5009
maracherra,2961
mayachari,780
mohanpur,2124
noagaon,2530
shibbari,134
shyamraicherra,255
srirampur,2217
west lamboocherra,500
battala,7524
east karamcherra,1816
east masli,4029
gainama,1456
kanchancherra,3021
karaticherra,2109
longtharai r.f.,8644
mainama,5586
north dhumacherra,3611
south dhumacherra,4636
west karamcherra,3575
west kathalcherra,653
baralutma,2887
chankap,2595
jamthum,2090
katalutma,4376
maharanipur,852
mechuria,2553
mendhi,2387
nakful,1688
north kachucherra,413
panboa,2368
salema,4516
simbuckchak,286
south kachucherra,5806
west dalucherra,1787
