basudeb para,889
north nalicherra,413
west balaram,1341
chakma para,2523
ganganagar,277
kachimchara,413
karma para,975
radharambari,1564
siddha para,981
tetaiya,9258
ambasa block,277
dalucherra,4401
west gobindabari,1048
boakhali adc,535
dhalajari adc,1398
east potacherra,4401
gandacharra,573
jagabondhu para adc,1365
kalajhari adc,4672
laxmipur adc,3145
pancharatan,2523
raima adc,1564
ramnagar adc,277
sarma adc,889
taychakma adc,2523
thakur cherra adc,193
uttar cherra adc,9657
west potacherra,653
bamancherra,5675
chhatrai,2353
durga chowmuni,2523
east lambucherra,500
halahali,6556
kalachari,611
chailengtha,469
chiching cherra,413
demcherra,3931
east kathalcherra,653
jamircherra,1475
manu village council,611
naitang cherra,4401
sindhukumar para,981
west masli,3109
apareskar,2000
asapurna roaja para,889
avanga,277
debbari,1154
