State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,JASHARA,75509,25.808848,83.36653,JASHARA,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,PACHISTA MOLANAPUR,75532,25.816891,83.36431,PACHISTA MOLANAPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,TAJPUR,75550,25.822252,83.339012,TAJPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,SACHUI BELBHADRA,75540,25.829818,83.36653,SACHUI BELBHADRA,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,ALI NAGER,75477,25.830573,83.375024,ALI NAGER,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,CHANDRAWATI,75496,25.837842,83.351893,CHANDRAWATI,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,MIRZAPUR,75528,25.841258,83.3424,MIRZAPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,BAHLOLPUR,75484,25.841499,83.36642,BAHLOLPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,NASIRPUR,75531,25.846885,83.354742,NASIRPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,SARSANA,75543,25.84691,83.379144,SARSANA,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,KAMTHARI NOORPUR,75514,25.847181,83.409935,KAMTHARI NOORPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,AKBAR PUR,75475,25.849428,83.432708,AKBAR PUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,KAMRAWA,75513,25.849591,83.416427,KAMRAWA,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,CHHAPARA BADRUDDINPUR,75497,25.850666,83.389492,CHHAPARA BADRUDDINPUR,21
UTTAR PRADESH,9,MAU,192,PARDAHA,1385,MANSRI,75449,25.851133,83.455567,MANSRI,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,RAIPUR,75537,25.853803,83.369978,RAIPUR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,BHERYAGHAR,75492,25.85412,83.330023,BHERYAGHAR,21
UTTAR PRADESH,9,MAU,192,RANIPUR,1386,BRAMAN PUR UTTARI,75494,25.856288,83.438932,BRAMAN PUR UTTARI,21
