State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kharuddinpur,53958,25.316882,83.166808,Kharuddinpur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Rauna,53992,25.317889,83.142147,Rauna,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kaili,53952,25.328425,83.159164,Kaili,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Maharkha,53961,25.330222,83.183225,Maharkha,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Tripath,54005,25.33375,83.200044,Tripath,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Chakia bhupali,53941,25.342981,83.174172,Chakia bhupali,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kharra,53957,25.348925,83.179808,Kharra,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Baripur,53934,25.350067,83.200053,Baripur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Derwan kala,53945,25.355769,83.180522,Derwan kala,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Maharuara,53962,25.360239,83.188992,Maharuara,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Bindaspur,53937,25.366911,83.266719,Bindaspur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kharehara,53956,25.369225,83.243489,Kharehara,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Pakhopur,53978,25.37145,83.194122,Pakhopur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kawar,53954,25.373203,83.184981,Kawar,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Orawan,53976,25.375019,83.260075,Orawan,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Papaura,53980,25.377106,83.222261,Papaura,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Pakari,53977,25.385681,83.192639,Pakari,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Mahaganv,53960,25.385778,83.231028,Mahaganv,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Mathela,53967,25.386336,83.218922,Mathela,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Etwa,53946,25.386817,83.247097,Etwa,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Kailawar,53951,25.390658,83.204758,Kailawar,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Belwani,53935,25.392203,83.240503,Belwani,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Amilai,53930,25.394061,83.247081,Amilai,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Bissupur,53939,25.3956,83.192069,Bissupur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Mahuwari khas,53964,25.396994,83.210936,Mahuwari khas,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Salempur,53994,25.404383,83.267708,Salempur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Bishunpura,53938,25.407425,83.219961,Bishunpura,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Prabhupur,53982,25.411414,83.2565,Prabhupur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Raanepur,53987,25.412475,83.211039,Raanepur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,CHAHANIYA BLOCK HQ,1034,25.412583,83.2071,CHAHANIYA BLOCK HQ,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Hirdaypur,53949,25.414075,83.235906,Hirdaypur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Bhlehata,53936,25.419494,83.267497,Bhlehata,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Sarai,53996,25.420628,83.191683,Sarai,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Ramauli,53990,25.421281,83.227994,Ramauli,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Surtapur,54003,25.423739,83.235789,Surtapur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Bluwa,53932,25.424083,83.185586,Bluwa,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Sarai rasulpur,53997,25.425522,83.240142,Sarai rasulpur,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Khandwari,53955,25.426172,83.204972,Khandwari,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Sewarih,54000,25.428542,83.265028,Sewarih,21
UTTAR PRADESH,9,CHANDAULI,196,CHAHNIYA,1034,Pura sonuhula,53986,25.433361,83.183488,Pura sonuhula,21
