STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
9,140,738,119553,Mataur,1218,1134,MURADNAGAR,63724,MATAUR,
9,140,738,119554,Mohammadpur Amad Baghpat,927,1134,MURADNAGAR,63724,MATAUR,
9,140,738,119555,Khindaura,5856,1134,MURADNAGAR,63718,KHINDAURA,
9,140,738,119556,Jahalawa,1685,1134,MURADNAGAR,268599,JHALAWA,
9,140,738,119557,Kunhaida,1981,1134,MURADNAGAR,63722,KUNHAIDA,
9,140,738,119558,Alapur,500,1134,MURADNAGAR,63743,SURANA,
9,140,738,119559,Surana,8435,1134,MURADNAGAR,63743,SURANA,
9,140,738,119560,Quadarnagar Buradi,500,1134,MURADNAGAR,63743,SURANA,
9,140,738,119561,Gyaspur,2730,1134,MURADNAGAR,63712,GYASPUR,
9,140,738,119562,Asadpur Nagal,1047,1134,MURADNAGAR,63702,ASADPUR NAGAL,
9,140,738,119563,Puthri,1138,1134,MURADNAGAR,268614,PUTHRI,
9,140,738,119564,Nagla Akkhu,1059,1134,MURADNAGAR,63731,NAGLA AKKHU,
9,140,738,119565,Suhana,3405,1134,MURADNAGAR,63741,SUHANA,
9,140,738,119566,Bhanaira,2691,1134,MURADNAGAR,63708,BHANAIRA,
9,140,738,119567,Kumhalhada,2237,1134,MURADNAGAR,63721,KUMHAIDA,
9,140,738,119568,Amirpur Garhi,934,1134,MURADNAGAR,63721,KUMHAIDA,
9,140,738,119569,Painga,2291,1134,MURADNAGAR,63733,PAINGA,
9,140,738,119570,Arifpur Ujaira,2651,1134,MURADNAGAR,239147,ASIFPUR UJAIRA,
9,140,738,119571,Saunda,6042,1134,MURADNAGAR,63738,SAUNDA,
9,140,738,119572,Fatehpur,616,1134,MURADNAGAR,63740,SIKHAIDA HAJARI,
9,140,738,119573,Mohammadpur Kadim,2179,1134,MURADNAGAR,63728,MOHAMMADPUR KADIM,
9,140,738,119574,Sikhaida Hajari,1231,1134,MURADNAGAR,63740,SIKHAIDA HAJARI,
9,140,738,119575,Kaithwadi,740,1134,MURADNAGAR,63711,FIROZPUR,
9,140,738,119576,Alawalpur,500,1134,MURADNAGAR,63709,DABANA,
9,140,738,119577,Dabana,2428,1134,MURADNAGAR,63709,DABANA,
9,140,738,119578,Firozpur,747,1134,MURADNAGAR,63711,FIROZPUR,
9,140,738,119579,Didauli,3673,1134,MURADNAGAR,63710,DIDAULI,
9,140,738,119580,Bandipur,1100,1134,MURADNAGAR,63704,BANDIPUR,
9,140,738,119581,Kakra,2138,1134,MURADNAGAR,63716,KAKRA,
9,140,738,119582,Shahzadpur,1853,1134,MURADNAGAR,63739,SHAHZADPUR,
9,140,738,119583,Sadabad Jakhaiva,86,1134,MURADNAGAR,63701,ABUPUR,
9,140,738,119584,Suthari,2158,1134,MURADNAGAR,63744,SUTHARI,
9,140,738,119585,Raoli Kalan,5347,1134,MURADNAGAR,63734,RAOLI KALAN,
9,140,738,119586,Nekpur Sabitnagar,6404,1134,MURADNAGAR,63732,NEKPUR SABITNAGAR,
