STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
9,183,928,174160,Lal Nagar,1031,1166,RUPAIDEEH,65764,LAL NAGAR,
9,183,928,174161,Kahla Tendua,786,1166,RUPAIDEEH,65764,LAL NAGAR,
9,183,928,174162,Parsada,1229,1166,RUPAIDEEH,65779,PARSADA,
9,183,928,174163,Achlapur Bargadhi,704,1166,RUPAIDEEH,65779,PARSADA,
9,183,928,174164,Chauhatta,2237,1166,RUPAIDEEH,65738,CHAUHATTA,
9,183,928,174165,Banghusra,787,1166,RUPAIDEEH,65748,HARICHANDPUR,
9,183,928,174166,Harishchanderpur,746,1166,RUPAIDEEH,65748,HARICHANDPUR,
9,183,928,174167,Bankasiya,1,1166,RUPAIDEEH,65788,RANIYAPUR,
9,183,928,174168,Vishunpur Belbhariya,8261,1166,RUPAIDEEH,65805,VISHUNPUR BELBHARIYA,
9,183,928,174169,Chhitnapur,2605,1166,RUPAIDEEH,65739,CHHITNAPUR,
9,183,928,174170,Raniyapur,1435,1164,PANDRI KRIPAL,65643,TENDUA BHAGAT,
9,183,928,174171,Narhara,1265,1166,RUPAIDEEH,65788,RANIYAPUR,
9,183,928,174172,Dudherwa,315,1166,RUPAIDEEH,65788,RANIYAPUR,
9,183,928,174173,Bhagha,3431,1166,RUPAIDEEH,65728,BHANGAHA,
9,183,928,174174,Baluakakra,1226,1166,RUPAIDEEH,65742,DEVARIA KHAS,
9,183,928,174175,Devaria Khas,1124,1166,RUPAIDEEH,65742,DEVARIA KHAS,
9,183,928,174176,Sewaraha,1978,1166,RUPAIDEEH,65794,SEWARAHA,
9,183,928,174177,Achal Nagar,977,1166,RUPAIDEEH,65750,HINDU NAGAR BANKI,
9,183,928,174178,Amwakhudai Nagar,487,1166,RUPAIDEEH,65750,HINDU NAGAR BANKI,
9,183,928,174179,Sothawa,768,1166,RUPAIDEEH,65772,NIDHI NAGAR,
9,183,928,174180,Bankatwa,210,1166,RUPAIDEEH,65772,NIDHI NAGAR,
9,183,928,174181,Barvand Nagar,1130,1166,RUPAIDEEH,65772,NIDHI NAGAR,
9,183,928,174182,Nidh Nagar,1195,1166,RUPAIDEEH,65772,NIDHI NAGAR,
9,183,928,174183,Hind Nagar Banki,1250,1166,RUPAIDEEH,65750,HINDU NAGAR BANKI,
9,183,928,174184,Pindaur Bara,1844,1166,RUPAIDEEH,65781,PINDAWAR TARA,
9,183,928,174185,Jhuri Kuiyan,2486,1166,RUPAIDEEH,65754,JHURI KUIYAN,
9,183,928,174186,Idahiya Navi Jot,2024,1166,RUPAIDEEH,65751,ITAHIYA NAVI JOT,
9,183,928,174187,Pandre Garwa,2470,1166,RUPAIDEEH,65795,SHIVGARA,
9,183,928,174188,Matera,202,1166,RUPAIDEEH,65795,SHIVGARA,
9,183,928,174189,Shivgara,2711,1166,RUPAIDEEH,65795,SHIVGARA,
9,183,928,174190,Devataha,3936,1166,RUPAIDEEH,65743,DEVATAHA,
9,183,928,174191,Devrahna,1186,1166,RUPAIDEEH,65756,KEWALPUR,
9,183,928,174192,Kewalpur,1935,1166,RUPAIDEEH,65756,KEWALPUR,
9,183,928,174193,Rajjanpur,1387,1166,RUPAIDEEH,65787,RAJJAN PUR,
9,183,928,174194,Bhawanipur Khurd,2565,1166,RUPAIDEEH,65733,BHAWANIPUR KHURD,
9,183,928,174195,Mau Ramsabad,460,1166,RUPAIDEEH,65787,RAJJAN PUR,
9,183,928,174196,Madhav Nagar,2213,1166,RUPAIDEEH,65766,MADHAV NAGAR,
9,183,928,174197,Mahadev Kalan,2886,1166,RUPAIDEEH,65767,MAHADEV KALAN,
9,183,928,174198,Jamunhi Hardo Patti,1420,1166,RUPAIDEEH,65752,JAMUNAHI HARDO PATTI,
9,183,928,174199,Karam Deeh Balwa,1459,1166,RUPAIDEEH,65726,BELWA KARAM DEEH,
9,183,928,174200,Labedpur,2198,1166,RUPAIDEEH,65729,BHARIYA LABEDPUR,
9,183,928,174201,Chandan Jot,335,1166,RUPAIDEEH,65726,BELWA KARAM DEEH,
9,183,928,174202,Parsovra Maheshpur,1270,1166,RUPAIDEEH,65767,MAHADEV KALAN,
9,183,928,174203,Bhavanipur Upadhaya,2676,1166,RUPAIDEEH,65732,BHAVANIPUR UPADHAYAY,
9,183,928,174204,Bhatpi,3796,1166,RUPAIDEEH,65730,BHATPI,
9,183,928,174205,Laxmanpur,558,1166,RUPAIDEEH,65773,NOUSHAHRA,
9,183,928,174206,Noushra,1476,1166,RUPAIDEEH,65773,NOUSHAHRA,
9,183,928,174207,Beerpur,1935,1166,RUPAIDEEH,65803,VEERPUR  JHALAHIYA,
9,183,928,174208,Ranjeet Nagar,1344,1166,RUPAIDEEH,65789,RANJEET NAGAR,
9,183,928,174209,Bhat Purwa,1843,1166,RUPAIDEEH,65747,GOUSIHA,
9,183,928,174210,Gonda Chati,350,1166,RUPAIDEEH,65803,VEERPUR  JHALAHIYA,
9,183,928,174211,Fateh Garah,806,1166,RUPAIDEEH,65745,FATEH GARAH,
9,183,928,174212,Tendua Chokhria,2262,1166,RUPAIDEEH,65800,TENDUA CHOUKHARIA,
9,183,928,174213,Nand Nagar,422,1166,RUPAIDEEH,65745,FATEH GARAH,
9,183,928,174214,Patkhouli,836,1166,RUPAIDEEH,65745,FATEH GARAH,
9,183,928,174215,Balpur,569,1166,RUPAIDEEH,65783,PIPRA BHODAR,
9,183,928,174216,Pipra Bhodar,1082,1166,RUPAIDEEH,65783,PIPRA BHODAR,
9,183,928,174217,Devria Kalan,1451,1166,RUPAIDEEH,65741,DEVARIA KALAN,
9,183,928,174218,Chori Parihar,753,1166,RUPAIDEEH,65789,RANJEET NAGAR,
9,183,928,174219,Mathe Deeh,464,1166,RUPAIDEEH,65741,DEVARIA KALAN,
9,183,928,174220,Khargupur Deengur,1431,1166,RUPAIDEEH,65758,KHARGUPUR DEENGUR,
9,183,928,174221,Belwa Phoolpur,509,1166,RUPAIDEEH,65758,KHARGUPUR DEENGUR,
9,183,928,174222,Pachran,1439,1166,RUPAIDEEH,65774,PACHRAN,
9,183,928,174223,Narayanpur Mafee,1797,1166,RUPAIDEEH,65770,NARAYANPUR MAFI,
9,183,928,174224,Khargupur Imilia,5007,1166,RUPAIDEEH,65759,KHARGUPUR IMILIA,
9,183,928,174225,Karamdeeh Khurd,445,1166,RUPAIDEEH,65770,NARAYANPUR MAFI,
9,183,928,174226,Birmapur,846,1166,RUPAIDEEH,65737,BIRMAPUR,
9,183,928,174227,Kenubara,883,1166,RUPAIDEEH,65774,PACHRAN,
9,183,928,174228,Susgawan,2419,1166,RUPAIDEEH,65797,SUSGAWAN,
9,183,928,174229,Mishroulia,1142,1166,RUPAIDEEH,65774,PACHRAN,
9,183,928,174230,Achlapur,769,1166,RUPAIDEEH,65737,BIRMAPUR,
9,183,928,174231,Akbarpur,699,1166,RUPAIDEEH,65783,PIPRA BHODAR,
9,183,928,174232,Sonria,433,1166,RUPAIDEEH,65783,PIPRA BHODAR,
9,183,928,174233,Sisai Jangal,713,1166,RUPAIDEEH,65796,SISAI JANGAL,
9,183,928,174234,Lonawa Dargah,8238,1166,RUPAIDEEH,65765,LONAWA DARGAH,
9,183,928,174235,Baddoura Bazar,1989,1166,RUPAIDEEH,65796,SISAI JANGAL,
9,183,928,174236,Asdha,3629,1166,RUPAIDEEH,65720,ASIDHA,
9,183,928,174237,Banderia Dargahi,446,1166,RUPAIDEEH,65723,BARAHEMA,
9,183,928,174238,Barahema,2354,1166,RUPAIDEEH,65723,BARAHEMA,
9,183,928,174239,Khanavapur,1985,1166,RUPAIDEEH,65757,KHANAVAPUR,
9,183,928,174240,Amdhwa,728,1166,RUPAIDEEH,65717,AMDOHAWA,
9,183,928,174241,Khurd Pipra,354,1166,RUPAIDEEH,65717,AMDOHAWA,
9,183,928,174242,Parsurampur,812,1166,RUPAIDEEH,65717,AMDOHAWA,
9,183,928,174243,Bhabni Sarai,1165,1166,RUPAIDEEH,65757,KHANAVAPUR,
9,183,928,174244,Kamrawan,1602,1166,RUPAIDEEH,65755,KAMRAWAN,
9,183,928,174245,Paraspur Allahwa,1055,1166,RUPAIDEEH,65718,ANANTPUR,
9,183,928,174246,Raja Jot,686,1166,RUPAIDEEH,65718,ANANTPUR,
9,183,928,174247,Anantpur,1176,1166,RUPAIDEEH,65718,ANANTPUR,
9,183,928,174248,Pandri Savita,587,1166,RUPAIDEEH,65804,VEERPUR BHOJ,
9,183,928,174249,Beerpur Bhoj,1778,1166,RUPAIDEEH,65804,VEERPUR BHOJ,
9,183,928,174250,Bhud Kudi,1388,1166,RUPAIDEEH,65734,BHUDKUDA,
9,183,928,174251,Bhulai Deeh,1688,1166,RUPAIDEEH,65735,BHULAI DEEH,
9,183,928,174252,Gonria,2747,1166,RUPAIDEEH,65746,GONARIA,
9,183,928,174253,Panchurki Manohar Jot,1515,1166,RUPAIDEEH,65776,PANCHURKI MANOHAR JOT,
9,183,928,174254,Bhola Jot,1480,1166,RUPAIDEEH,65776,PANCHURKI MANOHAR JOT,
9,183,928,174255,Pure Chayan Kunwar,239,1166,RUPAIDEEH,65792,SAHJANWA,
9,183,928,174256,Sahjanwa,2518,1166,RUPAIDEEH,65792,SAHJANWA,
9,183,928,174257,Bichuri,2723,1166,RUPAIDEEH,65736,BICHHURI,
9,183,928,174258,Jeth Purwa,3236,1166,RUPAIDEEH,65753,JETH PURWA,
9,183,928,174259,Pakadi Maru Deeh Khas,1583,1166,RUPAIDEEH,65775,PAKADI MARU DEEH,
9,183,928,174260,Amadeeh,299,1166,RUPAIDEEH,65798,TELIA KOT,
9,183,928,174261,Pure Bada Chak,348,1166,RUPAIDEEH,65775,PAKADI MARU DEEH,
9,183,928,174262,Bhraimpur,2207,1166,RUPAIDEEH,65727,BHAIRAMPUR,
9,183,928,174263,Imilia Chitu,434,1166,RUPAIDEEH,65798,TELIA KOT,
9,183,928,174264,Telia Kot,1592,1166,RUPAIDEEH,65798,TELIA KOT,
9,183,928,174265,Gudgudiapur,1028,1166,RUPAIDEEH,65749,HARKHAPUR,
9,183,928,174266,Belwa Bhan,1317,1166,RUPAIDEEH,65725,BELWA BHAN,
9,183,928,174267,Harkhapur,1007,1166,RUPAIDEEH,65749,HARKHAPUR,
9,183,928,174268,Laiburwa,1115,1166,RUPAIDEEH,65725,BELWA BHAN,
9,183,928,174269,Kochwa,4277,1166,RUPAIDEEH,65760,KOCHWA,
9,183,928,174270,Sisai Mafi,884,1166,RUPAIDEEH,65768,MANGAL NAGAR,
9,183,928,174271,Mangal Nagar,1990,1166,RUPAIDEEH,65768,MANGAL NAGAR,
9,183,928,174272,Novagawan,1314,1162,MUJEHANA,65518,NAUVVA GAON,
9,183,928,174273,Manohar Jot,1326,1166,RUPAIDEEH,65769,MANOHAR JOT,
9,183,928,174274,Bangain,2998,1166,RUPAIDEEH,65722,BANGAI,
9,183,928,174275,Pure Pathak,1243,1166,RUPAIDEEH,65786,PURE PATHAK,
9,183,928,174276,Adbadwa,619,1166,RUPAIDEEH,65786,PURE PATHAK,
9,183,928,174277,Umra,870,1166,RUPAIDEEH,65749,HARKHAPUR,
9,183,928,174278,Kouria,4090,1166,RUPAIDEEH,65761,KOURIA,
9,183,928,174279,Chatouni,3373,1166,RUPAIDEEH,65740,CHHITOUNI,
9,183,928,174280,Gousinha,4045,1166,RUPAIDEEH,65747,GOUSIHA,
9,183,928,174281,Belwa Bazar,2879,1166,RUPAIDEEH,65724,BELWA BAZAR,
9,183,928,174282,Usraina,4251,1166,RUPAIDEEH,65802,USRAINA,
9,183,928,174283,Sakmagadpur,2465,1166,RUPAIDEEH,65790,RUKMANGAT PUR,
9,183,928,174284,Pure Nari,672,1166,RUPAIDEEH,65802,USRAINA,
9,183,928,174285,Kodri,290,1166,RUPAIDEEH,65782,PIPRA BAZAR,
9,183,928,174286,Kalyanpur,1560,1166,RUPAIDEEH,65790,RUKMANGAT PUR,
9,183,928,174287,Ram Bhari,792,1159,JHANJHARI,65297,JHANJHARI,
9,183,928,174288,Bhatpurwa,735,1158,ITIATHOK,65218,HARDAIYA  BHATPURVA,
9,183,928,174289,Pipra Bazar,863,1166,RUPAIDEEH,65782,PIPRA BAZAR,
9,183,928,174290,Telyani Pathak,868,1166,RUPAIDEEH,65799,TELYANI PATHAK,
9,183,928,174291,Kalyan Jot,666,1166,RUPAIDEEH,65799,TELYANI PATHAK,
9,183,928,174292,Tendwa Gulam,1086,1166,RUPAIDEEH,65719,ANEGI,
9,183,928,174293,Pipra Chobey Khas,1597,1166,RUPAIDEEH,65784,PIPRA CHOBEY,
9,183,928,174294,Purainia,1723,1166,RUPAIDEEH,65785,PURAINIA,
9,183,928,174295,Rupai Deeh,2442,1166,RUPAIDEEH,65791,RUPAI DEEH,
9,183,928,174296,Kurasi,2918,1166,RUPAIDEEH,65762,KURASI,
9,183,928,174297,Sarhada,1629,1166,RUPAIDEEH,65793,SARHARA,
9,183,928,174298,Dulhapur Pahari,1863,1166,RUPAIDEEH,65744,DULHAPUR PAHARI,
9,183,928,174299,Chahuva,821,1166,RUPAIDEEH,65744,DULHAPUR PAHARI,
9,183,928,174300,Dubaval,416,1166,RUPAIDEEH,65791,RUPAI DEEH,
9,183,928,174301,Dalpatpur,1188,1166,RUPAIDEEH,65734,BHUDKUDA,
9,183,928,174302,Bhudkuda,1145,1159,JHANJHARI,65295,JAMDARA,
9,183,928,174303,Phrenda Shukul,5275,1166,RUPAIDEEH,65780,PHARENDA SHUKUL,
9,183,928,174304,Kursaha,1164,1166,RUPAIDEEH,65763,KURSAHA,
9,183,928,174305,Parna Bagulha,3936,1166,RUPAIDEEH,65778,PARNA BAGULHA,
9,183,928,174306,Balhi Jot,1375,1166,RUPAIDEEH,65721,BALHI JOT,
9,183,928,174307,Bhopalpur,1121,1166,RUPAIDEEH,65721,BALHI JOT,
9,183,928,174308,Nibiha Paraspur,1733,1166,RUPAIDEEH,65771,NIBIHA PARASPUR,
9,183,928,174309,Rampur Brahamchari,815,1166,RUPAIDEEH,65763,KURSAHA,
9,183,928,174310,Anagi,1510,1166,RUPAIDEEH,65719,ANEGI,
9,183,928,174311,Harryaban,328,1166,RUPAIDEEH,65719,ANEGI,
