State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Sitapur,18824,29.91667,78.10492,Sitapur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Dhanpura,18805,29.84885,78.10967,Dhanpura,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Bishan Kundi,18776,29.85668,78.14339,Bishan Kundi,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Katarpur Alipur,18793,29.86575,78.12761,Katarpur Alipur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Mustafabad,18802,29.83105,78.11918,Mustafabad,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Jamalpur,18788,29.90631,78.11343,Jamalpur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Gaddowali,18783,29.89311,78.11304,Gaddowali,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Badshapur,18771,29.79151,78.12921,Badshapur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Nasirpur Kalan,18803,29.79594,78.12028,Nasirpur Kalan,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Shiv Nagar,18821,29.77422,78.09116,Shiv Nagar,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Banganga,18774,29.79801,78.13321,Banganga,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Shahpur Sheetlakhera,18820,29.80634,78.13844,Shahpur Sheetlakhera,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Rasoolpur Meethiberi,18812,29.84726,78.29234,Rasoolpur Meethiberi,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Laldhang,18797,29.85065,78.31519,Laldhang,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Gandikhata,18784,29.79415,78.25101,Gandikhata,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Sajjanpur Peele,18816,29.86409,78.18126,Sajjanpur Peele,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Pili Padav,255048,29.85411,78.24209,Pili Padav,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Dudhaladayalwala,18782,29.79475,78.20357,Dudhaladayalwala,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Shyampur,18823,29.86655,78.18196,Shyampur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Gajiwala,255049,29.88183,78.18331,Gajiwala,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Kangri,18791,29.89571,78.17168,Kangri,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Garh,18785,29.94772,77.99581,Garh,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Rajpur,18809,29.95476,78.00265,Rajpur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Puranpur Sahlpur,18808,29.95799,78.00427,Puranpur Sahlpur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Meerpur,18799,29.95095,77.994618,Meerpur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Anneki Hettampur,18768,29.97251,78.02132,Anneki Hettampur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Orangabad,18770,29.98589,78.00327,Orangabad,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Khala Teera,18794,30.00707,77.99051,Khala Teera,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Hazara Grunt,18786,30.00393,77.97354,Hazara Grunt,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Telliwala urf Shivdaspur,18822,29.95391,77.96984,Telliwala urf Shivdaspur,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Jaswawala,18789,29.96235,77.95611,Jaswawala,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Kota Murad nagar,18796,29.97604,77.94649,Kota Murad nagar,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Daluwala Khurd,255046,29.998173,77.940853,Daluwala Khurd,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Daluwala Majbata,18781,30.02295,77.963308,Daluwala Majbata,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Daluwala Kalan,18780,30.04227,77.96278,Daluwala Kalan,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Solahapur Sikroda,18825,29.96486,77.91382,Solahapur Sikroda,21
UTTARAKHAND,5,HARIDWAR,68,BAHADRABAD,385,Moh.Beg urf Takabhari,18801,29.98319,77.91386,Moh.Beg urf Takabhari,21
