STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
05,056,00278,040101,Bestiwalli,211,446,PUROLA,243149,VESHTI  PALLI,
05,056,00278,040102,Besti Palli,522,446,PUROLA,243149,VESHTI  PALLI,
05,056,00278,040103,Rama Gaon,662,446,PUROLA,27774,RAMA,
05,056,00278,040104,Raun,289,446,PUROLA,259993,Raun,
05,056,00278,040105,Gundiyar Gaon,1253,446,PUROLA,27751,GUNDIYATGAON,
05,056,00278,040106,Nagjhala,120,446,PUROLA,27766,NAGJHALA,
05,056,00278,040107,Pora,744,446,PUROLA,27770,PORA,
05,056,00278,040108,Sukdala,682,446,PUROLA,27778,SUKDALA,
05,056,00278,040109,Moltari Rajputonki,146,446,PUROLA,27765,MATH,
05,056,00278,040110,Dhikal Gaon,172,446,PUROLA,27766,NAGJHALA,
05,056,00278,040111,Dokhariyani,139,446,PUROLA,259993,Raun,
05,056,00278,040112,Syaluka,329,446,PUROLA,27781,SYALUKA,
05,056,00278,040113,Sar Gaon,309,446,PUROLA,27776,SAR,
05,056,00278,040114,Kaslaun,117,446,PUROLA,243148,KIMDAR,
05,056,00278,040115,Lewtari,183,446,PUROLA,27776,SAR,
05,056,00278,040116,Digari,241,446,PUROLA,27776,SAR,
05,056,00278,040117,Kimdar,124,446,PUROLA,243148,KIMDAR,
05,056,00278,040118,Chhanika,102,446,PUROLA,27771,POUNTI,
05,056,00278,040119,Paunti,212,446,PUROLA,27771,POUNTI,
05,056,00278,040120,Gaul,75,446,PUROLA,27771,POUNTI,
05,056,00278,040121,Kurara,610,446,PUROLA,27762,KURDA,
05,056,00278,040122,Chhara,477,446,PUROLA,27762,KURDA,
05,056,00278,040123,Angora,177,446,PUROLA,259995,Dhundada,
05,056,00278,040124,Shreekot,342,446,PUROLA,27777,SHRIKOT,
05,056,00278,040125,Dhundada,243,446,PUROLA,259995,Dhundada,
05,056,00278,040126,Dhyoralagasunali,187,446,PUROLA,27750,GHEWRA,
05,056,00278,040127,Suranukiseri,94,446,PUROLA,260430,SURANUKISERI,
05,056,00278,040128,Dhyoralagakhadkyasem,200,446,PUROLA,27750,GHEWRA,
05,056,00278,040129,Sunali,491,446,PUROLA,27779,SUNALI,
05,056,00278,040130,Bhadrali,229,446,PUROLA,27758,KHADKYASEM,
05,056,00278,040131,Kharkyasem,225,446,PUROLA,27758,KHADKYASEM,
05,056,00278,040132,Kumarkot,80,446,PUROLA,27765,MATH,
05,056,00278,040133,Moltari,186,446,PUROLA,27766,NAGJHALA,
05,056,00278,040134,Dhampur,236,446,PUROLA,27760,KOTI,
05,056,00278,040135,Koti,289,446,PUROLA,27760,KOTI,
05,056,00278,040136,Devdhung,430,446,PUROLA,27748,DEVDHUNG,
05,056,00278,040137,Chhiwala,425,446,PUROLA,27748,DEVDHUNG,
05,056,00278,040140,Makhana,489,446,PUROLA,27772,PUJELI,
05,056,00278,040141,Molkat,24,446,PUROLA,27772,PUJELI,
05,056,00278,040142,Pujeli (Brahmanoki),295,446,PUROLA,27772,PUJELI,
05,056,00278,040143,Kumola,583,446,PUROLA,27761,KUMOLA,
05,056,00278,040144,Korana,202,446,PUROLA,27759,KORNA,
