andrawani,27
baidula,455
banshu,1128
bhainsari,42
bhatwari,541
bhetsem,1011
bhingee,109
buruwa,5
byung,33
chaumasi,284
chilond,353
chunni mangoli,246
daira,406
devsal,209
dewar,865
fafanj,574
fali fasalat,305
gad-gu,601
gair,75
gaundar,294
gaurikund,30
giriya,611
guptkashi,1130
huddu,16
jaaltalla,373
jaggi bagwan,561
jamu,697
kalimath,545
karokhi,54
khariya,84
khat,274
khumera,1050
kimana,389
kotma,565
kunjethi,113
lwani,326
lwara,1164
maikhanda,926
makku,112
mansuna,888
nala,1189
nyalsu,1120
pali,164
parkandi,197
pathali,522
ransi,964
raulek,1207
ravigram,71
rudrapur,629
sankari,901
sari,103
tulanga,95
tyudi,460
uniyana,566
ushara,500
uthind,352
agar,521
akhori,500
bachani,124
bainji,169
bairagana,55
bajun,170
bamsu,338
bangaon,128
bangoli,11
bansou,343
baramvari,459
barav,505
barsu,142
bashti,1074
bawai,1285
beena,465
bhaisgaon,129
bharaj,835
bhatwari,541
bhatwari sunar,433
bhaunsal,77
bheeri,587
bhunaka,102
bijrakot,500
biron,2
bora,916
chamak,344
chamswara,348
chandrapuri,239
chapar,513
chauki barsil,292
chaunthala,119
chhinka,488
chopra ii,264
dadoli,788
dalsingi,775
dangi- singhata,934
dankot,451
darmvari,287
daula,249
deewali,195
dhar tondala,207
dharkot,741
dungar,260
dungara,116
dungri,152
falai,160
fegu,860
gadmil,283
gadora,69
gahar,47
gandhari,74
geer bhutare,1144
ghandiyalka,118
ghimtoli,217
ginwala,153
gugali,168
gunau,244
gwar thapli,493
haat,395
ishala,360
jagoth,658
jahangi,139
jaikandi,317
jakhani,305
jalai sursal,1361
jarmwar,210
jasholi,350
jaula,341
jondala,75
juntai,260
kameda,448
kamsal,632
kanda,625
kandai,15
kandai jaggi,245
kandara,127
kandi,734
kansili,334
karndhar,282
kaushalpur,407
kera,262
khankra,159
khatena,129
kinjhani,1020
kodima,363
kokhandi,316
kolu bhannu,513
kot,176
kothagi,219
kumoli malkoti,442
kunda dankot,1081
kurjhan,339
kwali,219
kwalli,84
kwili,468
kyark barsuri,934
kyunja,1028
kyuri,1070
ladoli,362
loli,241
machkandi,381
madola,100
mahar,298
maikoti,79
malkhi,117
maniguh,149
maroda,1284
moli,148
nag jagai,895
nag kakora khal,199
nagrasu,250
naini paundar,173
nari,578
narkota,357
nawasu,41
nisani,58
pali,164
pata,357
pavon,486
peeda,35
phalasi,212
pillu,507
pipli,103
pokhari,83
ratura,1785
rumasi,698
san,445
sanagu,211
sari,103
satera,226
shivanandi,65
shivpuri,931
singhata,380
sod bhargaon,388
sumerpur,39
syund,226
syuni,500
taljaman,540
tarag,416
temriya,76
tewari,374
thapal gaon,613
tilwara,502
tinsoli,483
tuna,736
veeroun deval,923
arkhund,833
bachwad,69
badhani,84
bainoli,166
bajeera,81
bakseer,634
bansi,563
barseer,722
bashata,40
bhatwari,541
bhunal gaon,1045
bhyuta,104
budna,1907
chaka,784
chaunra,496
chopada,92
chounda-sirai,218
dabalia,104
dangi,224
dangi bhardar,249
dangwal gaon,375
dankot,451
darmola,1212
dewal lasya,95
dharkot,741
dhonda,843
dobha badman,472
dobha jakhal,134
falati,381
gaithana,768
ghardo,391
ghegar,1084
gorti,713
jaili,422
jakhanauli,80
jakholi,661
jakloli badman,1435
jawari,1793
kafna,136
kanda,625
kandali,259
kapniya,568
khaliyan,1153
khod-bangar,487
kiroda,473
kot,176
kothiyada,289
koti,370
kumri,1092
kurchhola,777
kvila,142
ladiyasu,346
laludi,903
launga,511
liswalta,466
luthiyag,1022
makhet,435
maushad,56
mawan gaon,70
mayali,659
munnadeval,388
musadhung,738
nag,52
nandwan gaon,243
pajana,403
pala kurali,786
papdasu,500
pouthi,1486
pulan,777
raidi,761
ratanpur,298
rothiya,238
saklana,255
satni,399
saunda,710
saura,551
sem,262
sema,549
semlata,230
shishaun,508
silgaon,309
sirwadi,817
sumari,1403
sweeli,205
syur,1387
taila,1228
tat,500
thati,371
timli,375
tunetha,191
tyukhar,1656
uchhana,599
uchhola,1044
udiyan gaon,425
uroli,220
uttarsu,275
