State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, ATOIRI, 131021, 23.490403, 83.410719, ATOIRI, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, BADA, 131022, 23.568689, 83.378722, BADA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, BADKIMAHARI, 131023, 23.592531, 83.619514, BADKIMAHARI, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, BARDAR, 131024, 23.609511, 83.738906, BARDAR, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, BHANAURA, 131025, 23.604889, 83.609672, BHANAURA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, BHELWADIH, 131026, 23.589625, 83.659881, BHELWADIH, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, CHAMANPUR, 131027, 23.527389, 83.270861, CHAMANPUR, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, CHANDAURA, 131028, 23.565814, 83.370064, CHANDAURA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, CHITBISHRAMPUR, 131029, 23.619936, 83.665336, CHITBISHRAMPUR, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, DHANGAON, 131030, 23.690369, 83.656686, DHANGAON, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, DOIRA, 131031, 23.529861, 83.448972, DOIRA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, DUMARKHOLA, 131032, 23.543556, 83.440278, DUMARKHOLA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, GIRWARGANJ, 131033, 23.632942, 83.45845, GIRWARGANJ, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JABAR, 131034, 23.593597, 83.637528, JABAR, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JAMUADAND, 131035, 23.588028, 83.626092, JAMUADAND, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JARHADIH, 131036, 23.590625, 83.72715, JARHADIH, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JATARO, 131037, 23.617297, 83.653647, JATARO, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JHALARIYA, 131038, 23.543317, 83.510239, JHALARIYA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, JHALPI, 131039, 23.580386, 83.70465, JHALPI, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, KARRICHALGALI, 131040, 23.520017, 83.308975, KARRICHALGALI, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, KERTA, 131041, 23.649003, 83.415306, KERTA, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, KHADIYADAMAR, 131042, 23.577019, 83.630464, KHADIYADAMAR, 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, KHOBHI (KAPILDEVPUR), 131043, 23.626644, 83.396233, KHOBHI (KAPILDEVPUR), 21
CHHATTISGARH, 22, BALRAMPUR, 716, BALRAMPUR, 3718, KOCHALI, 131044, 23.525508, 83.457925, KOCHALI, 21
