STATE,DISTRICT,SUBDISTT,T_VILLCODE,NAME,TOT_P,blk_code,blk_name,panch_code,panch_name
22,400,03231,431192,Badwahi,1448,3675,BHARATPUR,127213,BADWAHI,
22,400,03231,431193,Barchha,142,3675,BHARATPUR,263325,MEHDAULI,
22,400,03231,431194,Satkyari,348,3675,BHARATPUR,263325,MEHDAULI,
22,400,03231,431195,Mehdauli,771,3675,BHARATPUR,263325,MEHDAULI,
22,400,03231,431196,Ghughari,357,3675,BHARATPUR,127230,HARCHOKA,
22,400,03231,431197,Bela,719,3675,BHARATPUR,127217,BELA,
22,400,03231,431198,Madisarai,1225,3675,BHARATPUR,127243,MADISARAI,
22,400,03231,431199,Harchoka,1025,3675,BHARATPUR,127230,HARCHOKA,
22,400,03231,431200,Karri,410,3675,BHARATPUR,127221,CHIDAULA,
22,400,03231,431201,Chidaula,863,3675,BHARATPUR,127221,CHIDAULA,
22,400,03231,431202,Chhirhatola,504,3675,BHARATPUR,263326,POONJI,
22,400,03231,431203,Bhuskatola,500,3675,BHARATPUR,127221,CHIDAULA,
22,400,03231,431204,Udaki,904,3675,BHARATPUR,127217,BELA,
22,400,03231,431205,Jawaritola,410,3675,BHARATPUR,127221,CHIDAULA,
22,400,03231,431206,Poonji,640,3675,BHARATPUR,263326,POONJI,
22,400,03231,431207,Markhohi,385,3675,BHARATPUR,127233,JANUA,
22,400,03231,431208,Padauli,354,3675,BHARATPUR,127233,JANUA,
22,400,03231,431209,Janua,1015,3675,BHARATPUR,127233,JANUA,
22,400,03231,431210,Deogarh,1552,3675,BHARATPUR,127223,DEVGARH,
22,400,03231,431211,Ghordhara,355,3675,BHARATPUR,127230,HARCHOKA,
22,400,03231,431212,Charkhar,639,3675,BHARATPUR,263327,BELGAON,
22,400,03231,431213,Naudhiya,1541,3675,BHARATPUR,127248,NAUDHIYA,
22,400,03231,431214,Pandri,444,3675,BHARATPUR,127216,BARHORI,
22,400,03231,431215,Belgaon,722,3675,BHARATPUR,263327,BELGAON,
22,400,03231,431216,Domhara,997,3675,BHARATPUR,127225,DOMHARA,
22,400,03231,431217,Harrai,564,3675,BHARATPUR,127248,NAUDHIYA,
22,400,03231,431218,Amaradandi,343,3675,BHARATPUR,127253,SINGROULI,
22,400,03231,431219,Singrauli,1078,3675,BHARATPUR,127253,SINGROULI,
22,400,03231,431220,Kuwari,691,3675,BHARATPUR,263328,KUWARI,
22,400,03231,431221,Larkonda,765,3675,BHARATPUR,127242,LARKODA,
22,400,03231,431222,Dongritola,619,3675,BHARATPUR,127220,CHANTI,
22,400,03231,431223,Badkadol,561,3675,BHARATPUR,127242,LARKODA,
22,400,03231,431224,Bharatpur,1052,3675,BHARATPUR,127219,BHARATPUR,
22,400,03231,431225,Patwahi,582,3675,BHARATPUR,263330,PATWAHI,
22,400,03231,431226,Jardol,165,3675,BHARATPUR,263330,PATWAHI,
22,400,03231,431228,Usta,500,3675,BHARATPUR,127232,JANAKPUR,
22,400,03231,431229,Dongritola,505,3675,BHARATPUR,127242,LARKODA,
22,400,03231,431230,Sirkhola,120,3675,BHARATPUR,127220,CHANTI,
22,400,03231,431231,Chanti,793,3675,BHARATPUR,127220,CHANTI,
22,400,03231,431232,Ganjar,324,3675,BHARATPUR,263330,PATWAHI,
22,400,03231,431233,Jamthan,1365,3675,BHARATPUR,127231,JAMTHAN,
22,400,03231,431234,Ghatai,1249,3675,BHARATPUR,263331,GHATAI,
22,400,03231,431235,Kanjia,1802,3675,BHARATPUR,127236,KANJIYA,
22,400,03231,431236,Malakdol,951,3675,BHARATPUR,127245,MALAKDOL,
22,400,03231,431237,Pipariyadol,500,3675,BHARATPUR,263342,MANNODH,
22,400,03231,431238,Mannodh,643,3675,BHARATPUR,263342,MANNODH,
22,400,03231,431239,Bhumka,370,3675,BHARATPUR,127215,BARAVTA,
22,400,03231,431240,Tilauli,579,3675,BHARATPUR,127229,GODHAURA,
22,400,03231,431241,Pondi,505,3675,BHARATPUR,127238,KOILRA,
22,400,03231,431242,Mantoliya,50,3675,BHARATPUR,127224,DHOWATAL,
22,400,03231,431243,Patpartola,395,3675,BHARATPUR,127227,GADHWAR,
22,400,03231,431244,Gadwar,277,3675,BHARATPUR,127227,GADHWAR,
22,400,03231,431245,Chandela,166,3675,BHARATPUR,127227,GADHWAR,
22,400,03231,431246,Darritola,232,3675,BHARATPUR,127227,GADHWAR,
22,400,03231,431247,Gadhaura,734,3675,BHARATPUR,127229,GODHAURA,
22,400,03231,431248,Sanbora,542,3675,BHARATPUR,263343,PHULJHAR,
22,400,03231,431249,Phuljhar,691,3675,BHARATPUR,263343,PHULJHAR,
22,400,03231,431250,Matiya,500,3675,BHARATPUR,127254,TOJA,
22,400,03231,431251,Toji,402,3675,BHARATPUR,127254,TOJA,
22,400,03231,431252,Jolgi,632,3675,BHARATPUR,127241,LAKHANTOLA,
22,400,03231,431253,Kuwarpur,930,3675,BHARATPUR,127240,KUWARPUR,
22,400,03231,431254,Ara,540,3675,BHARATPUR,127254,TOJA,
22,400,03231,431255,Kaklendi,389,3675,BHARATPUR,127240,KUWARPUR,
22,400,03231,431256,Toja,456,3675,BHARATPUR,127254,TOJA,
22,400,03231,431257,Mathmaur,308,3675,BHARATPUR,127238,KOILRA,
22,400,03231,431258,Koilara,381,3675,BHARATPUR,127238,KOILRA,
22,400,03231,431259,Kurkuti,186,3675,BHARATPUR,263347,JATI,
22,400,03231,431260,Potta Jhorki,259,3675,BHARATPUR,127254,TOJA,
22,400,03231,431261,Jaiti,583,3675,BHARATPUR,263347,JATI,
22,400,03231,431262,Ramgarh,1245,3675,BHARATPUR,127250,RAMGARH,
22,400,03231,431263,Girwani,307,3675,BHARATPUR,127250,RAMGARH,
22,400,03231,431264,Sagra,497,3675,BHARATPUR,263347,JATI,
22,400,03231,431265,Balauda,108,3675,BHARATPUR,127246,MOHANTOLA,
22,400,03231,431266,Nagri,274,3675,BHARATPUR,127246,MOHANTOLA,
22,400,03231,431267,Matta,335,3675,BHARATPUR,127246,MOHANTOLA,
22,400,03231,431268,Masaura,465,3675,BHARATPUR,263334,KUDRA,
22,400,03231,431269,Kudra,522,3675,BHARATPUR,263333,KHOHRA,
22,400,03231,431270,Seri,421,3675,BHARATPUR,127252,SHARI,
22,400,03231,431271,Uchehra,391,3675,BHARATPUR,127252,SHARI,
22,400,03231,431272,Tartora,386,3675,BHARATPUR,127241,LAKHANTOLA,
22,400,03231,431273,Tikaritola,278,3675,BHARATPUR,127252,SHARI,
22,400,03231,431274,Khandakhoh,596,3675,BHARATPUR,127237,KHADHAKHOH,
22,400,03231,431275,Lakhantola,779,3675,BHARATPUR,127241,LAKHANTOLA,
22,400,03231,431276,Kashitola,513,3675,BHARATPUR,127214,BAHRASI,
