State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,adejhar, 130247, 20.706656, 80.787599, ADEJHAR, 2,1233
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,amatola, 130248, 20.830194, 80.67323, AMATOLA, 2,1076
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,arajkund, 130249, 20.687528, 80.712, ARAJKUND, 2,909
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,atargaon, 130250, 20.764083, 80.806472, ATARGAON, 2,1672
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,bagnara, 130251, 20.747606, 80.762107, BAGNARA, 2,480
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,bahoranbhedi, 130252, 20.813333, 80.808472, BAHORANBHEDI, 2,718
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,bhadsena, 130253, 20.785673, 80.671598, BHADSENA, 2,1006
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,bharritola, 130254, 20.709444, 80.700667, BHARRITOLA, 2,992
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,biharikala, 130255, 20.753056, 80.745, BIHARIKALA, 2,476
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,brahmanbhedi, 130256, 20.828472, 80.77275, BRAHMANBHEDI, 2,845
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,butakasa, 130257, 20.728944, 80.816639, BUTAKASA, 2,566
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,chhchhanpahri, 130258, 20.801444, 80.803889, CHHCHHANPAHRI, 2,1412
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,chikhali, 130259, 20.819389, 80.70425, CHIKHALI, 2,460
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,chilhati, 130260, 20.786328, 80.617075, CHILHATI, 2,280
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,dautola, 130261, 20.845056, 80.814278, DAUTOLA, 2,1665
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,devarsur, 130262, 20.692611, 80.746167, DEVARSUR, 2,454
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,devwadvi, 130263, 20.66088, 80.660639, DEVWADVI, 2,220
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,dhadhutola, 130264, 20.8328, 80.724268, DHADHUTOLA, 2,2181
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,dodke, 130265, 20.738434, 80.618722, DODKE, 2,103
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,dongargaon, 130266, 20.824278, 80.643639, DONGARGAON, 2,993
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,gaulitola, 130267, 20.747556, 80.728778, GAULITOLA, 2,604
CHHATTISGARH, 22, RAJNANDGAON, 408, A.CHOWKI (TD), 3708,goplinchua, 130268, 20.728532, 80.766538, GOPLINCHUA, 2,1273
