aranpur,187
gadhmiri,2743
gongpal,467
hitawar,1253
jabeli,1084
kuwakonda,748
mailawada,2010
nakulnar,2050
neelavaya,701
palnar,1961
phulpad,1953
potali,1733
revali,131
samalwar,1024
sameli,316
shyamgiri,879
badekameli,1741
balood,1020
balpet,324
bhansi,200
bhogam,609
chandenar,1435
chitalanka,2290
dhurli,2068
dugeli,500
gadapal,1671
gamawada,1574
ganjenar,2109
jaram,731
kamaloor,226
kawadgaon,393
keshapur,905
kumharras,1309
mangnar,608
masenar,2048
matenar,721
metapal,4435
molasnar,1619
nerli,430
netapur,728
padhapur,709
pandewar,680
phulnar,640
pondum,1721
teknar,1797
toyalanka,1088
tudparas,481
aalnar,270
badepaneda,1836
badesurokhi,743
badetumnar,1795
bangapal,635
bhatpal,755
binjam,1164
bodli,1366
chhindnar,1390
chhotetumnar,1535
ghotpal,2617
gumalnar,244
gumda,2163
haram,2992
haurnar,1804
hidpal,60
hiranar,1526
hitameta,1251
javanga,1489
kasoli,468
katulnar,1081
kaurgaon,1439
madse,1098
mophalnar,898
muchnar,1301
mustalnar,330
nagul,957
pharaspal,1838
ronje,1245
samlur,1600
tumrigunda,1121
upet,449
badebedma,121
badegadam,553
badegudra,3615
badelakhapal,2040
benglur,1088
bhusaras,1863
chhotegudra,414
chikpal,886
dhanikarka,539
edpal,555
gatam,841
gudse,2708
jangampal,621
katekalyan,576
koriras,419
maharakarka,751
marjum,1682
mokhpal,1917
parcheli,3012
surnar,2094
telam,1355
tetam,864
tumakpal,1619
