State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
KERALA, 32, KOZHIKODE, 591, KOZHIKODE, 6024, KADALUNDI, 888888, 11.15011, 75.82648, KADALUNDI P, 21
KERALA, 32, KOZHIKODE, 591, KOZHIKODE, 6024, RAMANATTUKARA, 888888, 11.17879, 75.86984, RAMANATTUKARA P, 21
KERALA, 32, KOZHIKODE, 591, KOZHIKODE, 6024, FEROKE, 888888, 11.17937, 75.83293, FEROKE P, 21
KERALA, 32, KOZHIKODE, 591, KOZHIKODE, 6024, OLAVANNA, 888888, 11.22854, 75.83302, OLAVANNA P, 21
KERALA, 32, KOZHIKODE, 591, KOZHIKODE, 6024, PERUMANNA, 888888, 11.23971, 75.87884, PERUMANNA, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, MAVOOR, 888888, 11.26092, 75.95198, MAVOOR, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, PERUVAYAL, 888888, 11.2643, 75.8889, PERUVAYAL, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, KODIYATHUR, 888888, 11.28442, 75.98728, KODIYATHUR, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, KUNNMANGALAM, 888888, 11.3051, 75.87842, KUNNAMANGALAM  P, 21
KERALA, 32, KOZHIKODE, 591, CHELANNUR, 6022, KAKKODI, 888888, 11.31372, 75.79839, KAKKODI, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, KARASSERY, 888888, 11.31657, 75.99786, KARASSERY, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, CHATHAMANGALAM, 888888, 11.31832, 75.94547, CHATHAMANGALAM, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, KURUVATTUR, 888888, 11.31902, 75.85161, KURUVATTUR P, 21
KERALA, 32, KOZHIKODE, 591, KUNNAMANGALAM, 6025, MOKKOM, 888888, 11.32113, 75.99709, MOKKOM, 21
