State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location OF GP,Phase
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,B.Kothakota,196767,13.659425,78.266526,B.Kothakota,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Badikayalapalle,196768,13.620335,78.280745,Badikayalapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Beerangi,196770,13.62236,78.250512,Beerangi,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Boyyappagaripalle,196771,13.670788,78.373165,Boyyappagaripalle,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Gattu,196772,13.661633,78.332291,Gattu,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Gummasamudram,196774,13.667666,78.301599,Gummasamudram,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Kotavooru,196775,13.665456,78.416177,Kotavooru,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Seelamvaripalle,196776,13.689332,78.391704,Seelamvaripalle,2
ANDHRA PRADESH,28,CHITTOOR,554,B.KOTHAKOTA,4749,Thummanamgutta,196777,13.703559,78.382811,Thummanamgutta,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Alapalle,196778,13.152737,78.556416,Alapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Baireddipalle,196779,13.094035,78.610564,Baireddipalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Belupalle,196780,13.156018,78.635451,Belupalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Chappidipalle,196781,13.095185,78.673517,Chappidipalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Devadoddi,196782,13.080887,78.570917,Devadoddi,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Dharmapuri,196783,13.104996,78.647901,Dharmapuri,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Gadduru,196784,13.117074,78.546636,Gadduru,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Ganginayanipalle,196785,13.106863,78.609585,Ganginayanipalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Gollachemanapalle,196786,13.138285,78.579172,Gollachemanapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Gounithimmepalle,196787,13.063724,78.622154,Gounithimmepalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Kadapanatham,196788,13.064196,78.617797,Kadapanatham,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Kambhampalle,196789,13.126339,78.519348,Kambhampalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Kammanapalle,196790,13.111422,78.617756,Kammanapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Kothuru,196791,13.101729,78.543656,Kothuru,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Lakkanapalle,196792,13.135342,78.595328,Lakkanapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Nellipatla,196793,13.070926,78.673676,Nellipatla,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Pathapeta,196794,13.069671,78.610005,Pathapeta,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Pathurunatham,196795,13.077875,78.606154,Pathurunatham,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Peddachellaragunta,196796,13.159076,78.591518,Peddachellaragunta,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Theertham,196797,13.10523,78.567261,Theertham,2
ANDHRA PRADESH,28,CHITTOOR,554,BAIREDDIPALLE,4750,Vengamvaripalle,196798,13.044552,78.617366,Vengamvaripalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,45.Gollapalli,196799,13.183669,78.916297,45.Gollapalli,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Bangaru Palyam,196800,13.19424,78.912394,Bangaru Palyam,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Bodabandla,196801,13.167423,78.945274,Bodabandla,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Cheekuru Palli,196803,13.198382,78.988923,Cheekuru Palli,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Chillagundlapalle,196804,13.172875,79.005666,Chillagundlapalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Echanerivaripalli,196805,13.258844,78.856075,Echanerivaripalli,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Gundlakattamanchi,196806,13.197268,78.998668,Gundlakattamanchi,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Gunthur,196807,13.178817,78.911097,Gunthur,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Jambuvaripalle,196808,13.195507,78.929724,Jambuvaripalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Jilladupalli,196809,13.22414,78.980183,Jilladupalli,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,K.M.Kandriga,196810,13.099203,78.89716,K.M.Kandriga,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Kallurupalle,196811,13.191137,78.983449,Kallurupalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Katappagari Palli,196813,13.187395,78.959891,Katappagari Palli,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Keeramanda,196814,13.125603,78.864589,Keeramanda,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Kodalamadugu,196815,13.105885,78.858653,Kodalamadugu,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Kurmaipalle,196816,13.184818,78.994317,Kurmaipalle,2
ANDHRA PRADESH,28,CHITTOOR,554,BANGARUPALEM,4751,Mahasamudram,196817,13.18612,79.006053,Mahasamudram,2
