State Name,State Code,District Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude, Location OF GP,Phase
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, AMERDA, 202120, 17.841257, 80.846566, AMERDA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, AMMAGARIPALLI, 202121, 17.866505, 80.863912, AMMAGARIPALLI, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, ANANDAPURAM, 202122, 17.794896, 80.84507, ANANDAPURAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, ASWAPURAM, 202123, 17.837266, 80.826453, ASWAPURAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, CHINTRIYALA, 202124, 17.809368, 80.87002, CHINTRIYALA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, GOLLAGUDEM, 202125, 17.822316, 80.827168, GOLLAGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, GONDIGUDEM, 202126, 17.812157, 80.791629, GONDIGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, JAGGARAM, 202127, 17.861207, 80.830176, JAGGARAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, MALLELAMADUGU, 202128, 17.766423, 80.8403, MALLELAMADUGU, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, MITTAGUDEM, 202129, 17.888676, 80.831035, MITTAGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, MONDIKUNTA, 202130, 17.768351, 80.833734, MONDIKUNTA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, NELLIPAKA, 202131, 17.768275, 80.858414, NELLIPAKA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWAPURAM, 5053, THUMMALACHERUVU, 202132, 17.771667, 80.793365, THUMMALACHERUVU, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, ACHUTHAPURAM, 202133, 17.272977, 81.046225, ACHUTHAPURAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, ANANTHARAM, 202134, 17.358962, 81.194349, ANANTHARAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, ASUPAKA, 202135, 17.386601, 81.114698, ASUPAKA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, ASWARAOPETA, 202136, 17.242904, 81.132511, ASWARAOPETA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, BACHUVARIGUDEM, 202137, 17.40964, 81.173171, BACHUVARIGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, JAMMIGUDEM, 202139, 17.302777, 81.078363, JAMMIGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, KANNAIGUDEM, 202140, 17.330018, 81.238939, KANNAIGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, KAVIDIGUNDLA, 202141, 17.374806, 81.263446, KAVIDIGUNDLA, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, KOTHA MAMILLAVARI GUDEM, 202142, 17.382396, 81.093862, KOTHA MAMILLAVARI GUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, NANDIPADU, 202143, 17.455813, 81.127264, NANDIPADU, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, NARAMVARIGUDEM, 202144, 17.262643, 81.083391, NARAMVARIGUDEM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, NARAYANA PURAM, 202145, 17.387204, 81.151937, NARAYANA PURAM, 21
ANDHRA PRADESH, 28, KHAMMAM, 541, ASWARAOPETA, 5054, OOTLAPALLI, 202146, 17.289208, 81.119406, OOTLAPALLI, 21
