State_Name,State Code,District_Name,District_Code,Block_Name,Block_Code,GP Name,GP Code,Latitude,Longitude,Location_OF_GP,Phase,population
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,amaravathi, 199941, 16.575552, 80.358659, AMARAVATHI GP, 2,13400
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,attaluru, 199942, 16.564173, 80.255094, ATTALURU GP, 2,4783
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,dharanikota, 199943, 16.577373, 80.358714, DHARANIKOTA GP, 2,7534
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,didugu, 199944, 16.581201, 80.322469, DIDUGU GP, 2,3152
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,endroy, 199945, 16.530248, 80.366781, ENDROY GP, 2,2703
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,enikapadu, 199946, 16.531652, 80.366239, ENIKAPADU GP, 2,4218
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,jupudi, 199947, 16.565929, 80.255098, JUPUDI GP, 2,1601
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,karlapudi, 199948, 16.48526, 80.39383, KARLAPUDI GP, 2,1437
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,lemalle, 199949, 16.513867, 80.376532, LEMALLE GP, 2,5644
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,lingapuram, 199950, 16.575552, 80.358659, LINGAPURAM GP, 2,4064
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,malladi, 199951, 16.535197, 80.3273, MALLADI GP, 2,2582
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,mandepudi, 199952, 16.475203, 80.356029, MANDEPUDI GP, 2,5812
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,munagodu, 199953, 16.57347, 80.278397, MUNAGODU GP, 2,4011
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,muthyapalem, 199954, 16.577978, 80.348009, MUTHYAPALEM GP, 2,8895
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,nemalikallu, 199955, 16.494362, 80.36356, NEMALIKALLU GP, 2,10778
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,nurukullapadu, 199956, 16.570643, 80.358286, NURUKULLAPADU GP, 2,2335
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,pedamadduru, 199957, 16.545412, 80.397055, PEDAMADDURU GP, 2,1400
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,unguturu, 199958, 16.492185, 80.390516, UNGUTURU GP, 2,2768
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMARAVATHI, 4923,vykuntapuram, 199959, 16.558447, 80.411593, VYKUNTAPURAM GP, 2,3126
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,amruthalur, 199960, 16.11319, 80.659447, AMRUTHALUR GP, 2,6524
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,bodapadu, 199961, 16.107409, 80.620087, BODAPADU GP, 2,1423
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,govada, 199962, 16.11319, 80.659447, GOVADA GP, 2,3610
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,inturu, 199963, 16.089292, 80.643879, INTURU GP, 2,1881
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,korutadiparru, 199964, 16.124843, 80.625659, KORUTADIPARRU GP, 2,1579
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,kuchipudi, 199965, 16.14661, 80.66481, KUCHIPUDI GP, 2,6788
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,moparru, 199966, 16.113206, 80.639679, MOPARRU GP, 2,3324
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,mulpur, 199967, 16.175269, 80.665512, MULPUR GP, 2,5387
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,panchalavaram, 199968, 16.11319, 80.659447, PANCHALAVARAM GP, 2,1848
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,pedapudi, 199969, 16.118109, 80.659258, PEDAPUDI GP, 2,3395
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,pyaparru, 199970, 16.089474, 80.600543, PYAPARRU GP, 2,2465
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,thurumella, 199971, 16.11319, 80.659447, THURUMELLA GP, 2,1422
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,vamanagunta palem, 199972, 16.113206, 80.639679, VAMANAGUNTA PALEM GP, 2,757
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,yadavuru, 199973, 16.17962, 80.661992, YADAVURU GP, 2,7083
ANDHRA PRADESH                                    , 28, GUNTUR, 548, AMRUTHALUR, 4924,yalavarru, 199974, 16.087486, 80.666354, YALAVARRU GP, 2,2698
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,ambadipudi, 202733, 16.62321, 80.17022, Ambadipudi, 2,904
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,atchampet, 202734, 16.62845, 80.11894, Atchampet, 2,3511
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,bangaru tanda (taduvai), 202735, 16.74547, 80.137, Bangaru Tanda (Taduvai), 2,1055
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,challagariga, 202736, 16.78098, 80.12658, Challagariga, 2,1490
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,cherukupalem, 202754, 16.6863, 80.11949, Cherukupalem, 2,8526
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,chigurupadu, 202737, 16.62623, 80.12691, Chigurupadu, 2,2706
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,chintapalli, 202738, 16.69044, 80.13941, Chintapalli, 2,4547
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,grandhasiri, 202739, 16.57433, 80.15233, Grandhasiri, 2,8594
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,kastala, 202740, 16.59162, 80.21887, Kastala, 2,2292
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,kogantivaripalem, 202741, 16.62316, 80.15229, Kogantivaripalem, 2,916
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,konduru, 202742, 16.57367, 80.06812, Konduru, 2,4028
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,konuru, 202743, 16.60431, 80.19363, Konuru, 2,3301
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,kothapalli, 202752, 16.66786, 80.11681, Kothapalli, 2,12551
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,madipadu, 202744, 16.81364, 80.07607, Madipadu, 2,949
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,mittapalem, 202745, 16.58045, 80.10134, Mittapalem, 2,1225
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,neeleswara palem, 202746, 16.6279, 80.09563, Neeleswara Palem, 2,12232
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,orvakallu, 202747, 16.59479, 80.16395, Orvakallu, 2,6344
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,pedapalem, 202748, 16.58995, 80.1011, Pedapalem, 2,3916
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,putlagudem, 202753, 16.70672, 80.13607, Putlagudem, 2,9754
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,rudravaram, 202749, 16.6031, 80.16428, Rudravaram, 2,4903
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,thallachreruvu, 202750, 16.64715, 80.09498, Thallachreruvu, 2,3891
ANDHRA PRADESH                                    , 28, GUNTUR, 548, ATCHEMPET, 4925,velpuru, 202751, 16.57501, 80.12673, Velpuru, 2,4527
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,adavi, 200011, 15.877467, 80.460511, ADAVI GP, 2,7581
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,appikatla, 199994, 15.976069, 80.512768, APPIKATLA GP, 2,1831
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,asodivaripalem, 199995, 15.8963, 80.447781, ASODIVARIPALEM GP, 2,5459
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,bethapudi, 199996, 15.876938, 80.421512, BETHAPUDI GP, 2,6883
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,cheruvu jammulapalem, 200002, 15.967428, 80.429749, CHERUVU JAMMULAPALEM GP, 2,4263
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,east bapatla, 199998, 15.903369, 80.512492, EAST BAPATLA GP, 2,8908
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,etheru, 199999, 15.992468, 80.516187, ETHERU GP, 2,11550
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,gopapuram, 200000, 15.991524, 80.491948, GOPAPURAM GP, 2,1021
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,jillellamudi, 200003, 15.986291, 80.439631, JILLELLAMUDI GP, 2,1070
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,kankatapalem, 200004, 15.954518, 80.394181, KANKATAPALEM GP, 2,4313
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,kondabotlavaripalem, 245314, 15.923965, 80.502267, KONDABOTLAVARIPALEM GP, 2,6015
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,marripudi, 200005, 15.976069, 80.512768, MARRIPUDI GP, 2,1437
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,maruproluvaripalem, 200006, 15.878295, 80.461653, MARUPROLUVARIPALEM GP, 2,6080
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,mulapalem, 200007, 15.980134, 80.430937, MULAPALEM GP, 2,1634
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,murukondapadu, 200008, 15.922945, 80.417645, MURUKONDAPADU GP, 2,2922
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,muthayapalem, 200009, 15.881955, 80.484842, MUTHAYAPALEM GP, 2,8895
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,narsayapalem, 200010, 15.955467, 80.394553, NARSAYAPALEM GP, 2,5219
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,pinnuboinavaripalem, 200012, 15.903973, 80.468233, PINNUBOINAVARIPALEM GP, 2,5500
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,poondla, 200013, 15.988292, 80.502719, POONDLA GP, 2,2846
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,stuvartpuram, 245315, 15.867131, 80.407723, STUVARTPURAM GP, 2,1808
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,tsundurupalli, 200014, 16.008607, 80.522477, TSUNDURUPALLI GP, 2,3433
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,vedullapalli, 200015, 15.918186, 80.41222, VEDULLAPALLI GP, 2,8719
ANDHRA PRADESH                                    , 28, GUNTUR, 548, Bapatla, 4926,west bapatla, 255434, 15.8963, 80.447781, WEST BAPATLA, 2,8908
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,bellamkonda, 202774, 16.49233, 80.00751, Bellamkonda, 2,3164
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,bodanam, 202775, 16.63025, 79.95251, Bodanam, 2,3447
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,chandrajupalem, 202776, 16.52559, 80.00607, Chandrajupalem, 2,10169
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,chityala, 202777, 16.67779, 79.99505, Chityala, 2,638
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,emmajigudem, 202778, 16.58258, 79.95077, Emmajigudem, 2,1212
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,gangireddypalem, 202779, 16.4648, 80.01618, Gangireddypalem, 2,10388
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,kandipadu, 202780, 16.53319, 80.01039, Kandipadu, 2,6610
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,kollur, 202781, 16.70603, 80.01621, Kollur, 2,16079
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,machayapalem, 202782, 16.50327, 79.9896, Machayapalem, 2,2252
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,mannesultanpalem, 202783, 16.57725, 79.96966, Mannesultanpalem, 2,1990
ANDHRA PRADESH                                    , 28, GUNTUR, 548, BELLAMKONDA, 4927,nagireddypalem, 202784, 16.48522, 80.00739, Nagireddypalem, 2,10388
